obsnme                             value 
l_nrmse                   5.78004744E-02 
g_4595                    5.73333030E-01 
g_7817                    1.78543663E-01 
g_55200                   8.33898605E-01 
g_58700                   6.59536241E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.57201323E-01 
g_70500                   3.69686455E-01 
g_70890                   9.12666044E-02 
g_70950                   5.36485347E-01 
g_70990                   6.41550312E-01 
g_71000                   6.24441076E-01 
g_71290                   6.69303753E-01 
g_71300                   5.77131357E-01 
g_71350                   5.14034925E-01 
g_71400                   3.43308144E-01 
wp_bp_0001_20150113       3.97458357E+02 
wp_bp_0001_20150218       3.96614050E+02 
wp_bp_0001_20150318       3.96306481E+02 
wp_bp_0001_20150415       3.96121189E+02 
wp_bp_0001_20150524       3.96065294E+02 
wp_bp_0001_20150610       3.96312892E+02 
wp_bp_0001_20150712       3.96697251E+02 
wp_bp_0001_20150819       3.96501832E+02 
wp_bp_0001_20150915       3.96056604E+02 
wp_bp_0001_20151014       3.95646008E+02 
wp_bp_0001_20151118       3.95784233E+02 
wp_bp_0001_20151215       3.96339369E+02 
wp_bp_0001_20160118       3.96632451E+02 
wp_bp_0001_20160216       3.96441767E+02 
wp_bp_0001_20160323       3.96079158E+02 
wp_bp_0001_20160422       3.96211370E+02 
wp_bp_0001_20160517       3.96447710E+02 
wp_bp_0001_20160614       3.96665897E+02 
wp_bp_0001_20160721       3.96657689E+02 
wp_bp_0001_20160817       3.96226836E+02 
wp_bp_0001_20160912       3.95990968E+02 
wp_bp_0001_20161026       3.95698827E+02 
wp_bp_0001_20161123       3.95538570E+02 
wp_bp_0001_20161222       3.95777628E+02 
wp_bp_0001_20170110       3.95869023E+02 
wp_bp_0001_20170208       3.95824629E+02 
wp_bp_0001_20170317       3.95784663E+02 
wp_bp_0001_20170417       3.95669281E+02 
wp_bp_0001_20170512       3.95555707E+02 
wp_bp_0001_20170613       3.95246482E+02 
wp_bp_0001_20170711       3.94991270E+02 
wp_bp_0001_20170816       3.94691553E+02 
wp_bp_0001_20170915       3.94497992E+02 
wp_bp_0001_20171017       3.94410825E+02 
wp_bp_0001_20171114       3.94362818E+02 
wp_bp_0001_20171218       3.94145342E+02 
wp_bp_0001_20180112       3.94033441E+02 
wp_bp_0001_20180216       3.93852779E+02 
wp_bp_0001_20180313       3.93707055E+02 
wp_bp_0001_20180418       3.93509227E+02 
wp_bp_0001_20180515       3.93370307E+02 
wp_bp_0001_20180618       3.93206276E+02 
wp_bp_0001_20181014       3.93910734E+02 
wp_bp_0001_20181109       3.94890513E+02 
wp_bp_0001_20181221       3.95465921E+02 
wp_bp_0001_20190220       3.95946311E+02 
wp_bp_0001_20190319       3.95744865E+02 
wp_bp_0001_20190409       3.95479677E+02 
wp_bp_0001_20190506       3.95275620E+02 
wp_bp_0001_20190606       3.95850688E+02 
wp_bp_0001_20190711       3.95974876E+02 
wp_bp_0001_20190814       3.95602523E+02 
wp_bp_0001_20190911       3.95202528E+02 
wp_bp_0001_20191015       3.94790932E+02 
wp_bp_0001_20191120       3.94434681E+02 
wp_bp_0001_20191218       3.94195419E+02 
wp_bp_0001_20200114       3.93987068E+02 
wp_bp_0001_20200219       3.93747530E+02 
wp_bp_0001_20200317       3.93879180E+02 
wp_bp_0001_20200429       3.94340470E+02 
wp_bp_0001_20200520       3.94375142E+02 
wp_bp_0001_20200622       3.95173991E+02 
wp_bp_0001_20200709       3.95393384E+02 
wp_bp_0001_20200811       3.95108186E+02 
wp_bp_0001_20200924       3.94619129E+02 
wp_bp_0001_20201026       3.94659670E+02 
wp_bp_0001_20201124       3.94342986E+02 
wp_bp_0001_20210118       3.93784864E+02 
wp_bp_0001_20210225       3.93473579E+02 
wp_bp_0001_20210324       3.93288234E+02 
wp_bp_0001_20210427       3.93062074E+02 
wp_bp_0001_20210527       3.92939233E+02 
wp_bp_0001_20210611       3.93305359E+02 
wp_bp_0001_20210727       3.94895073E+02 
wp_bp_0001_20210811       3.95100303E+02 
wo_bp_0001_20150101       3.97380295E+02 
wo_bp_0001_20150201       3.96657107E+02 
wo_bp_0001_20150301       3.96335655E+02 
wo_bp_0001_20150401       3.96113113E+02 
wo_bp_0001_20150501       3.96035532E+02 
wo_bp_0001_20150601       3.96389807E+02 
wo_bp_0001_20150701       3.96702283E+02 
wo_bp_0001_20150801       3.96535380E+02 
wo_bp_0001_20150901       3.96052635E+02 
wo_bp_0001_20151001       3.95626730E+02 
wo_bp_0001_20151101       3.95736479E+02 
wo_bp_0001_20151201       3.96337517E+02 
wo_bp_0001_20160101       3.96604150E+02 
wo_bp_0001_20160201       3.96442873E+02 
wo_bp_0001_20160301       3.96117251E+02 
wo_bp_0001_20160401       3.96201573E+02 
wo_bp_0001_20160501       3.96425537E+02 
wo_bp_0001_20160601       3.96673630E+02 
wo_bp_0001_20160701       3.96689691E+02 
wo_bp_0001_20160801       3.96253405E+02 
wo_bp_0001_20160901       3.95963523E+02 
wo_bp_0001_20161001       3.95760942E+02 
wo_bp_0001_20161101       3.95558774E+02 
wo_bp_0001_20161201       3.95709596E+02 
wo_bp_0001_20170101       3.95849759E+02 
wo_bp_0001_20170201       3.95794513E+02 
wo_bp_0001_20170301       3.95774079E+02 
wo_bp_0001_20170401       3.95683941E+02 
wo_bp_0001_20170501       3.95513613E+02 
wo_bp_0001_20170601       3.95224560E+02 
wo_bp_0001_20170701       3.94948311E+02 
wo_bp_0001_20170801       3.94693002E+02 
wo_bp_0001_20170901       3.94494738E+02 
wo_bp_0001_20171001       3.94408961E+02 
wo_bp_0001_20171101       3.94349681E+02 
wo_bp_0001_20171201       3.94160830E+02 
wo_bp_0001_20180101       3.94014031E+02 
wo_bp_0001_20180201       3.93861373E+02 
wo_bp_0001_20180301       3.93690449E+02 
wo_bp_0001_20180401       3.93522895E+02 
wo_bp_0001_20180501       3.93365701E+02 
wo_bp_0001_20180601       3.93218219E+02 
wo_bp_0001_20180701       3.93077750E+02 
wo_bp_0001_20180801       3.92939065E+02 
wo_bp_0001_20180901       3.92928595E+02 
wo_bp_0001_20181001       3.93980519E+02 
wo_bp_0001_20181101       3.95041750E+02 
wo_bp_0001_20181201       3.95438235E+02 
wo_bp_0001_20190101       3.95687731E+02 
wo_bp_0001_20190201       3.95922374E+02 
wo_bp_0001_20190301       3.95770734E+02 
wo_bp_0001_20190401       3.95413099E+02 
wo_bp_0001_20190501       3.95439238E+02 
wo_bp_0001_20190601       3.95937008E+02 
wo_bp_0001_20190701       3.95930029E+02 
wo_bp_0001_20190801       3.95572234E+02 
wo_bp_0001_20190901       3.95145820E+02 
wo_bp_0001_20191001       3.94782579E+02 
wo_bp_0001_20191101       3.94477439E+02 
wo_bp_0001_20191201       3.94212866E+02 
wo_bp_0001_20200101       3.93973261E+02 
wo_bp_0001_20200201       3.93781393E+02 
wo_bp_0001_20200301       3.93871755E+02 
wo_bp_0001_20200401       3.94154740E+02 
wo_bp_0001_20200501       3.94403567E+02 
wo_bp_0001_20200601       3.94979551E+02 
wo_bp_0001_20200701       3.95359648E+02 
wo_bp_0001_20200801       3.95033944E+02 
wo_bp_0001_20200901       3.94665722E+02 
wo_bp_0001_20201001       3.94688520E+02 
wo_bp_0001_20201101       3.94440428E+02 
wo_bp_0001_20201201       3.94104066E+02 
wo_bp_0001_20210101       3.93804330E+02 
wo_bp_0001_20210201       3.93555488E+02 
wo_bp_0001_20210301       3.93342651E+02 
wo_bp_0001_20210401       3.93137548E+02 
wo_bp_0001_20210501       3.92968099E+02 
wo_bp_0001_20210601       3.93516321E+02 
wo_bp_0001_20210701       3.94590768E+02 
wo_bp_0001_20210801       3.95087204E+02 
wo_bp_0001_20210901       3.94848473E+02 
wo_bp_0001_20211001       3.94392094E+02 
wo_bp_0001_20211101       3.94114518E+02 
wo_bp_0001_20211201       3.94008006E+02 
wp_bp_0011_20150113       3.98294629E+02 
wp_bp_0011_20150218       3.98421590E+02 
wp_bp_0011_20150318       3.98483735E+02 
wp_bp_0011_20150415       3.98517362E+02 
wp_bp_0011_20150524       3.98534094E+02 
wp_bp_0011_20150610       3.98544074E+02 
wp_bp_0011_20150712       3.98583334E+02 
wp_bp_0011_20150819       3.98642177E+02 
wp_bp_0011_20150915       3.98659032E+02 
wp_bp_0011_20151014       3.98644511E+02 
wp_bp_0011_20151118       3.98601900E+02 
wp_bp_0011_20151215       3.98599860E+02 
wp_bp_0011_20160118       3.98638946E+02 
wp_bp_0011_20160216       3.98680742E+02 
wp_bp_0011_20160323       3.98701584E+02 
wp_bp_0011_20160422       3.98709422E+02 
wp_bp_0011_20160517       3.98723792E+02 
wp_bp_0011_20160614       3.98753980E+02 
wp_bp_0011_20160418       3.98708201E+02 
wp_bp_0011_20160721       3.98807125E+02 
wp_bp_0011_20160817       3.98827313E+02 
wp_bp_0011_20160912       3.98822525E+02 
wp_bp_0011_20161026       3.98783338E+02 
wp_bp_0011_20161123       3.98742713E+02 
wp_bp_0011_20161222       3.98706807E+02 
wp_bp_0011_20170110       3.98694947E+02 
wp_bp_0011_20170208       3.98683010E+02 
