    C2D             x              y 
4996       578394.125    3350883.750 
4997       579242.625    3351732.250 
4998       580091.188    3352580.750 
4999       580939.688    3353429.250 
5000       581788.250    3354277.750 
5001       582636.750    3355126.250 
5002       583485.312    3355974.750 
5003       584333.812    3356823.500 
5004       585182.312    3357672.000 
5005       586030.875    3358520.500 
5006       586879.375    3359369.000 
5007       587727.938    3360217.500 
5008       588576.438    3361066.000 
6322       566726.875    3337731.500 
6326       566726.875    3336883.000 
6327       566726.875    3337307.250 
6328       566939.000    3337519.250 
6329       566939.000    3337095.000 
6330       567151.125    3337307.250 
6333       566939.000    3337943.750 
6334       567151.125    3338155.750 
6336       567363.250    3338792.250 
6337       567363.250    3338368.000 
6338       567575.375    3338580.000 
6339       567151.125    3337731.500 
6340       567363.250    3337943.750 
6341       567363.250    3337519.250 
6342       567575.375    3337731.500 
6343       567575.375    3338155.750 
6344       567787.500    3338368.000 
6345       567787.500    3337943.750 
6346       567999.625    3338155.750 
6347       567575.375    3339004.250 
6348       567787.500    3339216.500 
6349       567787.500    3338792.250 
6350       567999.625    3339004.250 
6351       568211.750    3339428.500 
6352       567999.625    3338580.000 
6353       568211.750    3338792.250 
6354       568211.750    3338368.000 
6355       568423.938    3338580.000 
6356       568423.938    3339004.250 
6357       568636.062    3339216.500 
6358       568636.062    3338792.250 
6359       568848.188    3339004.250 
6360       568636.062    3339852.750 
6361       569060.312    3340277.000 
6362       568848.188    3339428.500 
6363       569060.312    3339640.750 
6364       569060.312    3339216.500 
6365       569272.438    3339428.500 
6366       569272.438    3339852.750 
6367       569484.562    3340065.000 
6368       569484.562    3339640.750 
6369       569696.688    3339852.750 
6370       569484.562    3340701.250 
6371       569908.812    3341125.500 
6372       569908.812    3340277.000 
6373       570333.125    3340701.250 
6374       570333.125    3341549.750 
6375       570757.375    3341974.250 
6376       570757.375    3341125.500 
6377       571181.625    3341549.750 
6378       571181.625    3342398.500 
6379       571605.875    3342822.750 
6380       571605.875    3341974.250 
6381       572030.125    3342398.500 
6382       572030.125    3343247.000 
6383       572454.438    3343671.250 
6384       572454.438    3342822.750 
6385       572878.688    3343247.000 
6386       572878.688    3344095.500 
6387       573302.938    3344519.750 
6388       573302.938    3343671.250 
6389       573727.188    3344095.500 
6390       573727.188    3344944.000 
6391       574151.500    3345368.250 
6392       574151.500    3344519.750 
6393       574575.750    3344944.000 
6394       574575.750    3345792.500 
6395       575000.000    3346216.750 
6396       575000.000    3345368.250 
6397       575424.250    3345792.500 
6398       575424.250    3346641.000 
6399       575848.500    3347065.250 
6400       575848.500    3346216.750 
6401       576272.812    3346641.000 
6402       576272.812    3347489.500 
6403       576697.062    3347913.750 
6404       576697.062    3347065.250 
6405       577121.312    3347489.500 
6406       577121.312    3348338.000 
6407       577545.562    3348762.250 
6408       577545.562    3347913.750 
6409       577969.875    3348338.000 
6410       577969.875    3349186.500 
6411       578394.125    3349611.000 
6412       578394.125    3348762.250 
6413       578818.375    3349186.500 
6414       578818.375    3350035.250 
6415       579242.625    3350459.500 
6416       579242.625    3349611.000 
6417       579666.875    3350035.250 
6418       579666.875    3350883.750 
6419       580091.188    3351308.000 
6420       580091.188    3350459.500 
6421       580515.438    3350883.750 
6422       580939.688    3351732.250 
6423       581788.250    3352580.750 
6424       582636.750    3353429.250 
6425       583485.312    3354277.750 
6426       584333.812    3355126.250 
6427       585182.312    3355974.750 
6428       586030.875    3356823.500 
6429       586879.375    3357672.000 
6430       587727.938    3358520.500 
6431       588576.438    3359369.000 
6432       589425.000    3360217.500 
8102       566726.875    3336034.500 
8104       566514.750    3335398.000 
8105       566514.750    3334973.750 
8106       566726.875    3335186.000 
8107       566726.875    3335610.250 
8108       566939.000    3335822.250 
8109       566939.000    3335398.000 
8110       567151.125    3335610.250 
8111       566726.875    3336458.750 
8112       566939.000    3336670.750 
8113       566939.000    3336246.500 
8114       567151.125    3336458.750 
8115       567151.125    3336883.000 
8116       567363.250    3337095.000 
8117       567363.250    3336670.750 
8118       567575.375    3336883.000 
8119       567151.125    3336034.500 
8120       567363.250    3336246.500 
8121       567363.250    3335822.250 
8122       567575.375    3336034.500 
8123       567575.375    3336458.750 
8124       567787.500    3336670.750 
8125       567787.500    3336246.500 
8126       567999.625    3336458.750 
8127       567575.375    3337307.250 
8128       567787.500    3337519.250 
8129       567787.500    3337095.000 
8130       567999.625    3337307.250 
8131       567999.625    3337731.500 
8132       568211.750    3337943.750 
8133       568211.750    3337519.250 
8134       568423.938    3337731.500 
8135       567999.625    3336883.000 
8136       568211.750    3337095.000 
8137       568211.750    3336670.750 
8138       568423.938    3336883.000 
8139       568423.938    3337307.250 
8140       568636.062    3337519.250 
8141       568636.062    3337095.000 
8142       568848.188    3337307.250 
8143       568423.938    3338155.750 
8144       568636.062    3338368.000 
8145       568636.062    3337943.750 
8146       568848.188    3338155.750 
8147       568848.188    3338580.000 
8148       569060.312    3338792.250 
8149       569060.312    3338368.000 
8150       569272.438    3338580.000 
8151       568848.188    3337731.500 
8152       569060.312    3337943.750 
8153       569060.312    3337519.250 
8154       569272.438    3337731.500 
8155       569272.438    3338155.750 
8156       569484.562    3338368.000 
8157       569484.562    3337943.750 
8158       569696.688    3338155.750 
8159       569272.438    3339004.250 
8160       569484.562    3339216.500 
8161       569484.562    3338792.250 
8162       569696.688    3339004.250 
8163       569696.688    3339428.500 
8164       569908.812    3339640.750 
8165       569908.812    3339216.500 
8166       570120.938    3339428.500 
8167       569696.688    3338580.000 
8168       569908.812    3338792.250 
8169       569908.812    3338368.000 
8170       570120.938    3338580.000 
8171       570120.938    3339004.250 
8172       570333.125    3339216.500 
8173       570333.125    3338792.250 
8174       570545.250    3339004.250 
8175       570120.938    3339852.750 
8176       570333.125    3340065.000 
8177       570333.125    3339640.750 
8178       570545.250    3339852.750 
8179       570545.250    3340277.000 
8180       570757.375    3340489.250 
8181       570757.375    3340065.000 
8182       570969.500    3340277.000 
8183       570545.250    3339428.500 
8184       570757.375    3339640.750 
8185       570757.375    3339216.500 
8186       570969.500    3339428.500 
8187       570969.500    3339852.750 
8188       571181.625    3340065.000 
8189       571181.625    3339640.750 
8190       571393.750    3339852.750 
8191       570969.500    3340701.250 
8192       571181.625    3340913.500 
8193       571181.625    3340489.250 
8194       571393.750    3340701.250 
8195       571605.875    3341125.500 
8196       571393.750    3340277.000 
8197       571605.875    3340489.250 
8198       571605.875    3340065.000 
8199       571818.000    3340277.000 
8200       571818.000    3340701.250 
8201       572030.125    3340913.500 
8202       572030.125    3340489.250 
8203       572242.312    3340701.250 
8204       572030.125    3341549.750 
8205       572454.438    3341974.250 
8206       572242.312    3341125.500 
8207       572454.438    3341337.750 
8208       572454.438    3340913.500 
8209       572666.562    3341125.500 
8210       572666.562    3341549.750 
8211       572878.688    3341762.000 
8212       572878.688    3341337.750 
8213       573090.812    3341549.750 
8214       572878.688    3342398.500 
8215       573302.938    3342822.750 
8216       573302.938    3341974.250 
8217       573727.188    3342398.500 
8218       573727.188    3343247.000 
8219       574151.500    3343671.250 
8220       574151.500    3342822.750 
8221       574575.750    3343247.000 
8222       574575.750    3344095.500 
8223       575000.000    3344519.750 
8224       575000.000    3343671.250 
8225       575424.250    3344095.500 
8226       575424.250    3344944.000 
8227       575848.500    3345368.250 
8228       575848.500    3344519.750 
8229       576272.812    3344944.000 
8230       576272.812    3345792.500 
8231       576697.062    3346216.750 
8232       576697.062    3345368.250 
8233       577121.312    3345792.500 
8234       577121.312    3346641.000 
8235       577545.562    3347065.250 
8236       577545.562    3346216.750 
8237       577969.875    3346641.000 
8238       577969.875    3347489.500 
8239       578394.125    3347913.750 
8240       578394.125    3347065.250 
8241       578818.375    3347489.500 
8242       578818.375    3348338.000 
8243       579242.625    3348762.250 
8244       579242.625    3347913.750 
8245       579666.875    3348338.000 
8246       579666.875    3349186.500 
8247       580091.188    3349611.000 
8248       580091.188    3348762.250 
8249       580515.438    3349186.500 
8250       580515.438    3350035.250 
8251       580939.688    3350459.500 
8252       580939.688    3349611.000 
8253       581363.938    3350035.250 
8254       581363.938    3350883.750 
8255       581788.250    3351308.000 
8256       581788.250    3350459.500 
8257       582212.500    3350883.750 
8258       582212.500    3351732.250 
8259       582636.750    3352156.500 
8260       582636.750    3351308.000 
8261       583061.000    3351732.250 
8262       583485.312    3352580.750 
8263       584333.812    3353429.250 
8264       585182.312    3354277.750 
8265       586030.875    3355126.250 
8266       586879.375    3355974.750 
8267       587727.938    3356823.500 
8268       588576.438    3357672.000 
8269       589425.000    3358520.500 
8270       590273.500    3359369.000 
10787      564499.438    3332216.000 
10788      564605.562    3332322.250 
10789      564605.562    3332110.000 
10790      564711.625    3332216.000 
10793      564817.688    3332428.250 
10794      565029.812    3332640.250 
10799      564711.625    3332004.000 
10800      564817.688    3332110.000 
10801      564817.688    3331897.750 
10802      564923.750    3332004.000 
10807      564923.750    3331791.750 
10808      565029.812    3331897.750 
10810      565135.875    3331791.750 
10811      565029.812    3332216.000 
10812      565241.938    3332428.250 
10813      565241.938    3332004.000 
10814      565454.062    3332216.000 
10817      565241.938    3332852.500 
10818      565454.062    3333064.500 
10821      565666.188    3333276.750 
10822      565878.312    3333488.750 
10823      565454.062    3332640.250 
10824      565666.188    3332852.500 
10825      565666.188    3332428.250 
10826      565878.312    3332640.250 
10827      565878.312    3333064.500 
10828      566090.438    3333276.750 
10829      566090.438    3332852.500 
10830      566302.562    3333064.500 
10833      566090.438    3333701.000 
10834      566302.562    3333913.000 
10835      566302.562    3334337.500 
10836      566408.625    3334549.500 
10837      566514.750    3334655.500 
10838      566514.750    3334443.500 
10839      566620.812    3334549.500 
10840      566408.625    3334125.250 
10841      566514.750    3334231.250 
10842      566514.750    3334019.250 
10843      566620.812    3334125.250 
10844      566620.812    3334337.500 
10845      566726.875    3334443.500 
10846      566726.875    3334231.250 
10847      566832.938    3334337.500 
10848      566302.562    3333488.750 
10849      566408.625    3333701.000 
10850      566514.750    3333807.000 
10851      566514.750    3333595.000 
10852      566620.812    3333701.000 
10853      566408.625    3333276.750 
10854      566514.750    3333382.750 
10855      566514.750    3333170.750 
10856      566620.812    3333276.750 
10857      566620.812    3333488.750 
10858      566726.875    3333595.000 
10859      566726.875    3333382.750 
10860      566832.938    3333488.750 
10861      566620.812    3333913.000 
10862      566726.875    3334019.250 
10863      566726.875    3333807.000 
