 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
56037      589212.875    3338102.750    10.823650       1.719150        9.146740        0.171584        18.775700       10.499150       5.971730        0.257581        18.314800       4.001820        18.813301       0.230229        0.868993        0.893241        0.010000        0.012012     
56264      590061.375    3338474.000    5.881920        4.501555        7.207705        0.195303        4.351405        2.374525        8.206860        0.239915        7.378585        1.917510        8.768785        0.232692        1.046295        0.479003        0.011367        0.009011     
58582      586243.000    3332958.500    7.078960        2.466930        4.209055        0.226407        13.630051       5.388055        11.134649       0.244943        29.814899       7.815585        1.878580        0.242696        2.206260        0.107377        0.011596        0.009537     
58907      587356.688    3335186.000    7.080045        3.049140        7.626890        0.187329        5.559655        4.299250        2.964425        0.192404        35.986748       9.271780        17.760000       0.324620        1.669130        0.023844        0.012447        0.009010     
59770      591334.188    3339110.250    11.059999       1.616920        3.574120        0.179873        9.523760        33.031101       18.666201       0.241713        47.733501       9.729010        10.956500       0.193711        0.666699        0.083331        0.031927        0.021512     
59905      595364.688    3342610.500    23.247200       3.512070        1.999895        0.156076        19.065449       1.173715        5.766765        0.224593        8.326885        10.457850       9.582035        0.339866        0.675590        0.102598        0.010275        0.009026     
62032      584970.188    3330837.250    5.450490        1.000495        4.643975        0.151839        9.225025        8.769316        3.852395        0.221038        15.405550       9.914580        5.454845        0.278076        1.099495        0.098926        0.010699        0.009016     
74066      603425.688    3344095.500    9.938915        10.212265       4.971770        0.212968        7.350930        3.455410        31.321550       0.216046        32.088200       4.741580        16.344500       0.229078        1.188640        0.064625        0.035423        0.062617     
77022      595046.500    3333435.750    2.997245        2.529650        9.380770        0.163840        8.948970        5.200075        8.170930        0.324603        29.053200       9.058769        18.301750       0.197681        0.477951        0.089291        0.045120        0.009000     
77270      597910.250    3336670.750    6.089640        3.623645        4.261195        0.185773        15.238720       8.096120        38.258598       0.270197        24.955299       8.066440        7.890020        0.259646        1.239646        0.295994        0.061295        0.025276     
77301      600880.125    3339852.750    12.593885       3.601965        4.627770        0.149865        3.927185        10.199724       11.654400       0.284068        31.073551       4.047945        5.617600        0.275052        1.729735        0.051020        0.010000        0.009579     
79692      593773.688    3330731.250    29.984001       2.994275        7.291360        0.175402        37.095650       6.824775        6.290945        0.231857        49.911201       7.769895        30.000000       0.292177        1.204590        0.082191        0.011519        0.014532     
80237      596266.250    3332534.250    17.639000       2.065475        4.952650        0.180269        23.332550       8.708281        4.914110        0.222309        47.589447       4.189785        25.404049       0.245782        1.437120        0.047364        0.068565        0.036787     
80410      599183.062    3335822.250    19.631149       3.164970        1.863995        0.171356        24.961300       2.937220        8.750780        0.217205        12.000350       7.286280        8.535995        0.248395        2.427035        0.054561        0.019082        0.009000     
