obsnme                             value 
l_nrmse                   5.79546262E-02 
g_4595                    5.73335741E-01 
g_7817                    1.92180888E-01 
g_55200                   8.33898573E-01 
g_58700                   6.59194859E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.57014516E-01 
g_70500                   3.65215193E-01 
g_70890                   9.12666044E-02 
g_70950                   5.25526770E-01 
g_70990                   6.44110387E-01 
g_71000                   6.20462579E-01 
g_71290                   6.72593725E-01 
g_71300                   5.71755381E-01 
g_71350                   5.08848756E-01 
g_71400                   3.23224393E-01 
wp_bp_0001_20150113       3.97481791E+02 
wp_bp_0001_20150218       3.96477180E+02 
wp_bp_0001_20150318       3.96140122E+02 
wp_bp_0001_20150415       3.95952702E+02 
wp_bp_0001_20150524       3.95978295E+02 
wp_bp_0001_20150610       3.96298993E+02 
wp_bp_0001_20150712       3.96678776E+02 
wp_bp_0001_20150819       3.96311789E+02 
wp_bp_0001_20150915       3.95791931E+02 
wp_bp_0001_20151014       3.95345154E+02 
wp_bp_0001_20151118       3.95712136E+02 
wp_bp_0001_20151215       3.96325159E+02 
wp_bp_0001_20160118       3.96563267E+02 
wp_bp_0001_20160216       3.96251937E+02 
wp_bp_0001_20160323       3.95894735E+02 
wp_bp_0001_20160422       3.96078416E+02 
wp_bp_0001_20160517       3.96380559E+02 
wp_bp_0001_20160614       3.96608857E+02 
wp_bp_0001_20160721       3.96479231E+02 
wp_bp_0001_20160817       3.95948944E+02 
wp_bp_0001_20160912       3.95744273E+02 
wp_bp_0001_20161026       3.95423284E+02 
wp_bp_0001_20161123       3.95286694E+02 
wp_bp_0001_20161222       3.95642396E+02 
wp_bp_0001_20170110       3.95707919E+02 
wp_bp_0001_20170208       3.95641792E+02 
wp_bp_0001_20170317       3.95608841E+02 
wp_bp_0001_20170417       3.95432914E+02 
wp_bp_0001_20170512       3.95285086E+02 
wp_bp_0001_20170613       3.94896425E+02 
wp_bp_0001_20170711       3.94600700E+02 
wp_bp_0001_20170816       3.94257532E+02 
wp_bp_0001_20170915       3.94045879E+02 
wp_bp_0001_20171017       3.93977785E+02 
wp_bp_0001_20171114       3.93886477E+02 
wp_bp_0001_20171218       3.93611378E+02 
wp_bp_0001_20180112       3.93492087E+02 
wp_bp_0001_20180216       3.93267444E+02 
wp_bp_0001_20180313       3.93096794E+02 
wp_bp_0001_20180418       3.92869415E+02 
wp_bp_0001_20180515       3.92710294E+02 
wp_bp_0001_20180618       3.92521913E+02 
wp_bp_0001_20181014       3.93533749E+02 
wp_bp_0001_20181109       3.94662832E+02 
wp_bp_0001_20181221       3.95189328E+02 
wp_bp_0001_20190220       3.95697194E+02 
wp_bp_0001_20190319       3.95377443E+02 
wp_bp_0001_20190409       3.95015341E+02 
wp_bp_0001_20190506       3.94791984E+02 
wp_bp_0001_20190606       3.95628298E+02 
wp_bp_0001_20190711       3.95669557E+02 
wp_bp_0001_20190814       3.95143226E+02 
wp_bp_0001_20190911       3.94643864E+02 
wp_bp_0001_20191015       3.94152144E+02 
wp_bp_0001_20191120       3.93731313E+02 
wp_bp_0001_20191218       3.93450612E+02 
wp_bp_0001_20200114       3.93207126E+02 
wp_bp_0001_20200219       3.92933569E+02 
wp_bp_0001_20200317       3.93138714E+02 
wp_bp_0001_20200429       3.93676944E+02 
wp_bp_0001_20200520       3.93623945E+02 
wp_bp_0001_20200622       3.94781032E+02 
wp_bp_0001_20200709       3.94980115E+02 
wp_bp_0001_20200811       3.94470120E+02 
wp_bp_0001_20200924       3.93873243E+02 
wp_bp_0001_20201026       3.93877297E+02 
wp_bp_0001_20201124       3.93442495E+02 
wp_bp_0001_20210118       3.92777473E+02 
wp_bp_0001_20210225       3.92418261E+02 
wp_bp_0001_20210324       3.92205076E+02 
wp_bp_0001_20210427       3.91944680E+02 
wp_bp_0001_20210527       3.91805665E+02 
wp_bp_0001_20210611       3.92297031E+02 
wp_bp_0001_20210727       3.94254283E+02 
wp_bp_0001_20210811       3.94445512E+02 
wo_bp_0001_20150101       3.97399533E+02 
wo_bp_0001_20150201       3.96515713E+02 
wo_bp_0001_20150301       3.96172033E+02 
wo_bp_0001_20150401       3.95945970E+02 
wo_bp_0001_20150501       3.95917778E+02 
wo_bp_0001_20150601       3.96378047E+02 
wo_bp_0001_20150701       3.96668039E+02 
wo_bp_0001_20150801       3.96363786E+02 
wo_bp_0001_20150901       3.95788626E+02 
wo_bp_0001_20151001       3.95326630E+02 
wo_bp_0001_20151101       3.95617937E+02 
wo_bp_0001_20151201       3.96318687E+02 
wo_bp_0001_20160101       3.96532447E+02 
wo_bp_0001_20160201       3.96257695E+02 
wo_bp_0001_20160301       3.95904167E+02 
wo_bp_0001_20160401       3.96074392E+02 
wo_bp_0001_20160501       3.96351461E+02 
wo_bp_0001_20160601       3.96611627E+02 
wo_bp_0001_20160701       3.96538497E+02 
wo_bp_0001_20160801       3.95985548E+02 
wo_bp_0001_20160901       3.95708135E+02 
wo_bp_0001_20161001       3.95494007E+02 
wo_bp_0001_20161101       3.95280736E+02 
wo_bp_0001_20161201       3.95542831E+02 
wo_bp_0001_20170101       3.95677570E+02 
wo_bp_0001_20170201       3.95596077E+02 
wo_bp_0001_20170301       3.95588053E+02 
wo_bp_0001_20170401       3.95453481E+02 
wo_bp_0001_20170501       3.95230611E+02 
wo_bp_0001_20170601       3.94871562E+02 
wo_bp_0001_20170701       3.94551379E+02 
wo_bp_0001_20170801       3.94259313E+02 
wo_bp_0001_20170901       3.94039966E+02 
wo_bp_0001_20171001       3.93964301E+02 
wo_bp_0001_20171101       3.93871193E+02 
wo_bp_0001_20171201       3.93631227E+02 
wo_bp_0001_20180101       3.93466109E+02 
wo_bp_0001_20180201       3.93278259E+02 
wo_bp_0001_20180301       3.93077748E+02 
wo_bp_0001_20180401       3.92885094E+02 
wo_bp_0001_20180501       3.92704997E+02 
wo_bp_0001_20180601       3.92535650E+02 
wo_bp_0001_20180701       3.92374177E+02 
wo_bp_0001_20180801       3.92215053E+02 
wo_bp_0001_20180901       3.92241784E+02 
wo_bp_0001_20181001       3.93609554E+02 
wo_bp_0001_20181101       3.94817963E+02 
wo_bp_0001_20181201       3.95167288E+02 
wo_bp_0001_20190101       3.95455268E+02 
wo_bp_0001_20190201       3.95683926E+02 
wo_bp_0001_20190301       3.95416877E+02 
wo_bp_0001_20190401       3.94936628E+02 
wo_bp_0001_20190501       3.95064040E+02 
wo_bp_0001_20190601       3.95695777E+02 
wo_bp_0001_20190701       3.95603222E+02 
wo_bp_0001_20190801       3.95106928E+02 
wo_bp_0001_20190901       3.94576135E+02 
wo_bp_0001_20191001       3.94142389E+02 
wo_bp_0001_20191101       3.93781716E+02 
wo_bp_0001_20191201       3.93471095E+02 
wo_bp_0001_20200101       3.93191044E+02 
wo_bp_0001_20200201       3.92975100E+02 
wo_bp_0001_20200301       3.93123744E+02 
wo_bp_0001_20200401       3.93458110E+02 
wo_bp_0001_20200501       3.93694156E+02 
wo_bp_0001_20200601       3.94519381E+02 
wo_bp_0001_20200701       3.94898963E+02 
wo_bp_0001_20200801       3.94371837E+02 
wo_bp_0001_20200901       3.93907757E+02 
wo_bp_0001_20201001       3.93949086E+02 
wo_bp_0001_20201101       3.93569754E+02 
wo_bp_0001_20201201       3.93152572E+02 
wo_bp_0001_20210101       3.92800259E+02 
wo_bp_0001_20210201       3.92512544E+02 
wo_bp_0001_20210301       3.92267962E+02 
wo_bp_0001_20210401       3.92031342E+02 
wo_bp_0001_20210501       3.91837763E+02 
wo_bp_0001_20210601       3.92557917E+02 
wo_bp_0001_20210701       3.93875910E+02 
wo_bp_0001_20210801       3.94401086E+02 
wo_bp_0001_20210901       3.93948869E+02 
wo_bp_0001_20211001       3.93331013E+02 
wo_bp_0001_20211101       3.93010618E+02 
wo_bp_0001_20211201       3.92850958E+02 
wp_bp_0011_20150113       3.98316798E+02 
wp_bp_0011_20150218       3.98480432E+02 
wp_bp_0011_20150318       3.98550270E+02 
wp_bp_0011_20150415       3.98583946E+02 
wp_bp_0011_20150524       3.98596140E+02 
wp_bp_0011_20150610       3.98608815E+02 
wp_bp_0011_20150712       3.98662230E+02 
wp_bp_0011_20150819       3.98734762E+02 
wp_bp_0011_20150915       3.98746458E+02 
wp_bp_0011_20151014       3.98714437E+02 
wp_bp_0011_20151118       3.98649920E+02 
wp_bp_0011_20151215       3.98653364E+02 
wp_bp_0011_20160118       3.98712880E+02 
wp_bp_0011_20160216       3.98766072E+02 
wp_bp_0011_20160323       3.98781216E+02 
wp_bp_0011_20160422       3.98784798E+02 
wp_bp_0011_20160517       3.98802077E+02 
wp_bp_0011_20160614       3.98840561E+02 
wp_bp_0011_20160418       3.98783790E+02 
wp_bp_0011_20160721       3.98904158E+02 
wp_bp_0011_20160817       3.98919385E+02 
wp_bp_0011_20160912       3.98900303E+02 
wp_bp_0011_20161026       3.98831858E+02 
wp_bp_0011_20161123       3.98770592E+02 
wp_bp_0011_20161222       3.98720983E+02 
wp_bp_0011_20170110       3.98706507E+02 
wp_bp_0011_20170208       3.98690640E+02 
wp_bp_0011_20170317       3.98663913E+02 
wp_bp_0011_20170419       3.98634415E+02 
wp_bp_0011_20170512       3.98603750E+02 
wp_bp_0011_20170613       3.98537538E+02 
wp_bp_0011_20170711       3.98457310E+02 
wp_bp_0011_20170816       3.98332817E+02 
wp_bp_0011_20170915       3.98218391E+02 
wp_bp_0011_20171017       3.98095885E+02 
wp_bp_0011_20171114       3.97999349E+02 
wp_bp_0011_20171218       3.97880852E+02 
wp_bp_0011_20180112       3.97789798E+02 
wp_bp_0011_20180216       3.97661753E+02 
wp_bp_0011_20180313       3.97567834E+02 
wp_bp_0011_20180515       3.97323991E+02 
wp_bp_0011_20180618       3.97191308E+02 
wp_bp_0011_20180720       3.97067165E+02 
wp_bp_0011_20180820       3.96947982E+02 
wp_bp_0011_20181014       3.96793444E+02 
wp_bp_0011_20181109       3.96843683E+02 
wp_bp_0011_20181221       3.97040786E+02 
wp_bp_0011_20190221       3.97341213E+02 
wp_bp_0011_20190319       3.97444205E+02 
wp_bp_0011_20190409       3.97491536E+02 
wp_bp_0011_20190506       3.97507251E+02 
wp_bp_0011_20190606       3.97533013E+02 
wp_bp_0011_20190711       3.97615239E+02 
wp_bp_0011_20190808       3.97662137E+02 
wp_bp_0011_20190911       3.97650957E+02 
wp_bp_0011_20191015       3.97576118E+02 
wp_bp_0011_20191120       3.97455727E+02 
wp_bp_0011_20191218       3.97346240E+02 
wp_bp_0011_20200114       3.97233685E+02 
wp_bp_0011_20200219       3.97078494E+02 
wp_bp_0011_20200317       3.96973424E+02 
wp_bp_0011_20200429       3.96869018E+02 
wp_bp_0011_20200520       3.96843860E+02 
wp_bp_0011_20200622       3.96850693E+02 
wp_bp_0011_20200709       3.96888430E+02 
wp_bp_0011_20200811       3.96953165E+02 
wp_bp_0011_20200924       3.96932806E+02 
wp_bp_0011_20201020       3.96899047E+02 
wp_bp_0011_20201124       3.96834412E+02 
wp_bp_0011_20210118       3.96661019E+02 
wp_bp_0011_20210225       3.96511431E+02 
wp_bp_0011_20210324       3.96399288E+02 
wp_bp_0011_20210427       3.96255666E+02 
wp_bp_0011_20210527       3.96129379E+02 
wp_bp_0011_20210611       3.96079546E+02 
wp_bp_0011_20210727       3.96110393E+02 
wp_bp_0011_20210811       3.96164870E+02 
wo_bp_0011_20150101       3.98332396E+02 
wo_bp_0011_20150201       3.98465999E+02 
wo_bp_0011_20150301       3.98544881E+02 
wo_bp_0011_20150401       3.98582876E+02 
wo_bp_0011_20150501       3.98594348E+02 
wo_bp_0011_20150601       3.98616934E+02 
wo_bp_0011_20150701       3.98671108E+02 
wo_bp_0011_20150801       3.98728792E+02 
wo_bp_0011_20150901       3.98744169E+02 
wo_bp_0011_20151001       3.98709313E+02 
wo_bp_0011_20151101       3.98655615E+02 
wo_bp_0011_20151201       3.98656720E+02 
wo_bp_0011_20160101       3.98708851E+02 
wo_bp_0011_20160201       3.98763024E+02 
wo_bp_0011_20160301       3.98781199E+02 
wo_bp_0011_20160401       3.98783696E+02 
wo_bp_0011_20160501       3.98801978E+02 
wo_bp_0011_20160601       3.98843774E+02 
wo_bp_0011_20160701       3.98895622E+02 
wo_bp_0011_20160801       3.98917375E+02 
wo_bp_0011_20160901       3.98895428E+02 
wo_bp_0011_20161001       3.98849630E+02 
wo_bp_0011_20161101       3.98787572E+02 
wo_bp_0011_20161201       3.98730196E+02 
wo_bp_0011_20170101       3.98703222E+02 
wo_bp_0011_20170201       3.98686216E+02 
wo_bp_0011_20170301       3.98664688E+02 
wo_bp_0011_20170401       3.98637841E+02 
wo_bp_0011_20170501       3.98595991E+02 
wo_bp_0011_20170601       3.98530169E+02 
wo_bp_0011_20170701       3.98440528E+02 
wo_bp_0011_20170801       3.98332386E+02 
wo_bp_0011_20170901       3.98216384E+02 
wo_bp_0011_20171001       3.98100260E+02 
wo_bp_0011_20171101       3.97994166E+02 
wo_bp_0011_20171201       3.97887773E+02 
wo_bp_0011_20180101       3.97775260E+02 
wo_bp_0011_20180201       3.97667192E+02 
wo_bp_0011_20180301       3.97556287E+02 
wo_bp_0011_20180401       3.97438890E+02 
wo_bp_0011_20180501       3.97320079E+02 
wo_bp_0011_20180601       3.97201073E+02 
wo_bp_0011_20180701       3.97082670E+02 
wo_bp_0011_20180801       3.96963344E+02 
wo_bp_0011_20180901       3.96849845E+02 
wo_bp_0011_20181001       3.96799785E+02 
wo_bp_0011_20181101       3.96872017E+02 
wo_bp_0011_20181201       3.97015783E+02 
wo_bp_0011_20190101       3.97165307E+02 
wo_bp_0011_20190201       3.97309445E+02 
wo_bp_0011_20190301       3.97431677E+02 
wo_bp_0011_20190401       3.97496646E+02 
wo_bp_0011_20190501       3.97511343E+02 
wo_bp_0011_20190601       3.97554264E+02 
wo_bp_0011_20190701       3.97624951E+02 
wo_bp_0011_20190801       3.97663722E+02 
wo_bp_0011_20190901       3.97642165E+02 
wo_bp_0011_20191001       3.97571957E+02 
wo_bp_0011_20191101       3.97471627E+02 
wo_bp_0011_20191201       3.97353974E+02 
wo_bp_0011_20200101       3.97224989E+02 
wo_bp_0011_20200201       3.97096051E+02 
wo_bp_0011_20200301       3.96978433E+02 
wo_bp_0011_20200401       3.96893618E+02 
wo_bp_0011_20200501       3.96849129E+02 
wo_bp_0011_20200601       3.96844698E+02 
wo_bp_0011_20200701       3.96905003E+02 
wo_bp_0011_20200801       3.96954302E+02 
wo_bp_0011_20200901       3.96943245E+02 
wo_bp_0011_20201001       3.96903915E+02 
wo_bp_0011_20201101       3.96852433E+02 
wo_bp_0011_20201201       3.96772926E+02 
wo_bp_0011_20210101       3.96667823E+02 
wo_bp_0011_20210201       3.96553840E+02 
wo_bp_0011_20210301       3.96432652E+02 
wo_bp_0011_20210401       3.96304372E+02 
wo_bp_0011_20210501       3.96175401E+02 
wo_bp_0011_20210601       3.96075555E+02 
wo_bp_0011_20210701       3.96084385E+02 
wo_bp_0011_20210801       3.96183604E+02 
wo_bp_0011_20210901       3.96275804E+02 
wo_bp_0011_20211001       3.96299149E+02 
wo_bp_0011_20211101       3.96262811E+02 
