    C2D             x              y 
120182     612547.375    3328928.000 
120183     612547.375    3328716.000 
120184     612653.438    3328822.000 
120185     612653.438    3329034.000 
120186     612759.500    3329140.250 
120187     612759.500    3328928.000 
120188     612865.562    3329034.000 
120189     612653.438    3328609.750 
120190     612759.500    3328716.000 
120191     612759.500    3328503.750 
120192     612865.562    3328609.750 
120193     612865.562    3328822.000 
120194     612971.625    3328928.000 
120195     612971.625    3328716.000 
120196     613077.688    3328822.000 
120197     612441.312    3329670.500 
120198     612547.375    3329776.500 
120199     612547.375    3329564.500 
120200     612653.438    3329670.500 
120201     612653.438    3329882.500 
120202     612759.500    3329988.750 
120203     612759.500    3329776.500 
120204     612865.562    3329882.500 
120205     612653.438    3329458.250 
120206     612759.500    3329564.500 
120207     612759.500    3329352.250 
120208     612865.562    3329458.250 
120209     612865.562    3329670.500 
120210     612971.625    3329776.500 
120211     612971.625    3329564.500 
120212     613077.688    3329670.500 
120213     612971.625    3330094.750 
120214     613183.750    3330306.750 
120215     613183.750    3329882.500 
120216     613395.875    3330094.750 
120217     612865.562    3329246.250 
120218     612971.625    3329352.250 
120219     612971.625    3329140.250 
120220     613077.688    3329246.250 
120221     613077.688    3329458.250 
120222     613183.750    3329564.500 
120223     613183.750    3329352.250 
120224     613289.812    3329458.250 
120225     613077.688    3329034.000 
120226     613183.750    3329140.250 
120227     613183.750    3328928.000 
120228     613289.812    3329034.000 
120229     613289.812    3329246.250 
120230     613395.875    3329352.250 
120231     613395.875    3329140.250 
120232     613501.938    3329246.250 
120233     613289.812    3329670.500 
120234     613395.875    3329776.500 
120235     613395.875    3329564.500 
120236     613501.938    3329670.500 
120237     613608.062    3329882.500 
120238     613501.938    3329458.250 
120239     613608.062    3329564.500 
120240     613608.000    3329352.250 
120241     613714.125    3329458.250 
120242     613820.188    3329670.500 
120243     613395.875    3330519.000 
120244     613608.062    3330731.250 
120245     613608.062    3330306.750 
120246     613820.188    3330519.000 
120247     613820.188    3330943.250 
120248     614032.312    3331155.500 
120249     614032.312    3330731.250 
120250     614244.438    3330943.250 
120251     613820.188    3330094.750 
120252     614032.312    3330306.750 
120253     614032.312    3329882.500 
120254     614244.438    3330094.750 
120255     614244.438    3330519.000 
120256     614456.562    3330731.250 
120257     614456.562    3330306.750 
120258     614668.688    3330519.000 
120259     614244.438    3331367.500 
120260     614456.562    3331579.750 
120261     614456.562    3331155.500 
120262     614668.688    3331367.500 
120263     614880.812    3331791.750 
120264     614668.688    3330943.250 
120265     614880.812    3331155.500 
120266     614880.812    3330731.250 
120267     615092.938    3330943.250 
120268     615305.062    3331367.500 
120269     615305.062    3332216.000 
120270     615729.375    3332640.250 
120271     615729.375    3331791.750 
120272     616153.625    3332216.000 
120273     616153.625    3333064.500 
120274     616577.875    3333488.750 
120275     616577.875    3332640.250 
120276     617002.125    3333064.500 
120277     617002.125    3333913.000 
120278     617426.438    3334337.500 
120279     617426.438    3333488.750 
120280     617850.688    3333913.000 
120281     617850.688    3334761.750 
120282     618274.938    3335186.000 
120283     618274.938    3334337.500 
120284     618699.188    3334761.750 
120285     618699.188    3335610.250 
120286     619123.438    3336034.500 
120287     619123.438    3335186.000 
120288     619547.750    3335610.250 
120289     619547.750    3336458.750 
120290     619972.000    3336034.500 
121282     610850.312    3325958.250 
121283     610850.312    3325746.000 
121284     610956.375    3325852.000 
121290     610850.312    3325534.000 
121291     610850.312    3325321.750 
121292     610956.375    3325427.750 
121293     610956.375    3325640.000 
121294     611062.438    3325746.000 
121295     611062.438    3325534.000 
121296     611168.500    3325640.000 
121297     611062.438    3325215.750 
121298     611274.562    3325427.750 
121300     610850.312    3326382.500 
121301     610850.312    3326170.250 
121302     610956.375    3326276.250 
121303     610956.375    3326488.500 
121304     611062.438    3326594.500 
121305     611062.438    3326382.500 
121306     611168.500    3326488.500 
121307     610956.375    3326064.250 
121308     611062.438    3326170.250 
121309     611062.438    3325958.250 
121310     611168.500    3326064.250 
121311     611168.500    3326276.250 
121312     611274.562    3326382.500 
121313     611274.562    3326170.250 
121314     611380.625    3326276.250 
121315     611168.500    3326700.750 
121316     611274.562    3326806.750 
121317     611274.562    3326594.500 
121318     611380.625    3326700.750 
121319     611380.625    3326912.750 
121320     611486.688    3327018.750 
121321     611486.688    3326806.750 
121322     611592.750    3326912.750 
121323     611380.625    3326488.500 
121324     611486.688    3326594.500 
121325     611486.688    3326382.500 
121326     611592.750    3326488.500 
121327     611592.750    3326700.750 
121328     611698.812    3326806.750 
121329     611698.812    3326594.500 
121330     611804.938    3326700.750 
121331     611168.500    3325852.000 
121332     611274.562    3325958.250 
121333     611274.562    3325746.000 
121334     611380.625    3325852.000 
121335     611380.625    3326064.250 
121336     611486.688    3326170.250 
121337     611486.688    3325958.250 
121338     611592.750    3326064.250 
121339     611486.688    3325640.000 
121340     611592.750    3325852.000 
121341     611698.812    3325958.250 
121342     611698.812    3325746.000 
121343     611804.938    3325852.000 
121344     611592.750    3326276.250 
121345     611698.812    3326382.500 
121346     611698.812    3326170.250 
121347     611804.938    3326276.250 
121348     611804.938    3326488.500 
121349     611911.000    3326594.500 
121350     611911.000    3326382.500 
121351     612017.062    3326488.500 
121352     611804.938    3326064.250 
121353     611911.000    3326170.250 
121354     611911.000    3325958.250 
121355     612017.062    3326064.250 
121356     612017.062    3326276.250 
