 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
79513      591016.000    3327337.000    38.195847       6.000000        8.097730        0.150000        13.794700       6.746822        14.030000       0.150000        56.299999       2.123142        7.918752        0.150000        18.793600       10.659650       27.542999       0.348976        0.888175        0.025442     
81891      585182.312    3320920.000    35.344200       6.423936        11.248000       0.268406        13.520875       6.573967        14.030000       0.244344        56.299999       4.479030        11.254500       0.150000        18.442800       2.802040        21.597626       0.211212        7.030000        0.016849     
82670      588470.375    3323518.750    97.140549       6.000000        15.482150       0.254285        21.299999       4.350160        17.083620       0.150000        22.889675       3.370210        9.838890        0.150000        35.399460       3.312300        21.299999       0.260062        1.367970        0.063167     
86186      586455.125    3320708.000    25.713800       6.000000        16.532585       0.150000        11.846775       4.583170        1.994495        0.150000        16.320500       8.924337        16.195900       0.150000        29.078701       3.616890        7.872057        0.210646        0.530906        0.010800     
86204      586508.188    3320230.500    49.136497       9.318680        20.132151       0.150000        12.978625       13.433600       5.364190        0.150000        17.650452       3.343440        7.605492        0.235711        5.972290        13.906500       12.843200       0.150000        1.565770        0.036865     
86916      592394.812    3326382.500    19.054600       6.202182        10.536723       0.150000        11.904301       1.958380        19.179700       0.223557        4.910840        26.115601       22.809624       0.150000        11.335700       34.539597       14.453751       0.150000        0.910090        0.069561     
90175      587356.688    3319594.250    71.717880       6.010188        47.865974       0.150000        24.103400       2.764885        7.268242        0.150000        56.299999       20.628201       6.499448        0.150000        23.352800       2.286865        21.299999       0.150000        2.665415        0.010800     
90554      588788.562    3319753.250    53.312800       14.558350       19.137575       0.150000        24.467500       1.523520        8.807600        0.150000        7.641960        2.680550        15.527950       0.150000        22.640600       8.445977        6.813527        0.150000        1.867360        0.030001     
90889      592925.188    3323890.000    27.336800       15.588950       12.498200       0.315982        22.897921       6.442710        16.166580       0.224553        31.317274       5.782473        11.828725       0.150000        47.247601       4.441225        20.926174       0.150000        1.260570        0.020099     
91074      593720.625    3325321.750    27.019001       9.776562        6.971350        0.150000        9.369172        5.376197        14.589666       0.150000        3.274070        4.530580        16.717525       0.150000        14.039750       16.873074       11.643630       0.150000        1.053158        0.024263     
93297      586932.438    3317473.000    33.482700       6.783738        9.975915        0.150000        12.194201       1.968590        19.831076       0.150000        56.299999       29.217876       13.331125       0.150000        35.299999       11.862140       10.051798       0.238088        2.800568        0.023271     
94043      590591.688    3319912.500    45.159424       7.056960        6.922884        0.150000        7.961072        4.475920        10.903600       0.150000        9.778872        3.986550        9.576922        0.185407        8.051300        3.445370        3.235400        0.150000        0.266442        0.049240     
94713      594622.188    3324632.250    66.557200       20.742352       6.386184        0.150000        26.520901       3.871995        5.384052        0.150000        8.242662        27.045925       35.240002       0.150000        15.239900       4.069530        25.049341       0.150000        0.791232        0.010804     
96790      588788.562    3317950.250    30.996799       6.000582        6.565410        0.150000        5.839778        8.059555        19.965361       0.148253        7.191750        15.723576       3.497000        0.150000        17.943000       2.644610        8.842750        0.150000        3.644413        0.038623     
97374      592925.188    3320973.000    7.865730        6.243500        40.049774       0.208841        8.628180        2.400600        4.090140        0.150000        31.576700       5.368130        24.279800       0.150000        10.952850       2.200690        7.055340        0.170027        1.316680        0.010800     
100677     594197.938    3321609.500    34.166275       6.000000        21.608925       0.150000        6.110860        1.394478        1.049770        0.150000        23.269699       10.383415       7.056570        0.150000        9.908450        7.875070        13.221000       0.228609        1.092046        0.010800     
102353     590273.500    3314715.250    18.843000       6.015054        10.042793       0.150000        15.331300       4.620342        4.805105        0.165898        24.319351       7.160665        5.943020        0.214286        33.519249       9.603910        4.955540        0.150000        1.036648        0.040918     
102581     591281.125    3316942.500    19.410126       7.551072        13.768600       0.150000        13.949500       7.629642        14.030000       0.150000        6.112410        5.670410        26.103800       0.150000        15.534250       9.626068        21.299999       0.150000        0.692207        0.010800     
102956     593031.250    3318056.250    42.661652       6.048990        20.615074       0.150000        22.313100       1.290110        6.658308        0.150000        5.442710        8.252597        9.549590        0.150000        24.826500       5.972913        18.902225       0.150000        1.831068        0.010800     
103320     594304.000    3318957.750    32.203449       6.000000        9.235880        0.150000        10.137500       12.232625       1.603250        0.150000        11.643100       7.184540        19.894199       0.150000        25.043451       1.963660        10.630400       0.150000        1.391770        0.019332     
103440     595364.688    3319859.250    48.094074       6.002784        8.442770        0.150000        7.913985        2.659220        2.727660        0.165467        32.296627       7.914303        28.433975       0.150000        35.299999       1.757748        7.250772        0.191064        0.799778        0.015620     
103598     597167.812    3321821.500    8.857110        6.000000        8.410755        0.197974        9.929560        2.725822        4.197740        0.150000        9.893000        4.768305        5.840310        0.150000        31.677952       1.697210        13.262600       0.150000        1.145120        0.011983     
103743     598758.812    3323200.500    28.973026       7.778567        13.685975       0.150000        8.372112        8.558985        11.255625       0.180828        43.310650       12.066650       35.240002       0.216121        25.843275       7.287310        8.669020        0.150000        0.477813        0.017152     
