 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    32.441002       6.014274        6.548544        0.298237        17.190950       6.177780        12.457150       0.201459        11.761175       7.951385        6.422210        0.150000        39.469501       10.021135       26.818258       0.284177        0.227749        1.331012        0.192019        0.012208        0.012028     
131141     601092.250    3304214.750    47.572400       6.069054        32.602100       0.150000        6.559390        2.301110        14.030000       0.183809        10.000300       2.451650        3.905330        0.150000        13.559700       3.016570        13.846225       0.322812        0.062856        0.773774        0.174578        0.012000        0.011575     
131484     603266.625    3306442.000    58.506573       6.000000        54.985798       0.174573        8.903010        18.231050       14.030000       0.150000        11.686000       19.018625       13.631450       0.150000        16.450600       9.210180        4.918892        0.279999        0.025453        1.169550        0.098502        0.012014        0.022716     
131997     604857.562    3307927.000    36.055050       6.000000        9.147265        0.150000        30.000000       1.922120        5.639863        0.150000        7.381160        3.262650        8.450983        0.150000        11.620199       14.024407       8.266991        0.150000        0.059597        0.220309        0.153125        0.012000        0.015515     
132586     606607.688    3309465.000    41.808922       8.197614        7.247082        0.150000        15.769000       5.119368        18.892200       0.273258        17.169600       30.982849       49.979800       0.264889        32.541851       4.165390        13.874050       0.150000        0.086464        0.512252        0.043132        0.012128        0.011130     
132964     608516.875    3312169.500    33.649876       6.070908        26.954374       0.325757        11.885455       11.909050       5.177550        0.150000        56.299999       6.052768        12.973900       0.150000        35.299999       35.299999       12.757750       0.150000        0.035245        1.587368        0.026021        0.040891        0.022101     
133035     611062.438    3313336.250    17.394300       12.815275       11.500925       0.150000        8.467566        4.063850        19.998726       0.150000        6.776885        11.647425       35.240002       0.150000        15.535900       4.292370        18.140026       0.150000        0.224399        1.827490        0.127573        0.021422        0.011270     
133124     593667.625    3294880.750    98.963348       9.757965        11.189924       0.150000        29.559875       5.294410        3.437180        0.150000        9.518840        3.029060        35.240002       0.150000        49.960152       3.532615        16.650375       0.302535        0.150984        3.623502        0.024102        0.012912        0.010800     
133600     603956.000    3305540.500    81.876251       11.678950       8.153250        0.281237        8.293290        4.459415        11.483376       0.150000        15.300100       3.436630        37.669449       0.150000        36.791519       17.266676       17.923050       0.150000        0.106765        4.650887        0.170776        0.012000        0.026177     
136380     609365.375    3309093.750    29.999275       7.094634        16.089800       0.150000        10.138372       4.352715        5.980935        0.150000        7.822530        1.521576        26.788651       0.150000        19.058300       6.139430        17.310650       0.150000        0.087187        1.058190        0.098885        0.033711        0.026430     
136918     605494.000    3303684.250    25.155075       6.246378        16.933174       0.237881        15.308050       2.181853        10.198450       0.132090        56.299999       8.024710        5.979860        0.150000        38.365623       5.176150        9.752910        0.246327        0.140731        0.652164        0.099983        0.012092        0.022036     
138542     608251.688    3303684.250    67.211601       6.000000        12.209950       0.150000        5.525330        2.905470        16.842144       0.195522        37.982300       3.187540        5.578620        0.150000        35.299999       4.145808        5.505780        0.150000        0.049394        0.789943        0.078801        0.018317        0.011477     
138921     593667.625    3288092.500    45.564877       6.042948        18.037300       0.150000        8.535786        2.316933        19.999775       0.150000        20.534349       8.237728        3.906360        0.185337        8.768450        10.372098       21.299999       0.150000        0.036580        0.343324        0.028769        0.012010        0.010800     
138942     601728.625    3295729.250    30.868300       14.835899       37.017750       0.229792        18.244375       3.609180        17.659000       0.170388        18.394100       2.121054        14.301275       0.150000        23.335850       5.220898        2.527350        0.150000        0.029049        0.679554        0.052404        0.032746        0.025614     
140035     606819.812    3299759.750    49.767075       6.012282        37.456978       0.150000        21.690180       4.810628        7.971790        0.213912        36.260101       6.415030        7.988878        0.150000        14.945515       11.281600       13.015870       0.150000        0.139560        1.462020        0.203267        0.012002        0.010800     
140817     614880.812    3308033.000    136.382248      6.000000        18.644875       0.150000        14.885800       2.247915        15.871300       0.150000        56.299999       13.844601       5.558750        0.150000        9.544070        4.711990        21.299999       0.150000        0.045612        1.984840        0.029886        0.012000        0.069741     
142596     613608.000    3302729.750    118.048492      6.435336        10.666900       0.150000        5.655890        16.794750       10.001350       0.191266        56.299999       5.007170        1.746090        0.150000        41.315937       7.393638        16.249599       0.150000        0.195647        0.399155        0.085045        0.016647        0.010977     
142743     603849.938    3291062.500    49.730698       6.000000        43.706802       0.150000        11.572400       4.526975        3.041607        0.150000        21.571325       14.736575       19.808226       0.343906        29.234699       6.373817        11.047350       0.150000        0.035490        2.475418        0.123774        0.013521        0.011586     
116190     614456.562    3334761.750    59.415600       6.000000        6.041178        0.150000        14.118100       2.207935        7.143800        0.150000        80.000000       12.938285       4.374820        0.142457        18.350750       4.065260        9.334300        0.150000        0.024132        5.137037        0.540327        0.010105        0.011789     
122664     612547.375    3325003.500    16.625101       6.429624        9.611200        0.150000        11.623805       5.529490        14.030000       0.150000        63.696251       13.292774       35.240002       0.252659        5.174917        10.621293       10.367735       0.150000        0.067594        0.594145        0.126989        0.016705        0.010803     
122750     616577.875    3329246.250    48.038273       6.131064        6.007920        0.150000        7.958420        11.074825       4.250377        0.296663        13.072125       7.021770        20.000999       0.208825        35.571960       4.691170        16.939825       0.231559        0.324640        0.514432        0.126268        0.012000        0.016385     
130988     610001.812    3314821.250    30.987425       6.000000        13.112400       0.150000        21.299999       2.216310        14.624900       0.150000        56.299999       10.565724       20.886225       0.150000        12.581025       5.692267        29.228249       0.150000        0.155520        2.371025        0.117348        0.016846        0.120388     
131015     611486.688    3315669.750    79.013626       6.006455        8.576630        0.150000        10.025493       4.507397        17.229870       0.211404        11.971800       3.170690        5.715760        0.150000        18.574100       22.945425       22.563240       0.150000        0.042393        1.700408        0.624501        0.012000        0.015732     
136497     625063.188    3324155.000    56.630825       6.045048        8.841297        0.150000        14.954700       3.725725        3.349175        0.231715        31.120600       1.775244        20.322100       0.240929        16.168875       3.946520        6.343980        0.150000        0.042015        0.562776        0.066870        0.014495        0.010800     
141751     625487.438    3316942.500    61.606724       12.983815       11.011049       0.277952        8.015482        2.128490        13.740550       0.150000        9.845247        6.802605        49.969425       0.256477        40.139519       3.329280        23.476175       0.399428        0.351838        0.226746        0.110963        0.035238        0.022607     
