    C2D             x              y 
70596      575636.375    3316571.250 
70597      575689.438    3316624.250 
70598      575583.375    3316412.250 
70599      575636.375    3316465.250 
70600      575636.375    3316359.250 
70601      575689.438    3316412.250 
70602      575689.438    3316518.250 
70603      575742.438    3316571.250 
70604      575742.438    3316465.250 
70605      575795.500    3316518.250 
70606      575689.438    3316730.500 
70607      575742.438    3316783.500 
70608      575742.438    3316677.500 
70609      575795.500    3316730.500 
70610      575795.500    3316836.500 
70611      575848.500    3316889.500 
70612      575848.500    3316783.500 
70613      575901.562    3316836.500 
70614      575795.500    3316624.250 
70615      575848.500    3316677.500 
70616      575848.500    3316571.250 
70617      575901.562    3316624.250 
70618      575901.562    3316730.500 
70619      575954.625    3316783.500 
70620      575954.625    3316677.500 
70621      576007.625    3316730.500 
70622      575689.438    3316306.250 
70623      575742.438    3316359.250 
70624      575742.438    3316253.000 
70625      575795.500    3316306.250 
70626      575795.500    3316412.250 
70627      575848.500    3316465.250 
70628      575848.500    3316359.250 
70629      575901.562    3316412.250 
70630      575795.500    3316200.000 
70631      575848.500    3316253.000 
70632      575848.500    3316147.000 
70633      575901.562    3316200.000 
70634      575901.562    3316306.250 
70635      575954.625    3316359.250 
70636      575954.625    3316253.000 
70637      576007.625    3316306.250 
70638      575901.562    3316518.250 
70639      575954.625    3316571.250 
70640      575954.625    3316465.250 
70641      576007.625    3316518.250 
70642      576007.625    3316624.250 
70643      576060.688    3316677.500 
70644      576060.688    3316571.250 
70645      576113.688    3316624.250 
70646      576007.625    3316412.250 
70647      576060.688    3316465.250 
70648      576060.688    3316359.250 
70649      576113.688    3316412.250 
70650      576113.688    3316518.250 
70651      576166.750    3316571.250 
70652      576166.750    3316465.250 
70653      576219.750    3316518.250 
70654      575530.312    3315669.750 
70655      575636.375    3315775.750 
70656      575636.375    3315563.750 
70657      575689.438    3315669.750 
70658      575742.438    3315722.750 
70659      575742.438    3315616.750 
70660      575795.500    3315669.750 
70661      575689.438    3315882.000 
70662      575742.438    3315935.000 
70663      575742.438    3315828.750 
70664      575795.500    3315882.000 
70665      575795.500    3315988.000 
70666      575848.500    3316041.000 
70667      575848.500    3315935.000 
70668      575901.562    3315988.000 
70669      575795.500    3315775.750 
70670      575848.500    3315828.750 
70671      575848.500    3315722.750 
70672      575901.562    3315775.750 
70673      575901.562    3315882.000 
70674      575954.625    3315935.000 
70675      575954.625    3315828.750 
70676      576007.625    3315882.000 
70677      575742.438    3315457.750 
70678      575795.500    3315563.750 
70679      575848.500    3315616.750 
70680      575848.500    3315510.750 
70681      575901.562    3315563.750 
70682      575848.500    3315351.500 
70683      575901.562    3315457.750 
70684      575954.625    3315510.750 
70685      575954.625    3315404.500 
70686      576007.625    3315457.750 
70687      575901.562    3315669.750 
70688      575954.625    3315722.750 
70689      575954.625    3315616.750 
70690      576007.625    3315669.750 
70691      576007.625    3315775.750 
70692      576060.688    3315828.750 
70693      576060.688    3315722.750 
70694      576113.688    3315775.750 
70695      576007.625    3315563.750 
70696      576060.688    3315616.750 
70697      576060.688    3315510.750 
70698      576113.688    3315563.750 
70699      576113.688    3315669.750 
70700      576166.750    3315722.750 
70701      576166.750    3315616.750 
70702      576219.750    3315669.750 
70703      575901.562    3316094.000 
70704      575954.625    3316147.000 
70705      575954.625    3316041.000 
70706      576007.625    3316094.000 
70707      576007.625    3316200.000 
70708      576060.688    3316253.000 
70709      576060.688    3316147.000 
70710      576113.688    3316200.000 
70711      576007.625    3315988.000 
70712      576060.688    3316041.000 
70713      576060.688    3315935.000 
70714      576113.688    3315988.000 
70715      576113.688    3316094.000 
70716      576166.750    3316147.000 
70717      576166.750    3316041.000 
70718      576219.750    3316094.000 
70719      576113.688    3316306.250 
70720      576166.750    3316359.250 
70721      576166.750    3316253.000 
70722      576219.750    3316306.250 
70723      576219.750    3316412.250 
70724      576272.812    3316465.250 
70725      576272.812    3316359.250 
70726      576325.812    3316412.250 
70727      576219.750    3316200.000 
70728      576272.812    3316253.000 
70729      576272.812    3316147.000 
70730      576325.812    3316200.000 
70731      576325.812    3316306.250 
70732      576378.875    3316359.250 
70733      576378.875    3316253.000 
70734      576431.875    3316306.250 
70735      576113.688    3315882.000 
70736      576166.750    3315935.000 
70737      576166.750    3315828.750 
70738      576219.750    3315882.000 
70739      576219.750    3315988.000 
70740      576272.812    3316041.000 
70741      576272.812    3315935.000 
70742      576325.812    3315988.000 
70743      576219.750    3315775.750 
70744      576272.812    3315828.750 
70745      576272.812    3315722.750 
70746      576325.812    3315775.750 
70747      576325.812    3315882.000 
70748      576378.875    3315935.000 
70749      576378.875    3315828.750 
70750      576431.875    3315882.000 
70751      576325.812    3316094.000 
70752      576378.875    3316147.000 
70753      576378.875    3316041.000 
70754      576431.875    3316094.000 
70755      576431.875    3316200.000 
70756      576484.938    3316253.000 
70757      576484.938    3316147.000 
70758      576537.938    3316200.000 
70759      576431.875    3315988.000 
70760      576484.938    3316041.000 
70761      576484.938    3315935.000 
70762      576537.938    3315988.000 
70763      576537.938    3316094.000 
70764      576591.000    3316147.000 
70765      576591.000    3316041.000 
70766      576644.000    3316094.000 
70767      575901.562    3316942.500 
70768      575954.625    3316995.500 
70769      575954.625    3316889.500 
70770      576007.625    3316942.500 
70771      576007.625    3317048.500 
70772      576060.688    3317101.750 
70773      576060.688    3316995.500 
70774      576113.688    3317048.500 
70775      576007.625    3316836.500 
70776      576060.688    3316889.500 
70777      576060.688    3316783.500 
70778      576113.688    3316836.500 
70779      576113.688    3316942.500 
70780      576166.750    3316995.500 
70781      576166.750    3316889.500 
70782      576219.750    3316942.500 
70783      576113.688    3317154.750 
70784      576166.750    3317207.750 
70785      576166.750    3317101.750 
70786      576219.750    3317154.750 
70787      576219.750    3317260.750 
70788      576272.812    3317313.750 
70789      576272.812    3317207.750 
70790      576325.812    3317260.750 
70791      576219.750    3317048.500 
70792      576272.812    3317101.750 
70793      576272.812    3316995.500 
70794      576325.812    3317048.500 
70795      576325.812    3317154.750 
70796      576378.875    3317207.750 
70797      576378.875    3317101.750 
70798      576431.875    3317154.750 
70799      576113.688    3316730.500 
70800      576166.750    3316783.500 
70801      576166.750    3316677.500 
70802      576219.750    3316730.500 
70803      576219.750    3316836.500 
70804      576272.812    3316889.500 
70805      576272.812    3316783.500 
70806      576325.812    3316836.500 
70807      576219.750    3316624.250 
70808      576272.812    3316677.500 
70809      576272.812    3316571.250 
70810      576325.812    3316624.250 
70811      576325.812    3316730.500 
70812      576378.875    3316783.500 
70813      576378.875    3316677.500 
70814      576431.875    3316730.500 
70815      576325.812    3316942.500 
70816      576378.875    3316995.500 
70817      576378.875    3316889.500 
70818      576431.875    3316942.500 
70819      576431.875    3317048.500 
70820      576484.938    3317101.750 
70821      576484.938    3316995.500 
70822      576537.938    3317048.500 
70823      576431.875    3316836.500 
70824      576484.938    3316889.500 
70825      576484.938    3316783.500 
70826      576537.938    3316836.500 
70827      576537.938    3316942.500 
70828      576591.000    3316995.500 
70829      576591.000    3316889.500 
70830      576644.000    3316942.500 
70831      576325.812    3317366.750 
70832      576378.875    3317419.750 
70833      576378.875    3317313.750 
70834      576431.875    3317366.750 
70837      576484.938    3317419.750 
70838      576537.938    3317473.000 
70839      576431.875    3317260.750 
70840      576484.938    3317313.750 
70841      576484.938    3317207.750 
70842      576537.938    3317260.750 
70843      576537.938    3317366.750 
70844      576591.000    3317419.750 
70845      576591.000    3317313.750 
70846      576644.000    3317366.750 
70849      576591.000    3317526.000 
70855      576644.000    3317473.000 
70856      576697.062    3317526.000 
70857      576697.062    3317419.750 
70858      576750.062    3317473.000 
70859      576750.062    3317579.000 
70860      576803.125    3317632.000 
70861      576803.125    3317526.000 
70862      576856.125    3317579.000 
70863      576537.938    3317154.750 
70864      576591.000    3317207.750 
70865      576591.000    3317101.750 
70866      576644.000    3317154.750 
70867      576644.000    3317260.750 
70868      576697.062    3317313.750 
70869      576697.062    3317207.750 
70870      576750.062    3317260.750 
70871      576644.000    3317048.500 
70872      576697.062    3317101.750 
70873      576697.062    3316995.500 
70874      576750.062    3317048.500 
70875      576750.062    3317154.750 
70876      576803.125    3317207.750 
70877      576803.125    3317101.750 
70878      576856.125    3317154.750 
70879      576750.062    3317366.750 
70880      576803.125    3317419.750 
70881      576803.125    3317313.750 
70882      576856.125    3317366.750 
70883      576856.125    3317473.000 
70884      576909.188    3317526.000 
70885      576909.188    3317419.750 
70886      576962.250    3317473.000 
70887      576856.125    3317260.750 
70888      576909.188    3317313.750 
70889      576909.188    3317207.750 
70890      576962.250    3317260.750 
70891      576962.250    3317366.750 
70892      577015.250    3317419.750 
70893      577015.250    3317313.750 
70894      577068.312    3317366.750 
70895      576325.812    3316518.250 
70896      576378.875    3316571.250 
70897      576378.875    3316465.250 
70898      576431.875    3316518.250 
70899      576431.875    3316624.250 
70900      576484.938    3316677.500 
70901      576484.938    3316571.250 
70902      576537.938    3316624.250 
70903      576431.875    3316412.250 
70904      576484.938    3316465.250 
70905      576484.938    3316359.250 
70906      576537.938    3316412.250 
70907      576537.938    3316518.250 
70908      576591.000    3316571.250 
70909      576591.000    3316465.250 
70910      576644.000    3316518.250 
70911      576537.938    3316730.500 
70912      576591.000    3316783.500 
70913      576591.000    3316677.500 
70914      576644.000    3316730.500 
70915      576644.000    3316836.500 
70916      576697.062    3316889.500 
70917      576697.062    3316783.500 
70918      576750.062    3316836.500 
70919      576644.000    3316624.250 
70920      576697.062    3316677.500 
70921      576697.062    3316571.250 
70922      576750.062    3316624.250 
70923      576750.062    3316730.500 
70924      576803.125    3316783.500 
70925      576803.125    3316677.500 
70926      576856.125    3316730.500 
70927      576537.938    3316306.250 
70928      576591.000    3316359.250 
70929      576591.000    3316253.000 
70930      576644.000    3316306.250 
70931      576644.000    3316412.250 
70932      576697.062    3316465.250 
70933      576697.062    3316359.250 
70934      576750.062    3316412.250 
70935      576644.000    3316200.000 
70936      576697.062    3316253.000 
70937      576697.062    3316147.000 
70938      576750.062    3316200.000 
70939      576750.062    3316306.250 
70940      576803.125    3316359.250 
70941      576803.125    3316253.000 
70942      576856.125    3316306.250 
70943      576750.062    3316518.250 
70944      576803.125    3316571.250 
70945      576803.125    3316465.250 
70946      576856.125    3316518.250 
70947      576856.125    3316624.250 
70948      576909.188    3316677.500 
70949      576909.188    3316571.250 
70950      576962.250    3316624.250 
70951      576856.125    3316412.250 
70952      576909.188    3316465.250 
70953      576909.188    3316359.250 
70954      576962.250    3316412.250 
70955      576962.250    3316518.250 
70956      577015.250    3316571.250 
70957      577015.250    3316465.250 
70958      577068.312    3316518.250 
70959      576750.062    3316942.500 
70960      576803.125    3316995.500 
70961      576803.125    3316889.500 
70962      576856.125    3316942.500 
70963      576856.125    3317048.500 
70964      576909.188    3317101.750 
70965      576909.188    3316995.500 
70966      576962.250    3317048.500 
70967      576856.125    3316836.500 
70968      576909.188    3316889.500 
70969      576909.188    3316783.500 
70970      576962.250    3316836.500 
70971      576962.250    3316942.500 
70972      577015.250    3316995.500 
70973      577015.250    3316889.500 
70974      577068.312    3316942.500 
70975      576962.250    3317154.750 
70976      577015.250    3317207.750 
70977      577015.250    3317101.750 
70978      577068.312    3317154.750 
70979      577068.312    3317260.750 
70980      577121.312    3317313.750 
70981      577121.312    3317207.750 
70982      577174.375    3317260.750 
70983      577068.312    3317048.500 
70984      577121.312    3317101.750 
70985      577121.312    3316995.500 
70986      577174.375    3317048.500 
70987      577174.375    3317154.750 
70988      577227.375    3317207.750 
70989      577227.375    3317101.750 
70990      577280.438    3317154.750 
70991      576962.250    3316730.500 
70992      577015.250    3316783.500 
70993      577015.250    3316677.500 
70994      577068.312    3316730.500 
70995      577068.312    3316836.500 
70996      577121.312    3316889.500 
70997      577121.312    3316783.500 
70998      577174.375    3316836.500 
70999      577068.312    3316624.250 
71000      577121.312    3316677.500 
71001      577121.312    3316571.250 
71002      577174.375    3316624.250 
71003      577174.375    3316730.500 
71004      577227.375    3316783.500 
71005      577227.375    3316677.500 
71006      577280.438    3316730.500 
71007      577174.375    3316942.500 
71008      577227.375    3316995.500 
71009      577227.375    3316889.500 
71010      577280.438    3316942.500 
71011      577280.438    3317048.500 
71012      577333.438    3317101.750 
71013      577333.438    3316995.500 
71014      577386.500    3317048.500 
71015      577280.438    3316836.500 
71016      577333.438    3316889.500 
71017      577333.438    3316783.500 
71018      577386.500    3316836.500 
71019      577386.500    3316942.500 
71020      577439.500    3316995.500 
71021      577439.500    3316889.500 
71022      577492.562    3316942.500 
71033      576909.188    3317632.000 
71034      576962.250    3317685.000 
71037      577015.250    3317738.000 
71055      576962.250    3317579.000 
71056      577015.250    3317632.000 
71057      577015.250    3317526.000 
71058      577068.312    3317579.000 
71059      577068.312    3317685.000 
71060      577121.312    3317738.000 
71061      577121.312    3317632.000 
71062      577174.375    3317685.000 
71063      577068.312    3317473.000 
71064      577121.312    3317526.000 
71065      577121.312    3317419.750 
71066      577174.375    3317473.000 
71067      577174.375    3317579.000 
71068      577227.375    3317632.000 
71069      577227.375    3317526.000 
71070      577280.438    3317579.000 
71071      577174.375    3317791.000 
71072      577227.375    3317844.000 
71073      577227.375    3317738.000 
71074      577280.438    3317791.000 
71077      577333.438    3317844.000 
71078      577386.500    3317897.250 
71079      577280.438    3317685.000 
71080      577333.438    3317738.000 
71081      577333.438    3317632.000 
71082      577386.500    3317685.000 
71083      577386.500    3317791.000 
71084      577439.500    3317844.000 
71085      577439.500    3317738.000 
71086      577492.562    3317791.000 
71121      577439.500    3317950.250 
71127      577492.562    3317897.250 
71128      577545.562    3317950.250 
71129      577545.562    3317844.000 
71130      577598.625    3317897.250 
71131      577598.625    3318003.250 
71132      577651.625    3318056.250 
71133      577651.625    3317950.250 
71134      577704.688    3318003.250 
71145      577757.688    3318056.250 
71146      577810.750    3318109.250 
71149      577863.812    3318162.250 
71151      577174.375    3317366.750 
71152      577227.375    3317419.750 
71153      577227.375    3317313.750 
71154      577280.438    3317366.750 
71155      577280.438    3317473.000 
71156      577333.438    3317526.000 
71157      577333.438    3317419.750 
71158      577386.500    3317473.000 
71159      577280.438    3317260.750 
71160      577333.438    3317313.750 
71161      577333.438    3317207.750 
71162      577386.500    3317260.750 
71163      577386.500    3317366.750 
71164      577439.500    3317419.750 
71165      577439.500    3317313.750 
71166      577492.562    3317366.750 
71167      577386.500    3317579.000 
71168      577439.500    3317632.000 
71169      577439.500    3317526.000 
71170      577492.562    3317579.000 
71171      577492.562    3317685.000 
71172      577545.562    3317738.000 
71173      577545.562    3317632.000 
71174      577598.625    3317685.000 
71175      577492.562    3317473.000 
71176      577545.562    3317526.000 
71177      577545.562    3317419.750 
71178      577598.625    3317473.000 
71179      577598.625    3317579.000 
71180      577651.625    3317632.000 
71181      577651.625    3317526.000 
71182      577704.688    3317579.000 
71183      577386.500    3317154.750 
71184      577439.500    3317207.750 
71185      577439.500    3317101.750 
71186      577492.562    3317154.750 
71187      577492.562    3317260.750 
71188      577545.562    3317313.750 
71189      577545.562    3317207.750 
71190      577598.625    3317260.750 
71191      577492.562    3317048.500 
71192      577545.562    3317101.750 
71193      577545.562    3316995.500 
71194      577598.625    3317048.500 
71195      577598.625    3317154.750 
71196      577651.625    3317207.750 
71197      577651.625    3317101.750 
71198      577704.688    3317154.750 
71199      577598.625    3317366.750 
71200      577651.625    3317419.750 
71201      577651.625    3317313.750 
71202      577704.688    3317366.750 
71203      577704.688    3317473.000 
71204      577757.688    3317526.000 
71205      577757.688    3317419.750 
71206      577810.750    3317473.000 
71207      577704.688    3317260.750 
71208      577757.688    3317313.750 
71209      577757.688    3317207.750 
71210      577810.750    3317260.750 
71211      577810.750    3317366.750 
71212      577863.812    3317419.750 
71213      577863.812    3317313.750 
71214      577916.812    3317366.750 
71215      577598.625    3317791.000 
71216      577651.625    3317844.000 
71217      577651.625    3317738.000 
71218      577704.688    3317791.000 
71219      577704.688    3317897.250 
71220      577757.688    3317950.250 
71221      577757.688    3317844.000 
71222      577810.750    3317897.250 
71223      577704.688    3317685.000 
71224      577757.688    3317738.000 
71225      577757.688    3317632.000 
71226      577810.750    3317685.000 
71227      577810.750    3317791.000 
71228      577863.812    3317844.000 
71229      577863.812    3317738.000 
71230      577916.812    3317791.000 
71231      577810.750    3318003.250 
71232      577863.812    3318056.250 
71233      577863.812    3317950.250 
71234      577916.812    3318003.250 
71235      577916.812    3318109.250 
71236      577969.875    3318162.250 
71237      577969.875    3318056.250 
71238      578022.875    3318109.250 
71239      577916.812    3317897.250 
71240      577969.875    3317950.250 
71241      577969.875    3317844.000 
71242      578022.875    3317897.250 
71243      578022.875    3318003.250 
71244      578075.938    3318056.250 
71245      578075.938    3317950.250 
71246      578128.938    3318003.250 
71247      577810.750    3317579.000 
71248      577863.812    3317632.000 
71249      577863.812    3317526.000 
71250      577916.812    3317579.000 
71251      577916.812    3317685.000 
71252      577969.875    3317738.000 
71253      577969.875    3317632.000 
71254      578022.875    3317685.000 
71255      577916.812    3317473.000 
71256      577969.875    3317526.000 
71257      577969.875    3317419.750 
71258      578022.875    3317473.000 
71259      578022.875    3317579.000 
