 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    9.813542        9.004537        5.740322        0.200000        16.438287       6.884720        14.992300       0.200000        11.827115       30.050800       13.194405       0.385705        1.878741        0.017258     
714        528330.938    3316094.000    11.617066       6.352109        5.126457        0.200000        14.517700       7.520140        3.493270        0.200000        5.325160        9.258260        17.510237       0.253332        2.036033        0.009900     
1396       536816.250    3316094.000    7.331457        17.271953       13.966216       0.200000        3.448290        3.155140        39.762661       0.200000        30.328693       20.538100       10.655100       0.276299        1.292371        0.056285     
2689       543604.438    3318215.250    4.970020        16.997242       2.217050        0.200000        10.572545       38.301294       19.622036       0.200000        7.118466        7.555452        13.081293       0.221583        5.940295        0.009915     
2772       551029.062    3325427.750    11.119806       7.007930        7.741342        0.200000        52.798162       9.271719        11.716081       0.177860        8.528114        13.617214       6.366670        0.200000        1.163886        0.013132     
2836       553574.688    3328079.500    5.113991        6.043511        3.231360        0.200000        14.752932       7.013300        41.444600       0.194303        13.642012       10.026440       8.259630        0.200000        2.031468        0.026393     
6454       546574.312    3315245.500    5.671632        2.728280        11.749820       0.200000        7.288700        6.893250        13.629200       0.253751        18.679728       6.443387        8.415177        0.200000        0.929176        0.009900     
6976       556438.438    3325056.500    3.214038        3.475930        2.094020        0.200000        5.472250        8.100080        7.459370        0.200000        8.788628        30.531600       23.727881       0.200000        3.782375        0.024381     
8274       542755.938    3310154.250    3.152410        4.818898        2.532170        0.200000        14.916900       8.788990        6.447858        0.200000        19.870850       5.539070        8.173040        0.200000        1.499822        0.013267     
9739       560203.812    3328185.500    10.957972       3.603605        5.564630        0.200000        6.991609        6.539706        6.489830        0.200000        12.288400       8.762533        8.240507        0.200000        0.819770        0.011610     
11456      554635.312    3319806.250    14.024665       9.370755        16.382413       0.200000        9.428107        2.201210        30.149070       0.200000        29.172584       3.561080        21.545707       0.200000        1.698220        0.017369     
12026      557711.250    3323253.500    3.320009        6.355500        11.086363       0.147246        16.308800       17.741869       20.409100       0.200000        19.040292       28.595744       17.291684       0.229200        2.022544        0.018960     
18540      556332.375    3319170.000    3.556310        16.931031       4.994940        0.200000        20.719456       18.572313       4.580710        0.271422        19.163951       22.136397       26.034656       0.200000        3.239978        0.018479     
18692      557233.938    3319170.000    8.635404        5.273360        12.549616       0.210254        6.891020        13.611184       31.114770       0.200000        11.811153       3.676080        16.989631       0.200000        2.321352        0.017812     
29908      556756.625    3314609.000    11.527062       6.288341        3.045010        0.200000        26.089866       12.391581       27.480174       0.326432        21.045637       17.409800       12.774069       0.200000        1.504187        0.010913     
48682      554635.312    3305063.250    8.134218        11.563445       14.197702       0.200000        3.767440        6.913420        12.371915       0.200000        11.628009       4.686860        20.248078       0.200000        1.506120        0.013618     
51         518997.156    3332216.000    1.890600        4.707920        11.154569       0.200000        7.952148        12.646800       4.436659        0.200000        12.265053       19.657665       19.332862       0.208094        0.404962        0.009900     
76         526633.875    3338155.750    6.411124        3.511050        3.082389        0.200000        7.072332        9.953886        19.070704       0.224139        10.987032       9.081490        10.397600       0.200000        1.979231        0.103240     
198        527482.438    3330519.000    7.969051        7.720140        9.675962        0.200000        4.523419        4.632529        16.785758       0.200000        8.155069        5.682710        3.419800        0.200000        0.492606        0.012347     
271        524936.812    3324579.250    6.994401        3.202412        15.080219       0.200000        12.966400       17.684137       3.358960        0.200000        8.497140        24.442443       6.359760        0.200000        5.259174        0.010327     
332        541907.375    3339852.750    6.729800        12.309475       7.400510        0.200000        6.678102        28.399965       24.296174       0.200000        9.263999        8.019652        26.223925       0.200000        1.450630        0.067409     
391        547847.125    3344095.500    4.219140        9.512710        10.161855       0.252766        23.679100       16.806312       6.534750        0.200000        28.761662       6.610784        25.949763       0.200000        1.727466        0.043370     
538        558877.938    3351732.250    3.398470        8.488239        10.800169       0.200000        17.526682       4.733170        10.172100       0.197396        17.666125       6.890116        9.973435        0.200000        3.372109        0.019979     
724        536816.250    3324579.250    14.056880       17.224953       10.201822       0.200000        15.442900       8.385125        16.293129       0.328906        9.128712        3.768080        10.607583       0.200000        0.543533        0.009904     
972        546786.438    3330519.000    7.521646        19.866667       6.716808        0.178796        6.602890        46.596587       29.757089       0.200000        6.613355        25.051100       11.285469       0.200000        1.649470        0.010633     
1036       559726.500    3344095.500    9.504010        5.164592        11.610166       0.200000        34.406857       23.695020       10.373800       0.201367        8.936100        13.524000       23.428897       0.200000        3.271793        0.025471     
1347       558453.688    3339004.250    5.612020        11.037600       16.186307       0.290406        10.065412       1.463072        7.982004        0.200000        24.807720       14.898300       13.618800       0.199644        2.275394        0.035170     
2049       566090.438    3343247.000    2.648200        16.631510       13.145649       0.200000        15.200466       6.335260        13.624911       0.198172        23.735832       11.258879       16.634683       0.200000        1.583594        0.024132     
2908       554635.312    3329564.500    12.678625       4.010056        9.413792        0.200000        14.920938       11.976900       5.891490        0.200000        14.104406       6.723330        11.409238       0.200000        1.570410        0.010020     
4241       556120.250    3328769.000    1.170246        6.458347        16.426930       0.198169        30.525458       8.134270        8.706618        0.200000        14.575940       3.548830        7.680428        0.200000        1.199359        0.036273     
4822       559302.250    3332428.250    4.241430        5.388810        5.388907        0.200000        10.682306       20.379794       18.761077       0.200000        12.959448       9.173363        9.896130        0.200000        1.009650        0.009925     
