 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    26.429665       5.513085        6.002832        0.298237        13.259200       5.141849        10.789248       0.201459        10.781089       6.683422        6.422210        0.200000        35.048951       8.443519        21.715595       0.284177        0.227749        1.078006        0.192019        0.011191        0.011026     
131141     601092.250    3304214.750    47.572400       5.563299        25.722696       0.200000        6.559390        2.301110        10.761493       0.183809        10.000300       2.451650        3.905330        0.200000        13.559700       3.016570        11.527704       0.322812        0.057618        0.605330        0.174578        0.011000        0.010610     
131484     603266.625    3306442.000    54.722573       5.500000        43.176772       0.174573        8.903010        14.343887       11.060799       0.200000        11.686000       16.443586       11.501452       0.200000        14.380026       9.210180        4.243406        0.279999        0.023332        1.169550        0.090293        0.011013        0.020823     
131997     604857.562    3307927.000    32.756000       5.500000        8.140321        0.200000        25.929594       1.922120        4.892498        0.200000        7.381160        3.262650        8.024631        0.200000        10.474775       10.768731       6.508003        0.200000        0.054630        0.220309        0.153125        0.011000        0.014222     
132586     606607.688    3309465.000    32.676368       7.514479        6.695985        0.200000        13.832415       4.646344        15.422892       0.273258        14.385138       25.501319       49.979800       0.264889        27.759295       4.165390        11.395325       0.200000        0.079258        0.512252        0.039538        0.011118        0.010202     
132964     608516.875    3312169.500    30.429950       5.564999        24.612150       0.325757        10.344739       10.772555       4.528537        0.200000        43.418505       5.701334        11.566442       0.200000        28.615136       28.285966       10.799301       0.200000        0.032308        1.352236        0.023852        0.037483        0.020260     
133035     611062.438    3313336.250    17.394300       10.884292       10.196846       0.200000        7.227960        3.435215        17.896044       0.200000        5.364725        11.019171       30.142314       0.200000        15.535900       3.826477        15.946970       0.200000        0.177925        1.458456        0.127573        0.019636        0.010331     
133124     593667.625    3294880.750    88.101830       8.568803        10.355614       0.200000        25.854169       4.436474        3.437180        0.200000        9.518840        3.029060        28.358838       0.200000        41.547358       2.899461        15.370606       0.302535        0.150984        2.992336        0.022093        0.011836        0.009900     
133600     603956.000    3305540.500    72.739126       10.187925       8.153250        0.281237        8.293290        3.828541        10.184364       0.200000        15.300100       3.436630        29.803067       0.200000        30.213583       14.988600       15.363417       0.200000        0.097868        4.017652        0.170776        0.011000        0.023996     
136380     609365.375    3309093.750    28.601838       6.503415        13.415384       0.200000        8.048057        3.573431        5.030516        0.200000        7.170909        1.394778        24.627769       0.200000        18.217644       5.428344        14.036192       0.200000        0.079922        1.058190        0.090645        0.030902        0.024227     
136918     605494.000    3303684.250    22.087356       5.725847        16.162043       0.237881        14.366481       1.898701        8.666583        0.132090        47.130356       8.024710        5.979860        0.200000        37.345061       5.176150        9.752910        0.246327        0.129003        0.584334        0.099983        0.011084        0.020199     
138542     608251.688    3303684.250    54.757207       5.500000        11.054747       0.200000        5.525330        2.905470        13.621414       0.195522        30.146894       3.187540        5.578620        0.200000        31.860425       3.539803        5.505780        0.200000        0.045278        0.789943        0.072234        0.016791        0.010521     
138921     593667.625    3288092.500    41.517314       5.539369        18.037300       0.200000        7.172446        2.037299        17.242517       0.200000        16.789834       7.724090        3.906360        0.185337        8.768450        8.770040        17.431998       0.200000        0.033532        0.343324        0.026372        0.011009        0.009900     
138942     601728.625    3295729.250    30.868300       12.958380       30.272946       0.229792        15.739409       3.060576        17.659000       0.170388        16.057240       1.944299        13.313391       0.200000        20.937844       4.739720        2.527350        0.200000        0.026628        0.538900        0.048037        0.030017        0.023479     
140035     606819.812    3299759.750    44.661474       5.511258        30.258019       0.200000        18.657237       4.315025        6.708597        0.213912        28.089653       6.415030        6.871553        0.200000        11.856287       11.281600       10.492382       0.200000        0.139560        1.462020        0.203267        0.011002        0.009900     
140817     614880.812    3308033.000    110.006536      5.500000        15.620552       0.200000        14.885800       1.999039        15.871300       0.200000        43.713869       13.333782       5.558750        0.200000        9.544070        4.711990        17.990551       0.200000        0.041811        1.649537        0.029886        0.011000        0.063929     
142596     613608.000    3302729.750    93.597694       5.899058        10.666900       0.200000        5.655890        13.039966       8.377488        0.191266        44.034174       5.007170        1.746090        0.200000        33.911179       6.921381        14.240272       0.200000        0.195647        0.399155        0.077958        0.015260        0.010063     
142743     603849.938    3291062.500    44.914717       5.500000        36.143177       0.200000        11.572400       3.765418        2.900493        0.200000        17.173301       12.547391       16.048970       0.343906        26.893837       5.498054        10.045567       0.200000        0.032533        2.149993        0.113460        0.012394        0.010620     
116190     614456.562    3334761.750    50.791838       5.500000        5.537747        0.200000        14.118100       1.996414        5.605393        0.200000        64.856781       11.094222       4.374820        0.142457        16.781600       4.065260        9.334300        0.200000        0.022121        4.976032        0.415936        0.010105        0.010807     
122664     612547.375    3325003.500    13.868520       5.893822        9.611200        0.200000        9.992531        5.529490        11.066745       0.200000        60.439770       11.688243       28.902398       0.252659        4.626110        8.927914        9.272378        0.200000        0.061961        0.594145        0.116407        0.015313        0.009903     
122750     616577.875    3329246.250    40.276217       5.620142        5.507260        0.200000        7.958420        9.252133        3.707864        0.296663        10.650521       7.021770        15.602725       0.208825        30.498989       4.054967        16.594388       0.231559        0.251481        0.514432        0.126268        0.011000        0.015020     
130988     610001.812    3314821.250    27.619706       5.500000        13.112400       0.200000        17.545458       2.216310        14.624900       0.200000        44.979815       9.729659        18.126775       0.200000        11.228768       4.814085        24.115229       0.200000        0.155520        1.879036        0.107569        0.015442        0.095488     
131015     611486.688    3315669.750    67.822364       5.505918        8.576630        0.200000        8.659019        3.738939        14.588179       0.211404        11.971800       3.170690        5.715760        0.200000        15.491020       20.013950       18.952732       0.200000        0.038861        1.486931        0.529950        0.011000        0.014421     
136497     625063.188    3324155.000    46.206665       5.541294        8.132531        0.200000        14.954700       3.526306        3.195250        0.231715        31.120600       1.627307        16.767488       0.240929        14.566560       3.946520        6.343980        0.200000        0.038514        0.562776        0.061297        0.013287        0.009900     
141751     625487.438    3316942.500    53.384674       11.090598       9.748084        0.277952        7.054909        2.128490        10.674906       0.200000        8.279372        5.797641        44.174538       0.256477        36.027520       3.329280        19.808882       0.399428        0.278359        0.226746        0.101716        0.032301        0.020723     
