 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
79513      591016.000    3327337.000    33.799785       5.500000        8.097730        0.200000        13.794700       6.039102        11.639054       0.200000        46.023999       1.946213        6.459473        0.200000        17.575200       8.989627        23.330379       0.348976        0.717076        0.023322     
81891      585182.312    3320920.000    35.344200       5.888608        11.248000       0.268406        11.107295       5.619043        11.436273       0.244344        42.873173       3.609273        9.209409        0.200000        18.442800       2.802040        20.669894       0.211212        5.431383        0.015445     
82670      588470.375    3323518.750    79.962943       5.500000        13.521800       0.254285        19.375974       4.350160        14.476218       0.200000        20.262312       3.370210        9.838890        0.200000        32.176926       3.312300        17.575604       0.260062        1.069329        0.057903     
86186      586455.125    3320708.000    24.488731       5.500000        13.773049       0.200000        9.593594        4.222061        1.890373        0.200000        16.320500       7.204932        16.195900       0.200000        23.579494       3.139391        6.546430        0.210646        0.467340        0.009900     
86204      586508.188    3320230.500    39.976061       9.318680        17.401914       0.200000        10.918336       11.029394       4.081034        0.200000        14.508193       3.343440        6.859823        0.235711        5.972290        13.906500       12.843200       0.200000        1.565770        0.033793     
86916      592394.812    3326382.500    19.054600       5.685334        9.403196        0.200000        10.753092       1.958380        19.179700       0.223557        4.910840        23.899782       17.639868       0.200000        11.335700       27.126989       11.214708       0.200000        0.910090        0.069561     
90175      587356.688    3319594.250    61.427910       5.509339        40.017662       0.200000        24.103400       2.595036        6.042399        0.200000        44.369788       17.181944       5.681998        0.200000        20.453634       1.965149        17.547944       0.200000        2.313950        0.009900     
90554      588788.562    3319753.250    53.312800       12.244845       16.670525       0.200000        24.467500       1.523520        8.807600        0.200000        7.641960        2.680550        13.362233       0.200000        22.640600       7.126008        5.861328        0.200000        1.639153        0.027501     
90889      592925.188    3323890.000    27.336800       12.952593       12.498200       0.315982        18.709206       6.228105        14.717755       0.224553        25.820407       4.588323        9.910769        0.200000        41.110932       4.025845        19.117568       0.200000        1.260570        0.020099     
91074      593720.625    3325321.750    25.899694       8.811986        6.556007        0.200000        8.263000        4.570951        11.326924       0.200000        3.274070        4.180246        13.462115       0.200000        11.526910       12.904805       9.946113        0.200000        0.994692        0.022241     
93297      586932.438    3317473.000    33.482700       6.218427        9.368487        0.200000        10.052512       1.968590        16.188189       0.200000        44.832912       23.248437       11.638057       0.200000        29.078356       10.346602       8.996326        0.238088        2.274903        0.021332     
94043      590591.688    3319912.500    35.119568       7.056960        6.345977        0.200000        6.993224        3.673665        10.284563       0.200000        8.324729        3.986550        8.234424        0.185407        7.193643        3.445370        3.235400        0.200000        0.266442        0.045137     
94713      594622.188    3324632.250    66.557200       16.943609       5.854002        0.200000        23.937982       3.474104        4.865863        0.200000        6.578740        22.632040       30.163307       0.200000        15.239900       4.069530        21.117090       0.200000        0.791232        0.009904     
96790      588788.562    3317950.250    28.860087       5.500533        6.565410        0.200000        5.610834        6.701250        17.708902       0.148253        7.191750        12.527724       3.497000        0.200000        17.943000       2.644610        8.842750        0.200000        3.028379        0.035405     
97374      592925.188    3320973.000    7.865730        6.243500        32.387604       0.208841        8.628180        2.400600        4.090140        0.200000        31.576700       5.368130        20.704127       0.200000        9.152969        1.966321        7.055340        0.170027        1.155078        0.009900     
100677     594197.938    3321609.500    27.774455       5.500000        18.110406       0.200000        6.110860        1.278272        1.049770        0.200000        19.627937       9.396055        7.056570        0.200000        9.908450        7.875070        13.221000       0.228609        0.954235        0.009900     
102353     590273.500    3314715.250    18.843000       5.513799        9.417601        0.200000        15.331300       3.962920        3.982015        0.165898        22.434945       6.177778        5.098405        0.214286        28.645199       9.603910        4.955540        0.200000        0.912541        0.037508     
102581     591281.125    3316942.500    17.420994       6.921816        12.233821       0.200000        12.463446       6.600651        11.258239       0.200000        6.112410        5.670410        21.423101       0.200000        12.376274       8.545235        16.588028       0.200000        0.692207        0.009900     
102956     593031.250    3318056.250    39.393951       5.544907        17.205753       0.200000        22.313100       1.290110        6.220161        0.200000        5.442710        7.073193        8.494640        0.200000        24.826500       5.000378        17.646225       0.200000        1.651942        0.009900     
103320     594304.000    3318957.750    25.733459       5.500000        9.235880        0.200000        10.137500       10.901356       1.603250        0.200000        11.643100       7.184540        16.298143       0.200000        23.051088       1.963660        10.630400       0.200000        1.068828        0.017721     
103440     595364.688    3319859.250    42.321749       5.502552        8.442770        0.200000        6.305716        2.659220        2.727660        0.165467        28.115420       7.021480        23.779460       0.200000        28.293946       1.611269        6.385500        0.191064        0.799778        0.014319     
103598     597167.812    3321821.500    8.857110        5.500000        7.808690        0.197974        9.929560        2.484019        4.197740        0.200000        9.893000        4.115631        5.470282        0.200000        24.620488       1.697210        13.262600       0.200000        1.145120        0.010985     
103743     598758.812    3323200.500    24.631670       7.130353        12.108627       0.200000        8.221741        6.886618        9.079994        0.180828        37.554281       11.338278       29.779895       0.216121        22.525713       6.119629        8.669020        0.200000        0.477813        0.015722     
106103     594357.062    3317791.000    47.548348       8.546796        17.375109       0.414932        20.395952       4.430533        3.217000        0.200000        10.182200       1.796492        12.355900       0.231503        8.375320        5.117030        5.840770        0.274497        1.348160        0.009900     
106281     595046.500    3317526.000    20.978269       7.626560        6.331143        0.200000        3.713950        4.305054        10.402026       0.200000        18.781000       19.212772       11.567017       0.200000        41.006619       3.550641        18.291571       0.203050        0.796954        0.010325     
106611     595948.062    3319382.000    35.964264       11.653757       16.779980       0.200000        11.716300       1.105417        11.510760       0.175145        7.136100        2.034010        10.066846       0.230438        33.751931       5.521720        11.937590       0.266726        0.336461        0.009900     
110534     596478.375    3318851.750    13.276400       5.500000        19.463900       0.200000        26.672893       4.259513        11.810049       0.200000        30.598892       4.744380        6.343232        0.200000        28.620500       3.373390        27.143800       0.226239        0.986602        0.038144     
111537     600349.750    3322458.000    49.200700       5.703214        13.116465       0.200000        15.139071       1.358200        2.927120        0.171766        37.867057       9.760250        21.122192       0.200000        22.231496       2.042510        21.779861       0.263264        0.906117        0.013166     
66742      573515.062    3315669.750    54.425041       11.382213       15.135300       0.299075        9.443617        1.916413        9.071290        0.200000        9.195020        6.526235        6.573734        0.200000        24.626227       6.807610        5.507919        0.200000        1.151168        0.010086     
70844      576591.000    3317419.750    31.139832       13.728964       6.212110        0.200000        5.957244        2.908846        3.351850        0.200000        15.150017       4.308860        13.200150       0.291897        15.897512       2.909953        8.644800        0.200000        1.239914        0.024310     
