 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
29913      557180.938    3314609.000    4.398818        4.583260        9.124668        0.196829        5.898560        4.547819        15.454919       0.200000        13.371800       17.744047       21.593176       0.200000        1.659389        0.022015     
12125      558453.688    3323677.750    9.367130        6.041967        8.310497        0.200000        11.365809       4.354950        8.278262        0.200000        17.423737       6.973243        5.529780        0.200000        5.501252        0.010595     
18718      557393.062    3319223.000    4.378803        9.099539        1.807240        0.200000        61.558154       4.235480        12.565031       0.200000        8.035510        30.403977       13.106800       0.200000        0.812768        0.009941     
26234      560256.812    3319647.250    12.410121       3.270823        8.864184        0.167224        43.108631       8.207280        5.750032        0.180775        27.529711       5.564869        10.340639       0.290546        2.313114        0.014226     
35614      566302.562    3321450.250    4.966500        16.499353       2.556140        0.200000        20.234990       15.710557       5.926320        0.200000        8.050640        7.900337        14.663412       0.234076        1.922430        0.054271     
9640       559938.625    3326647.500    4.121590        8.898660        1.766070        0.200000        11.199500       24.048982       25.896025       0.200000        5.982140        27.391946       13.824500       0.200000        1.878405        0.009900     
10780      564181.250    3332110.000    6.605430        4.339240        18.554100       0.200000        10.728281       7.412670        10.264400       0.200000        14.180931       7.567570        23.990718       0.200000        0.881055        0.009943     
16203      563385.750    3328079.500    18.492095       14.837914       6.626120        0.200000        10.880829       28.653358       7.486220        0.200000        13.111547       30.155443       16.735781       0.200000        1.388396        0.010772     
16902      566514.750    3330413.000    11.041727       8.904153        3.004064        0.210304        5.833650        16.319236       7.314070        0.200000        6.177954        8.187020        9.600481        0.200000        1.471791        0.023401     
32156      566992.000    3324155.000    8.091216        17.443197       17.690106       0.200000        2.923680        3.426920        5.209647        0.158816        17.659000       18.248856       6.052856        0.200000        1.058770        0.009900     
36319      568901.188    3324897.500    5.593718        24.292062       5.451254        0.200000        48.203400       7.972770        7.182830        0.237529        32.680393       25.409520       3.368840        0.200000        0.576773        0.010549     
36940      572666.562    3328503.750    17.223200       7.102900        6.342125        0.200000        9.814295        16.157432       9.327980        0.200000        15.382238       10.676300       30.000000       0.200000        0.917843        0.031306     
44917      571446.812    3323200.500    13.969762       4.257520        12.697760       0.187729        18.194245       7.745518        27.769759       0.200000        27.225432       11.743188       4.638750        0.246652        1.224190        0.046516     
40649      571605.875    3326170.250    27.580550       4.485180        9.105690        0.200000        30.265681       19.191596       4.391110        0.200000        27.872688       10.928874       12.955964       0.200000        3.484792        0.010180     
45366      573409.000    3325852.000    5.034745        5.702082        4.395470        0.306967        4.492770        8.792042        11.714145       0.200000        12.028007       13.410685       19.074212       0.239979        1.675534        0.009909     
49531      573143.875    3323624.750    11.012300       9.043180        5.052840        0.229417        19.164323       4.753650        5.592397        0.200000        15.824807       21.613548       13.898500       0.200000        0.942026        0.028063     
49663      573674.188    3323306.500    6.366658        2.749239        8.027611        0.200000        5.533440        20.583963       8.093010        0.200000        10.645018       21.272093       4.965287        0.200000        3.475650        0.011498     
53362      574310.562    3323730.750    4.883310        7.512212        9.781870        0.200000        7.812572        8.125740        5.541362        0.200000        19.093674       3.104460        15.058925       0.200000        0.702390        0.017699     
53502      574946.938    3323306.500    1.901200        9.492231        8.479640        0.200000        7.149998        3.561470        16.113991       0.200000        20.941319       11.230200       27.847413       0.259829        2.195364        0.030406     
54306      579136.562    3328185.500    6.696010        18.893916       10.209909       0.200000        36.713000       16.849681       22.582610       0.200000        31.128499       26.348791       10.352778       0.200000        1.154840        0.030949     
57401      577121.312    3324526.250    18.638637       5.496462        14.480076       0.200000        1.483460        2.219680        26.364738       0.200000        4.800855        5.839170        8.276439        0.281054        5.341634        0.024501     
60520      575901.562    3320654.750    3.957147        4.456801        3.578082        0.235313        19.952793       45.649131       9.833635        0.351106        8.126205        6.933220        5.332560        0.200000        1.457516        0.013089     
61897      583167.062    3328609.750    10.980772       7.152183        11.919700       0.200000        23.029850       45.943149       15.194128       0.247976        8.489148        10.982000       9.827749        0.200000        1.707472        0.009900     
63810      576591.000    3320495.750    3.053584        23.958600       5.325591        0.199412        13.296325       13.249058       4.749330        0.200000        15.143613       19.412300       8.489520        0.200000        0.994399        0.010275     
64632      581470.000    3325693.000    8.846116        2.195220        4.704426        0.200000        12.588905       47.133812       7.326670        0.200000        11.486246       23.318555       11.942900       0.200000        0.465097        0.010989     
66755      573939.312    3316518.250    12.409421       3.885590        1.957210        0.270654        5.389710        4.274850        14.765400       0.172044        16.983132       9.200660        4.463030        0.200000        1.865366        0.010427     
67046      576378.875    3318056.250    8.914440        3.791610        10.372612       0.200000        27.915465       8.808430        22.351949       0.200000        6.689750        9.664320        10.467043       0.200000        0.779529        0.012682     
67278      576909.188    3318798.750    6.089840        6.822252        16.704675       0.184169        3.706810        10.961500       9.056677        0.200000        21.651300       3.388160        9.952834        0.200000        0.854247        0.013946     
67371      577015.250    3319223.000    2.715870        3.947510        4.643949        0.207493        5.635770        10.210929       8.485150        0.224231        20.038972       29.163080       11.065345       0.200000        0.225456        0.009900     
67616      578606.250    3320867.000    6.082023        16.790900       8.114206        0.200000        19.000681       14.937100       11.963200       0.200000        15.687320       27.538435       16.979265       0.133168        5.557830        0.009901     
67628      578394.125    3319806.250    6.746266        11.001560       5.357985        0.152198        7.823361        24.287200       18.611229       0.200000        15.594900       9.370890        10.829254       0.200000        0.438033        0.009945     
68101      581417.000    3323836.750    3.242636        4.959770        12.726388       0.262003        8.281549        19.281922       9.357930        0.200000        33.454442       7.684780        8.076610        0.200000        1.907583        0.009900     
68357      582265.500    3324685.250    4.262050        2.695300        10.528985       0.224781        11.899311       16.669062       13.298640       0.200000        34.463726       5.041910        14.697400       0.200000        0.415402        0.009900     
71353      578182.000    3318904.750    7.015452        4.966661        3.346740        0.208603        11.309583       5.525630        9.815663        0.200000        4.180210        4.982170        12.030877       0.200000        1.057020        0.062590     
