obsnme,obsval,weight,standard_deviation,obgnme
wo_bp_0001_20160501,396.5135793,0.0,9.144,oobs
wo_bp_0001_20160601,396.7743605,0.0,9.144,oobs
wo_bp_0001_20160701,396.6165691,0.0,9.144,oobs
wo_bp_0001_20160801,395.9634951,0.0,9.144,oobs
wo_bp_0001_20160901,395.7631742,0.0,9.144,oobs
wo_bp_0001_20161001,395.5812702,0.0,9.144,oobs
wo_bp_0001_20161101,395.3899233,0.0,9.144,oobs
wo_bp_0001_20161201,395.7819501,0.0,9.144,oobs
wo_bp_0001_20170101,395.8725359,0.0,9.144,oobs
wo_bp_0001_20170201,395.7754317,0.0,9.144,oobs
wo_bp_0001_20170301,395.7901107,0.0,9.144,oobs
wo_bp_0001_20170401,395.6109733,0.0,9.144,oobs
wo_bp_0001_20170501,395.3444532,0.0,9.144,oobs
wo_bp_0001_20170601,394.9336065,0.0,9.144,oobs
wo_bp_0001_20170701,394.5995709,0.0,9.144,oobs
wo_bp_0001_20170801,394.3096868,0.0,9.144,oobs
wo_bp_0001_20170901,394.1010613,0.0,9.144,oobs
wo_bp_0001_20171001,394.0864698,0.0,9.144,oobs
wo_bp_0001_20171101,393.9810771,0.0,9.144,oobs
wo_bp_0001_20171201,393.7195693,0.0,9.144,oobs
wo_bp_0001_20180101,393.5929572,0.0,9.144,oobs
wo_bp_0001_20180201,393.3846175,0.0,9.144,oobs
wo_bp_0001_20180301,393.1722765,0.0,9.144,oobs
wo_bp_0001_20180401,392.9743422,0.0,9.144,oobs
wo_bp_0001_20180501,392.7913914,0.0,9.144,oobs
wo_bp_0001_20180601,392.6190158,0.0,9.144,oobs
wo_bp_0001_20180701,392.4542723,0.0,9.144,oobs
wo_bp_0001_20180801,392.2928824,0.0,9.144,oobs
wo_bp_0001_20180901,392.451827,0.0,9.144,oobs
wo_bp_0001_20181001,394.2289164,0.0,9.144,oobs
wo_bp_0001_20181101,395.3514751,0.0,9.144,oobs
wo_bp_0001_20181201,395.5656305,0.0,9.144,oobs
wo_bp_0001_20190101,395.8459403,0.0,9.144,oobs
wo_bp_0001_20190201,396.0247796,0.0,9.144,oobs
wo_bp_0001_20190301,395.6455275,0.0,9.144,oobs
wo_bp_0001_20190401,395.1110919,0.0,9.144,oobs
wo_bp_0001_20190501,395.396064,0.0,9.144,oobs
wo_bp_0001_20190601,396.033826,0.0,9.144,oobs
wo_bp_0001_20190701,395.8254723,0.0,9.144,oobs
wo_bp_0001_20190801,395.2180131,0.0,9.144,oobs
wo_bp_0001_20190901,394.6463931,0.0,9.144,oobs
wo_bp_0001_20191001,394.2064174,0.0,9.144,oobs
wo_bp_0001_20191101,393.8455966,0.0,9.144,oobs
wo_bp_0001_20191201,393.5352841,0.0,9.144,oobs
wo_bp_0001_20200101,393.2546167,0.0,9.144,oobs
wo_bp_0001_20200201,393.0636398,0.0,9.144,oobs
wo_bp_0001_20200301,393.3786782,0.0,9.144,oobs
wo_bp_0001_20200401,393.8623466,0.0,9.144,oobs
wo_bp_0001_20200501,394.0992067,0.0,9.144,oobs
wo_bp_0001_20200601,395.0674166,0.0,9.144,oobs
wo_bp_0001_20200701,395.2526778,0.0,9.144,oobs
wo_bp_0001_20200801,394.5355014,0.0,9.144,oobs
wo_bp_0001_20200901,394.0631275,0.0,9.144,oobs
wo_bp_0001_20201001,394.2017053,0.0,9.144,oobs
wo_bp_0001_20201101,393.7140128,0.0,9.144,oobs
wo_bp_0001_20201201,393.250421,0.0,9.144,oobs
wo_bp_0001_20210101,392.8760253,0.0,9.144,oobs
wo_bp_0001_20210201,392.575617,0.0,9.144,oobs
wo_bp_0001_20210301,392.3270545,0.0,9.144,oobs
wo_bp_0001_20210401,392.0761158,0.0,9.144,oobs
wo_bp_0001_20210501,391.9072329,0.0,9.144,oobs
wo_bp_0001_20210601,393.0887601,0.0,9.144,oobs
wo_bp_0001_20210701,394.5454556,0.0,9.144,oobs
wo_bp_0001_20210801,394.8843021,0.0,9.144,oobs
