obsnme                             value 
l_nrmse                   5.75955113E-02 
g_4595                    5.76201662E-01 
g_7817                    1.66479311E-01 
g_55200                   8.33898605E-01 
g_58700                   6.63773905E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.59007364E-01 
g_70500                   3.66802081E-01 
g_70890                   9.12666044E-02 
g_70950                   5.61842467E-01 
g_70990                   6.36872572E-01 
g_71000                   6.31648557E-01 
g_71290                   6.56835001E-01 
g_71300                   5.86852838E-01 
g_71350                   5.22509746E-01 
g_71400                   3.63276540E-01 
wp_bp_0001_20150113       3.97424321E+02 
wp_bp_0001_20150218       3.96755492E+02 
wp_bp_0001_20150318       3.96487983E+02 
wp_bp_0001_20150415       3.96307414E+02 
wp_bp_0001_20150524       3.96199358E+02 
wp_bp_0001_20150610       3.96373202E+02 
wp_bp_0001_20150712       3.96734087E+02 
wp_bp_0001_20150819       3.96690174E+02 
wp_bp_0001_20150915       3.96335968E+02 
wp_bp_0001_20151014       3.95965526E+02 
wp_bp_0001_20151118       3.95942076E+02 
wp_bp_0001_20151215       3.96395315E+02 
wp_bp_0001_20160118       3.96724444E+02 
wp_bp_0001_20160216       3.96649590E+02 
wp_bp_0001_20160323       3.96326696E+02 
wp_bp_0001_20160422       3.96397763E+02 
wp_bp_0001_20160517       3.96571805E+02 
wp_bp_0001_20160614       3.96776734E+02 
wp_bp_0001_20160721       3.96855870E+02 
wp_bp_0001_20160817       3.96538297E+02 
wp_bp_0001_20160912       3.96293494E+02 
wp_bp_0001_20161026       3.96009538E+02 
wp_bp_0001_20161123       3.95843744E+02 
wp_bp_0001_20161222       3.95978033E+02 
wp_bp_0001_20170110       3.96069265E+02 
wp_bp_0001_20170208       3.96048645E+02 
wp_bp_0001_20170317       3.96005588E+02 
wp_bp_0001_20170417       3.95931273E+02 
wp_bp_0001_20170512       3.95839443E+02 
wp_bp_0001_20170613       3.95598237E+02 
wp_bp_0001_20170711       3.95380937E+02 
wp_bp_0001_20170816       3.95117126E+02 
wp_bp_0001_20170915       3.94939659E+02 
wp_bp_0001_20171017       3.94841445E+02 
wp_bp_0001_20171114       3.94812228E+02 
wp_bp_0001_20171218       3.94647531E+02 
wp_bp_0001_20180112       3.94546656E+02 
wp_bp_0001_20180216       3.94402917E+02 
wp_bp_0001_20180313       3.94282383E+02 
wp_bp_0001_20180418       3.94115208E+02 
wp_bp_0001_20180515       3.93997680E+02 
wp_bp_0001_20180618       3.93859694E+02 
wp_bp_0001_20181014       3.94268903E+02 
wp_bp_0001_20181109       3.95094003E+02 
wp_bp_0001_20181221       3.95723813E+02 
wp_bp_0001_20190220       3.96197617E+02 
wp_bp_0001_20190319       3.96094846E+02 
wp_bp_0001_20190409       3.95902158E+02 
wp_bp_0001_20190506       3.95719616E+02 
wp_bp_0001_20190606       3.96091910E+02 
wp_bp_0001_20190711       3.96280640E+02 
wp_bp_0001_20190814       3.96027436E+02 
wp_bp_0001_20190911       3.95709798E+02 
wp_bp_0001_20191015       3.95362824E+02 
wp_bp_0001_20191120       3.95058513E+02 
wp_bp_0001_20191218       3.94855838E+02 
wp_bp_0001_20200114       3.94680082E+02 
wp_bp_0001_20200219       3.94476189E+02 
wp_bp_0001_20200317       3.94550053E+02 
wp_bp_0001_20200429       3.94926113E+02 
wp_bp_0001_20200520       3.95008070E+02 
wp_bp_0001_20200622       3.95555316E+02 
wp_bp_0001_20200709       3.95774067E+02 
wp_bp_0001_20200811       3.95650632E+02 
wp_bp_0001_20200924       3.95267625E+02 
wp_bp_0001_20201026       3.95300023E+02 
wp_bp_0001_20201124       3.95086262E+02 
wp_bp_0001_20210118       3.94645904E+02 
wp_bp_0001_20210225       3.94392460E+02 
wp_bp_0001_20210324       3.94241181E+02 
wp_bp_0001_20210427       3.94058625E+02 
wp_bp_0001_20210527       3.93949424E+02 
wp_bp_0001_20210611       3.94168234E+02 
wp_bp_0001_20210727       3.95380640E+02 
wp_bp_0001_20210811       3.95590024E+02 
wo_bp_0001_20150101       3.97341477E+02 
wo_bp_0001_20150201       3.96797956E+02 
wo_bp_0001_20150301       3.96512072E+02 
wo_bp_0001_20150401       3.96300688E+02 
wo_bp_0001_20150501       3.96192658E+02 
wo_bp_0001_20150601       3.96441965E+02 
wo_bp_0001_20150701       3.96750816E+02 
wo_bp_0001_20150801       3.96706286E+02 
wo_bp_0001_20150901       3.96330417E+02 
wo_bp_0001_20151001       3.95946526E+02 
wo_bp_0001_20151101       3.95926564E+02 
wo_bp_0001_20151201       3.96398749E+02 
wo_bp_0001_20160101       3.96697724E+02 
wo_bp_0001_20160201       3.96645921E+02 
wo_bp_0001_20160301       3.96376169E+02 
wo_bp_0001_20160401       3.96387965E+02 
wo_bp_0001_20160501       3.96558349E+02 
wo_bp_0001_20160601       3.96786484E+02 
wo_bp_0001_20160701       3.96865492E+02 
wo_bp_0001_20160801       3.96554936E+02 
wo_bp_0001_20160901       3.96269523E+02 
wo_bp_0001_20161001       3.96068912E+02 
wo_bp_0001_20161101       3.95876879E+02 
wo_bp_0001_20161201       3.95936297E+02 
wo_bp_0001_20170101       3.96060534E+02 
wo_bp_0001_20170201       3.96028979E+02 
wo_bp_0001_20170301       3.96001653E+02 
wo_bp_0001_20170401       3.95940211E+02 
wo_bp_0001_20170501       3.95807875E+02 
wo_bp_0001_20170601       3.95579175E+02 
wo_bp_0001_20170701       3.95343285E+02 
wo_bp_0001_20170801       3.95118357E+02 
wo_bp_0001_20170901       3.94937909E+02 
wo_bp_0001_20171001       3.94844990E+02 
wo_bp_0001_20171101       3.94801920E+02 
