obsnme                             value 
l_nrmse                   5.83155508E-02 
g_4595                    5.73331955E-01 
g_7817                    2.13806458E-01 
g_55200                   8.33898526E-01 
g_58700                   6.58922729E-01 
g_58810                   6.63722441E-01 
g_58813                   3.20389670E-01 
g_58827                   6.57112320E-01 
g_70500                   3.48454844E-01 
g_70890                   9.12666044E-02 
g_70950                   6.09543008E-01 
g_70990                   6.45952205E-01 
g_71000                   6.52230295E-01 
g_71290                   6.72932484E-01 
g_71300                   6.04209620E-01 
g_71350                   5.34216512E-01 
g_71400                   2.85139625E-01 
wp_bp_0001_20150113       3.97355072E+02 
wp_bp_0001_20150218       3.96190477E+02 
wp_bp_0001_20150318       3.95836180E+02 
wp_bp_0001_20150415       3.95584184E+02 
wp_bp_0001_20150524       3.95940940E+02 
wp_bp_0001_20150610       3.96363168E+02 
wp_bp_0001_20150712       3.96650748E+02 
wp_bp_0001_20150819       3.95849200E+02 
wp_bp_0001_20150915       3.95174791E+02 
wp_bp_0001_20151014       3.94657375E+02 
wp_bp_0001_20151118       3.95780975E+02 
wp_bp_0001_20151215       3.96333173E+02 
wp_bp_0001_20160118       3.96418427E+02 
wp_bp_0001_20160216       3.95816831E+02 
wp_bp_0001_20160323       3.95650601E+02 
wp_bp_0001_20160422       3.95875264E+02 
wp_bp_0001_20160517       3.96282041E+02 
wp_bp_0001_20160614       3.96553869E+02 
wp_bp_0001_20160721       3.96054595E+02 
wp_bp_0001_20160817       3.95306331E+02 
wp_bp_0001_20160912       3.95240286E+02 
wp_bp_0001_20161026       3.94761528E+02 
wp_bp_0001_20161123       3.94822832E+02 
wp_bp_0001_20161222       3.95430810E+02 
wp_bp_0001_20170110       3.95333214E+02 
wp_bp_0001_20170208       3.95209326E+02 
wp_bp_0001_20170317       3.95202462E+02 
wp_bp_0001_20170417       3.94802184E+02 
wp_bp_0001_20170512       3.94495507E+02 
wp_bp_0001_20170613       3.93901679E+02 
wp_bp_0001_20170711       3.93498418E+02 
wp_bp_0001_20170816       3.93055192E+02 
wp_bp_0001_20170915       3.92814263E+02 
wp_bp_0001_20171017       3.92840644E+02 
wp_bp_0001_20171114       3.92556795E+02 
wp_bp_0001_20171218       3.92172927E+02 
wp_bp_0001_20180112       3.92045970E+02 
wp_bp_0001_20180216       3.91723285E+02 
wp_bp_0001_20180313       3.91511793E+02 
wp_bp_0001_20180418       3.91234959E+02 
wp_bp_0001_20180515       3.91041380E+02 
wp_bp_0001_20180618       3.90810491E+02 
wp_bp_0001_20181014       3.92100685E+02 
wp_bp_0001_20181109       3.93842127E+02 
wp_bp_0001_20181221       3.94311442E+02 
