 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    9.854450        3.762700        7.301910        0.250000        16.173900       7.885607        9.351480        0.198247        31.970579       2.804490        7.805336        0.250000        1.006347        0.020263        0.010000        0.011426     
48643      593667.625    3346429.000    8.126846        2.779466        2.871773        0.250000        7.313650        5.766980        7.643130        0.250000        21.874537       4.736481        13.349236       0.250000        0.963253        0.048840        0.010974        0.009296     
48663      596213.188    3348762.250    3.957360        2.335373        19.747112       0.250000        22.008213       12.303113       9.369760        0.197659        25.202100       11.659600       6.556581        0.250000        1.474551        0.089647        0.024077        0.053354     
59898      595152.562    3341549.750    8.735300        3.943228        1.982694        0.250000        7.658184        3.998633        18.555524       0.250000        2.842280        17.595800       16.935349       0.250000        0.978154        0.055401        0.189127        0.049881     
1650       571605.875    3350883.750    10.068600       5.155123        7.205664        0.197813        8.797110        3.143450        11.214500       0.250000        24.172256       8.987404        9.015770        0.236636        1.594808        0.856589        0.054971        0.014457     
2628       567787.500    3343247.000    12.076687       2.692865        7.570486        0.250000        12.848200       8.405500        7.791641        0.250000        36.505592       3.639720        6.310692        0.161039        0.934289        0.053854        0.025710        0.025197     
6424       582636.750    3353429.250    8.881768        4.698972        2.064579        0.139633        22.075855       18.019984       10.559842       0.250000        19.049200       2.632970        7.820252        0.313528        1.075600        0.043365        0.010000        0.009000     
6427       585182.312    3355974.750    16.211300       3.482232        2.285820        0.250000        19.930714       2.453320        19.027800       0.173599        23.025847       5.759812        16.003598       0.250000        2.353410        0.209170        0.010000        0.009000     
8137       568211.750    3336670.750    16.034400       3.281800        17.351500       0.250000        6.817451        5.919540        3.237861        0.250000        11.642285       4.218262        10.866518       0.252144        3.213070        0.234131        0.025635        0.025368     
10866      566939.000    3334231.250    13.497038       2.234074        2.583570        0.250000        52.309550       1.318000        23.909022       0.250000        11.690140       4.039370        10.035625       0.250000        1.289411        0.158981        0.037426        0.091466     
11190      580515.438    3348338.000    18.054512       2.589905        16.438737       0.250000        3.123170        17.921101       18.289365       0.250000        9.769248        4.561670        16.794928       0.218909        0.985331        0.175243        0.010238        0.042094     
14556      574681.812    3340701.250    10.383165       1.017345        6.338459        0.250000        39.864899       3.983330        9.252190        0.250000        33.671800       4.430865        10.867230       0.172361        0.716576        0.412622        0.018211        0.034700     
14695      580091.188    3346216.750    14.873623       2.108191        9.204390        0.250000        17.899500       12.970851       20.946637       0.250000        2.371930        3.682599        4.466709        0.194849        4.383169        0.085217        0.034156        0.009138     
18059      575954.625    3340701.250    7.256561        3.582900        0.859430        0.250000        45.271123       4.196449        6.196530        0.250000        28.446500       15.408450       8.269808        0.250000        1.093236        0.687191        0.010000        0.036514     
18324      584333.812    3348762.250    17.977601       3.353730        5.418560        0.250000        5.948923        3.614530        3.958070        0.250000        11.556600       3.827260        7.986161        0.250000        3.787619        1.416361        0.036255        0.020024     
18345      588576.438    3352156.500    14.320658       6.701406        0.878306        0.214276        6.426970        10.627532       3.433946        0.250000        16.660264       3.330290        13.686600       0.250000        2.296260        0.879677        0.013611        0.009007     
21734      578606.250    3340171.000    4.003360        2.296376        10.584763       0.250000        47.918975       2.736384        9.441635        0.379814        36.773763       10.449919       7.523486        0.250000        0.843902        0.058362        0.044650        0.009008     
23859      569484.562    3329458.250    17.819500       7.798879        12.772447       0.250000        35.507562       9.630080        11.117778       0.250000        10.631500       6.052146        6.965765        0.250000        1.987982        0.027488        0.049147        0.015599     
24086      574151.500    3335292.000    11.840700       2.997370        0.678278        0.250000        20.245862       3.536481        16.716188       0.250000        21.380300       4.745436        12.806400       0.250000        0.880657        0.060725        0.010089        0.011357     
28770      578606.250    3336777.000    13.442137       3.066430        9.683979        0.250000        6.003670        11.414236       2.133230        0.250000        19.476200       4.058830        7.124007        0.250000        0.414453        0.381850        0.010000        0.032273     
29747      583909.562    3343034.750    15.564349       1.749820        5.459111        0.250000        6.206850        4.243230        13.121101       0.250000        16.090078       20.030577       15.408485       0.250000        0.715142        0.049676        0.024368        0.009105     
34198      583008.000    3339534.500    13.006100       2.833190        16.557175       0.250000        7.777109        7.089304        4.035308        0.233450        18.758275       2.431380        14.070300       0.250000        0.722000        0.118921        0.027841        0.031182     
37054      574045.438    3329882.500    6.827694        3.779656        5.928083        0.185596        9.859740        10.215000       24.439463       0.250000        8.318982        4.883550        14.206025       0.325540        0.897391        0.045379        0.011379        0.040333     
38941      585712.688    3340648.250    4.249340        4.173964        8.801630        0.250000        3.427640        1.669875        7.969125        0.250000        13.607435       6.219005        15.239112       0.242439        1.380325        0.088340        0.010000        0.039541     
43166      584758.062    3338049.750    6.728140        1.594560        5.959607        0.250000        30.675873       2.421890        6.569936        0.250000        21.280653       3.705320        7.851674        0.257804        0.376806        0.161995        0.010000        0.017681     
43992      592182.688    3346641.000    7.551180        2.500530        4.535265        0.273356        24.802663       8.461209        5.528843        0.250000        10.821500       4.866805        11.775800       0.250000        2.857241        0.946131        0.010012        0.020377     
45739      576803.125    3329246.250    8.832671        3.356160        7.834564        0.217462        40.195300       6.348804        9.736834        0.250000        19.832300       5.785170        12.396299       0.250000        2.260800        0.222969        0.010817        0.116506     
50965      583167.062    3333488.750    15.802640       5.031330        4.673159        0.250000        16.342000       6.072797        43.257400       0.250000        8.614430        2.755916        15.412272       0.250000        0.599883        0.103167        0.017685        0.013122     
51628      586136.938    3336936.000    10.522588       5.590361        12.923600       0.250000        12.057200       3.501941        27.792762       0.191788        26.165276       3.740650        9.889910        0.200942        1.511472        0.174747        0.010000        0.009017     
51857      586879.375    3337996.750    5.163691        3.235580        3.455732        0.138665        18.250063       4.344300        17.694410       0.250000        6.233770        3.967051        8.433883        0.246671        1.216370        0.164769        0.029244        0.119891     
54365      579985.125    3329246.250    12.795500       7.061145        3.717226        0.191706        31.277400       8.850979        12.309000       0.250000        16.357705       20.798500       11.650972       0.250000        0.268000        1.428446        0.013703        0.009023     
55651      587993.062    3336140.500    11.521837       2.839840        1.377990        0.203755        34.363299       3.697060        8.912070        0.281727        16.706463       4.573320        7.578450        0.302584        0.322768        0.198884        0.018530        0.009065     
56037      589212.875    3338102.750    10.965000       2.105084        7.660072        0.181165        18.808700       8.818016        6.948330        0.250000        14.547900       3.237130        18.114825       0.250000        1.129340        0.728878        0.010000        0.012012     
56264      590061.375    3338474.000    5.325665        7.108910        6.564226        0.250000        5.108648        2.031080        9.741194        0.250000        9.136865        1.636110        7.648546        0.236751        1.066369        0.576576        0.011367        0.009011     
58582      586243.000    3332958.500    6.083400        2.368129        4.880260        0.232567        11.418800       6.963621        9.979670        0.250000        29.773300       7.134250        2.045870        0.246763        1.668674        0.107377        0.011596        0.009537     
58907      587356.688    3335186.000    7.398830        2.902184        8.826029        0.250000        9.121043        4.328560        2.437130        0.194773        35.285300       8.296589        16.801199       0.309660        1.347848        0.023844        0.012447        0.009010     
59770      591334.188    3339110.250    10.404322       1.964217        3.242198        0.250000        9.576720        29.814818       13.833782       0.250000        29.091596       9.718208        13.972508       0.250000        0.938435        0.083331        0.031927        0.021512     
59905      595364.688    3342610.500    19.754070       3.095434        1.465130        0.162372        15.099779       1.173715        5.479510        0.250000        12.143177       9.218538        9.574510        0.339963        0.716865        0.102598        0.010275        0.009026     
62032      584970.188    3330837.250    6.006907        1.000495        4.958252        0.250000        11.258426       6.864400        5.809971        0.250000        10.397900       10.358361       5.759316        0.281040        0.786251        0.098926        0.010699        0.009016     
74066      603425.688    3344095.500    9.459628        7.130390        8.005974        0.250000        7.801510        3.786987        23.030263       0.211358        28.783957       3.747504        15.415362       0.217639        1.188640        0.064625        0.035423        0.062617     
77022      595046.500    3333435.750    3.360430        2.705590        8.587187        0.250000        7.937250        6.364911        7.356596        0.250000        29.412900       8.562887        13.974484       0.250000        0.461554        0.089291        0.045120        0.009000     
77270      597910.250    3336670.750    6.079252        3.596459        4.183920        0.250000        21.753582       7.383490        26.099313       0.270046        23.067424       7.865531        8.549290        0.250000        1.201361        0.207825        0.061295        0.025276     
77301      600880.125    3339852.750    12.816625       3.357980        2.321500        0.250000        4.283390        11.973919       7.799551        0.250000        28.308350       2.873338        4.686740        0.250000        1.293764        0.051020        0.010000        0.009579     
79692      593773.688    3330731.250    18.101461       3.012764        6.690423        0.250000        30.229600       6.824770        7.553928        0.250000        49.991100       7.609150        29.582600       0.250000        0.877788        0.082191        0.011519        0.014532     
80237      596266.250    3332534.250    15.398438       2.316526        6.282682        0.250000        20.075000       6.078823        4.827870        0.250000        43.914612       3.716946        24.368213       0.250000        1.241564        0.047364        0.068565        0.036787     
80410      599183.062    3335822.250    18.540512       3.068320        1.423500        0.175806        37.519525       2.937220        8.964460        0.250000        11.978400       7.379362        9.016755        0.250000        2.264132        0.054561        0.019083        0.009000     
