    C2D             x              y 
83104      594251.000    3328609.750 
83105      594144.938    3328822.000 
83106      594197.938    3328875.000 
83107      594197.938    3328769.000 
83108      594251.000    3328822.000 
83109      594251.000    3328928.000 
83110      594304.000    3328981.000 
83111      594304.000    3328875.000 
83112      594357.062    3328928.000 
83113      594251.000    3328716.000 
83114      594304.000    3328769.000 
83115      594304.000    3328662.750 
83116      594357.062    3328716.000 
83117      594357.062    3328822.000 
83118      594410.062    3328875.000 
83119      594410.062    3328769.000 
83120      594463.125    3328822.000 
83121      593773.688    3329670.500 
83123      593879.750    3329564.500 
83124      593985.812    3329670.500 
83127      594091.875    3329776.500 
83128      594197.938    3329882.500 
83129      593985.812    3329458.250 
83130      594091.875    3329564.500 
83131      594091.875    3329352.250 
83132      594197.938    3329458.250 
83133      594197.938    3329670.500 
83134      594304.000    3329776.500 
83135      594251.000    3329564.500 
83136      594304.000    3329617.500 
83137      594304.000    3329511.500 
83138      594357.062    3329564.500 
83139      594357.062    3329670.500 
83140      594410.062    3329723.500 
83141      594410.062    3329617.500 
83142      594463.125    3329670.500 
83145      594304.000    3329988.750 
83146      594410.062    3330094.750 
83149      594516.125    3330200.750 
83151      594410.062    3329882.500 
83152      594516.125    3329988.750 
83153      594463.125    3329776.500 
83154      594516.125    3329829.500 
83155      594516.125    3329723.500 
83156      594569.188    3329776.500 
83157      594569.188    3329882.500 
83158      594622.188    3329935.750 
83159      594622.188    3329829.500 
83160      594675.250    3329882.500 
83161      594622.188    3330094.750 
83162      594728.250    3330200.750 
83163      594728.250    3329988.750 
83164      594834.375    3330094.750 
83165      594144.938    3329246.250 
83166      594197.938    3329299.250 
83167      594197.938    3329193.250 
83168      594251.000    3329246.250 
83169      594251.000    3329352.250 
83170      594304.000    3329405.250 
83171      594304.000    3329299.250 
83172      594357.062    3329352.250 
83173      594251.000    3329140.250 
83174      594304.000    3329193.250 
83175      594304.000    3329087.000 
83176      594357.062    3329140.250 
83177      594357.062    3329246.250 
83178      594410.062    3329299.250 
83179      594410.062    3329193.250 
83180      594463.125    3329246.250 
83181      594357.062    3329458.250 
83182      594410.062    3329511.500 
83183      594410.062    3329405.250 
83184      594463.125    3329458.250 
83185      594463.125    3329564.500 
83186      594516.125    3329617.500 
83187      594516.125    3329511.500 
83188      594569.188    3329564.500 
