 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    7.988160        8.023412        4.710974        0.250000        12.890374       6.884720        14.992300       0.250000        9.173830        30.050800       9.435010        0.385705        1.619907        0.015689     
714        528330.938    3316094.000    10.654407       5.603990        4.134981        0.250000        14.517700       7.520140        3.493270        0.250000        5.325160        9.258260        16.422750       0.253332        1.751701        0.009000     
1396       536816.250    3316094.000    6.895184        13.243907       11.170510       0.250000        3.448290        3.155140        31.806599       0.250000        25.357387       20.538100       10.655100       0.276299        1.043425        0.051168     
2689       543604.438    3318215.250    4.970020        12.694485       2.217050        0.250000        8.119115        29.385962       15.097171       0.250000        6.769662        5.454654        11.009062       0.221583        4.850589        0.009013     
2772       551029.062    3325427.750    8.239012        6.346825        5.435750        0.250000        44.448975       7.122438        9.400012        0.177860        7.073570        9.506329        6.366670        0.250000        0.901082        0.011938     
2836       553574.688    3328079.500    4.940701        4.823594        3.231360        0.250000        11.797815       7.013300        41.444600       0.194303        13.421725       7.835229        8.259630        0.250000        1.477816        0.023994     
6454       546574.312    3315245.500    5.122477        2.728280        9.469640        0.250000        7.288700        6.893250        13.629200       0.253751        14.278007       5.396244        6.642821        0.250000        0.825745        0.009000     
6976       556438.438    3325056.500    3.086106        3.475930        2.094020        0.250000        5.472250        8.100080        7.459370        0.250000        7.686540        30.531600       19.026742       0.250000        2.840262        0.022165     
8274       542755.938    3310154.250    3.152410        4.311147        2.532170        0.250000        14.916900       8.788990        4.948244        0.250000        16.456651       5.539070        6.248805        0.250000        1.297958        0.012061     
9739       560203.812    3328185.500    9.283719        3.009965        5.564630        0.250000        5.009399        5.973369        6.489830        0.250000        12.288400       7.258337        6.791298        0.250000        0.653757        0.010554     
11456      554635.312    3319806.250    11.558704       8.594625        12.764826       0.250000        7.633239        2.201210        25.058138       0.250000        22.901606       3.561080        19.758188       0.250000        1.698220        0.015790     
12026      557711.250    3323253.500    3.153589        5.618057        7.796225        0.147246        16.308800       13.986890       18.070950       0.250000        13.930109       21.970514       13.283368       0.229200        1.781985        0.017236     
18540      556332.375    3319170.000    3.556310        12.562062       3.667100        0.250000        15.998012       16.446625       4.580710        0.271422        14.955976       16.628320       22.069312       0.250000        3.121051        0.016799     
18692      557233.938    3319170.000    6.478670        5.273360        11.069232       0.210254        6.891020        11.492444       28.474863       0.250000        9.655830        3.676080        12.679262       0.250000        1.918832        0.016192     
29908      556756.625    3314609.000    9.864399        5.907247        2.837685        0.250000        19.386381       10.850661       19.720347       0.326432        17.919274       17.409800       10.415187       0.250000        1.191526        0.009921     
48682      554635.312    3305063.250    7.647348        8.266315        10.791552       0.250000        3.767440        6.913420        10.634255       0.250000        10.502518       4.686860        16.326236       0.250000        1.506120        0.013618     
51         518997.156    3332216.000    1.890600        4.707920        9.427288        0.250000        6.048497        12.646800       3.901174        0.250000        9.757605        16.159006       17.932675       0.208094        0.404962        0.009000     
76         526633.875    3338155.750    5.928276        3.511050        2.568241        0.250000        5.848675        8.600996        14.737732       0.224139        9.939564        9.081490        10.397600       0.250000        1.545615        0.071827     
198        527482.438    3330519.000    6.234534        7.720140        7.233773        0.250000        3.714308        3.994130        13.513816       0.250000        6.967931        5.682710        3.419800        0.250000        0.364783        0.011224     
271        524936.812    3324579.250    6.334715        3.068659        12.227564       0.250000        12.966400       16.516300       3.358960        0.250000        8.497140        23.062287       6.359760        0.250000        4.821799        0.009389     
332        541907.375    3339852.750    6.729800        10.413999       7.400510        0.250000        5.908150        20.497257       17.867823       0.250000        8.822330        6.790874        22.463275       0.250000        1.450630        0.067409     
391        547847.125    3344095.500    4.219140        9.512710        8.671959        0.252766        23.679100       13.237323       6.534750        0.250000        22.223326       5.842363        23.652150       0.250000        1.382149        0.039427     
538        558877.938    3351732.250    3.398470        7.472624        9.235615        0.250000        12.941220       4.733170        10.172100       0.197396        16.979575       6.472388        8.707743        0.250000        2.564850        0.018163     
724        536816.250    3324579.250    10.785110       13.149906       8.809170        0.250000        15.442900       6.288675        12.399610       0.328906        7.456699        3.768080        8.377066        0.250000        0.466428        0.009004     
972        546786.438    3330519.000    6.452163        16.304352       5.985745        0.178796        6.602890        36.893175       24.274176       0.250000        5.594185        25.051100       8.855289        0.250000        1.649470        0.009666     
1036       559726.500    3344095.500    9.504010        4.512421        9.190332        0.250000        25.618965       18.599666       10.373800       0.201367        8.936100        13.524000       18.617835       0.250000        2.278231        0.023155     
1347       558453.688    3339004.250    5.612020        11.037600       14.137413       0.290406        8.899744        1.330065        7.292197        0.250000        20.019263       14.898300       13.618800       0.199644        2.054603        0.031972     
2049       566090.438    3343247.000    2.648200        11.963021       11.280560       0.250000        12.377308       6.335260        11.882271       0.198172        22.132713       9.831033        15.221064       0.250000        1.339233        0.021938     
2908       554635.312    3329564.500    10.467450       3.772341        8.653499        0.250000        12.826575       11.976900       5.891490        0.250000        11.889012       6.723330        11.160150       0.250000        1.570410        0.009109     
4241       556120.250    3328769.000    1.063860        5.083364        12.853860       0.198169        25.785314       8.134270        6.536861        0.250000        12.513630       3.548830        6.838068        0.250000        0.868325        0.032975     
4822       559302.250    3332428.250    4.241430        5.388810        3.938972        0.250000        8.754686        18.938488       14.914155       0.250000        9.270946        7.828550        9.896130        0.250000        1.009650        0.009022     
