 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
29913      557180.938    3314609.000    3.694754        4.583260        5.518006        0.196829        5.898560        2.190411        10.224756       0.300000        13.371800       7.782991        15.302675       0.300000        1.234612        0.018012     
12125      558453.688    3323677.750    7.178915        3.815187        5.718591        0.300000        5.021728        4.354950        4.001486        0.300000        13.787913       5.107504        5.529780        0.300000        2.443756        0.008668     
18718      557393.062    3319223.000    3.346703        5.734316        1.807240        0.300000        25.820565       4.235480        8.852792        0.300000        8.035510        15.317781       13.106800       0.300000        0.475924        0.008134     
26234      560256.812    3319647.250    10.491815       2.894468        8.510425        0.167224        16.725895       8.207280        2.868931        0.180775        11.989135       3.606366        7.812466        0.290546        1.399418        0.011639     
35614      566302.562    3321450.250    3.505015        6.898061        2.556140        0.300000        12.886672       8.116421        5.926320        0.300000        8.050640        6.296708        12.564788       0.234076        1.922430        0.044404     
9640       559938.625    3326647.500    4.121590        8.898660        1.467930        0.300000        11.199500       12.024395       17.214775       0.300000        5.982140        11.575839       13.824500       0.300000        1.266956        0.008100     
10780      564181.250    3332110.000    4.537703        4.339240        15.662300       0.300000        9.806044        7.412670        10.264400       0.300000        12.985144       7.567570        19.309306       0.300000        0.674612        0.008136     
16203      563385.750    3328079.500    12.797987       12.099792       4.827510        0.300000        7.519886        22.584020       7.486220        0.300000        7.289840        19.866331       7.607343        0.300000        1.150119        0.008814     
16902      566514.750    3330413.000    9.652131        5.380558        1.773803        0.210304        5.833650        10.472855       7.314070        0.300000        5.165821        8.187020        8.428592        0.300000        0.589239        0.019146     
32156      566992.000    3324155.000    7.414133        9.729592        13.636869       0.300000        2.923680        3.426920        4.226771        0.158816        17.659000       15.830518       5.413202        0.300000        1.058770        0.008100     
36319      568901.188    3324897.500    3.969804        16.795504       4.473958        0.300000        32.010201       7.972770        7.182830        0.237529        17.418818       10.750015       3.368840        0.300000        0.361585        0.008631     
36940      572666.562    3328503.750    17.223200       5.644983        5.191822        0.300000        5.431635        14.699594       9.327980        0.300000        12.573662       10.676300       30.000000       0.300000        0.917843        0.025614     
44917      571446.812    3323200.500    11.749987       4.257520        9.583533        0.187729        13.465982       4.370202        12.829273       0.300000        11.076297       7.141465        4.638750        0.246652        1.224190        0.038058     
40649      571605.875    3326170.250    22.765950       4.485180        9.105690        0.300000        19.536544       8.159485        4.391110        0.300000        21.813614       6.992071        8.308993        0.300000        2.202787        0.008329     
45366      573409.000    3325852.000    4.019930        5.304686        4.395470        0.306967        4.492770        5.758525        9.452835        0.300000        9.178671        9.127255        14.622638       0.239979        0.944893        0.008107     
49531      573143.875    3323624.750    10.108000       9.043180        5.052840        0.229417        13.626721       4.753650        2.445105        0.300000        8.993769        9.888541        13.898500       0.300000        0.504097        0.022960     
49663      573674.188    3323306.500    4.643469        2.444401        6.620247        0.300000        5.533440        13.775288       8.093010        0.300000        7.199964        10.191526       4.137891        0.300000        3.475650        0.009407     
53362      574310.562    3323730.750    4.883310        5.090466        9.311045        0.300000        6.115231        8.125740        4.815816        0.300000        17.590524       3.104460        12.611525       0.300000        0.361449        0.014481     
53502      574946.938    3323306.500    1.901200        5.544142        8.479640        0.300000        5.338529        3.561470        11.869322       0.300000        17.059506       11.230200       23.542238       0.259829        1.255017        0.024878     
54306      579136.562    3328185.500    6.696010        8.583349        4.788076        0.300000        36.713000       10.906892       12.585584       0.300000        19.699499       12.447922       7.446583        0.300000        1.154840        0.025322     
57401      577121.312    3324526.250    11.270152       3.819346        7.460747        0.300000        1.483460        2.219680        13.617164       0.300000        3.439910        5.839170        6.030481        0.281054        1.964902        0.020047     
60520      575901.562    3320654.750    3.207186        2.895194        2.007292        0.235313        11.689328       24.347394       8.196175        0.351106        7.648473        6.933220        3.141218        0.300000        0.807357        0.010709     
61897      583167.062    3328609.750    8.871116        5.259733        11.919700       0.300000        19.897550       25.229450       10.432534       0.247976        6.867678        10.982000       7.950198        0.300000        0.863357        0.008100     
63810      576591.000    3320495.750    2.370098        23.958600       3.823702        0.199412        11.902875       8.275274        4.749330        0.300000        7.581236        19.412300       7.227925        0.300000        0.994399        0.008407     
64632      581470.000    3325693.000    4.966349        2.195220        3.523902        0.300000        9.743465        30.058037       5.006220        0.300000        8.936909        9.597113        11.942900       0.300000        0.465097        0.008991     
66755      573939.312    3316518.250    10.400412       3.885590        1.957210        0.270654        5.389710        4.274850        14.765400       0.172044        9.725896        9.200660        4.463030        0.300000        1.267823        0.008531     
67046      576378.875    3318056.250    6.897267        2.309970        9.570386        0.300000        15.999745       8.808430        14.041446       0.300000        6.689750        9.664320        7.916178        0.300000        0.611747        0.010376     
67278      576909.188    3318798.750    6.089840        3.467061        10.114025       0.184169        3.706810        10.961500       4.818984        0.300000        21.651300       3.388160        8.279951        0.300000        0.422602        0.011410     
67371      577015.250    3319223.000    2.715870        3.947510        3.942166        0.207493        5.635770        8.512834        8.485150        0.224231        11.902614       20.483693       9.291535        0.300000        0.225456        0.008100     
67616      578606.250    3320867.000    5.306969        13.405650       4.940504        0.300000        13.202094       12.029950       11.963200       0.300000        10.132410       12.222703       8.337797        0.133168        2.613490        0.008101     
67628      578394.125    3319806.250    6.042807        9.359528        3.763915        0.152198        5.260732        18.573950       10.012736       0.300000        15.594900       9.370890        9.117661        0.300000        0.212678        0.008137     
68101      581417.000    3323836.750    2.542602        4.959770        10.119166       0.262003        4.142963        13.964464       9.357930        0.300000        22.615447       7.684780        8.076610        0.300000        1.011268        0.008100     
68357      582265.500    3324685.250    4.262050        2.695300        5.640505        0.224781        8.059884        14.730937       8.975725        0.300000        26.219325       5.041910        14.697400       0.300000        0.415402        0.008100     
71353      578182.000    3318904.750    5.676681        3.802467        3.346740        0.208603        9.312748        5.525630        5.895537        0.300000        4.180210        4.982170        8.787482        0.300000        1.057020        0.051210     
71593      580515.438    3320442.750    8.798200        6.304820        4.965217        0.300000        5.880215        4.538924        3.769230        0.300000        8.855559        5.800482        15.735521       0.300000        1.129954        0.009759     
71958      582265.500    3322139.750    3.163920        2.950826        2.405722        0.300000        12.024800       4.733327        4.406469        0.258500        5.390880        6.414409        10.652038       0.300000        1.151850        0.040186     
72107      582689.812    3323306.500    6.457571        3.573383        3.537421        0.300000        4.919014        15.738937       9.778916        0.300000        12.566020       15.939319       9.582030        0.300000        0.695772        0.008325     
72264      582954.938    3323783.750    2.030172        2.698824        14.766450       0.300000        11.356920       14.598579       8.117907        0.300000        9.313540        8.819510        6.926710        0.300000        1.631160        0.028287     
75084      582265.500    3321609.500    6.697850        6.241042        3.702235        0.300000        22.141806       15.784396       10.116300       0.236927        2.811764        11.432900       17.744000       0.300000        0.954902        0.008100     
75306      583114.062    3322033.750    4.777130        9.619383        4.562843        0.170701        3.164470        6.743307        12.881136       0.300000        16.151625       5.384450        5.207610        0.300000        0.521394        0.008100     
75567      584121.688    3323041.250    5.282050        5.325126        4.011216        0.300000        5.187030        19.434500       8.690949        0.300000        6.248300        5.074063        5.780999        0.300000        0.847206        0.008122     
75727      584758.062    3323253.500    12.687650       4.104210        12.301762       0.300000        6.174294        5.835610        11.570615       0.300000        6.804454        9.511593        10.051200       0.300000        0.444324        0.008100     
76014      586136.938    3324367.250    4.177070        3.429662        2.642390        0.208570        11.159972       2.395450        6.059590        0.300000        8.137380        5.105157        13.439700       0.223512        0.639394        0.008913     
76239      588894.625    3327761.250    8.971979        16.006375       3.674720        0.300000        9.393950        9.090590        4.712086        0.220100        19.148638       3.729301        6.452171        0.300000        0.662716        0.009581     
