 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    7.791225        3.762700        5.385777        0.300000        16.173900       5.985147        9.351480        0.198247        24.802827       2.804490        6.635895        0.300000        0.878921        0.018237        0.009000        0.010284     
48643      593667.625    3346429.000    7.110553        1.889762        2.367411        0.300000        4.156825        5.766980        7.643130        0.300000        18.014019       4.314981        9.429417        0.300000        0.907609        0.043956        0.009876        0.008366     
48663      596213.188    3348762.250    3.957360        1.848852        19.620668       0.300000        13.945981       11.785831       9.369760        0.197659        25.202100       11.659600       5.486887        0.300000        1.177892        0.089647        0.021669        0.048019     
59898      595152.562    3341549.750    7.664290        3.185043        1.685011        0.300000        7.062981        2.530589        16.148262       0.300000        2.842280        17.595800       14.753025       0.300000        0.978154        0.049861        0.115377        0.044893     
1650       571605.875    3350883.750    10.068600       3.904029        5.328546        0.197813        4.923803        3.143450        11.214500       0.300000        18.496466       6.758855        9.015770        0.236636        1.017498        0.445578        0.049474        0.013011     
2628       567787.500    3343247.000    11.710794       2.270964        4.340729        0.300000        7.990325        8.405500        4.514499        0.300000        31.540909       3.639720        4.251166        0.161039        0.843518        0.048469        0.023139        0.022677     
6424       582636.750    3353429.250    7.410464        3.487581        1.759406        0.139633        13.760609       13.461251       9.527287        0.300000        19.049200       2.632970        4.410341        0.313528        1.075600        0.039028        0.009000        0.008100     
6427       585182.312    3355974.750    16.211300       2.740994        2.285820        0.300000        11.881733       2.453320        19.027800       0.173599        15.925421       4.060718        12.299277       0.300000        1.882684        0.147840        0.009000        0.008100     
8137       568211.750    3336670.750    16.034400       3.281800        17.351500       0.300000        5.922697        5.919540        2.429168        0.300000        10.084440       3.626225        9.176651        0.252144        3.213070        0.234131        0.023072        0.022831     
10866      566939.000    3334231.250    12.038607       1.702764        2.583570        0.300000        38.464325       1.186200        18.243533       0.300000        9.387010        4.039370        7.346137        0.300000        1.169782        0.158981        0.033683        0.058586     
11190      580515.438    3348338.000    16.431768       2.322630        14.659581       0.300000        3.123170        17.030064       11.520573       0.300000        7.514871        4.561670        13.520501       0.218909        0.546620        0.175243        0.009214        0.037885     
14556      574681.812    3340701.250    9.245946        0.915610        5.865933        0.300000        31.647348       3.983330        9.252190        0.300000        33.671800       2.829136        6.798320        0.172361        0.716576        0.313692        0.016390        0.031230     
14695      580091.188    3346216.750    10.770676       1.554129        6.791585        0.300000        17.899500       8.696615        13.799955       0.300000        2.371930        2.434698        3.196651        0.194849        3.207668        0.076695        0.030740        0.008224     
18059      575954.625    3340701.250    6.270734        3.311948        0.859430        0.300000        36.706323       3.154688        6.196530        0.300000        28.446500       14.014187       7.289699        0.300000        0.920463        0.534103        0.009000        0.032863     
18324      584333.812    3348762.250    14.642432       3.353730        5.418560        0.300000        4.571569        3.614530        3.958070        0.300000        11.556600       3.827260        6.324492        0.300000        2.166429        1.070696        0.032630        0.018021     
18345      588576.438    3352156.500    11.644374       5.416667        0.878306        0.214276        6.426970        8.050211        3.188566        0.300000        10.874470       3.330290        13.686600       0.300000        1.653799        0.523141        0.012250        0.008106     
21734      578606.250    3340171.000    4.003360        1.771822        9.342069        0.300000        31.878462       1.868192        6.025665        0.379814        30.349144       8.036066        6.627245        0.300000        0.539320        0.052526        0.040185        0.008107     
23859      569484.562    3329458.250    17.819500       5.604918        9.569650        0.300000        25.111344       9.630080        8.005891        0.300000        10.631500       5.396604        5.499159        0.300000        1.529272        0.027488        0.044232        0.014039     
24086      574151.500    3335292.000    11.840700       2.997370        0.678278        0.300000        18.649531       2.941066        14.016032       0.300000        21.380300       3.652647        12.806400       0.300000        0.770951        0.054652        0.009080        0.010221     
28770      578606.250    3336777.000    9.513206        3.066430        7.510968        0.300000        6.003670        10.088742       2.133230        0.300000        19.476200       4.058830        5.551066        0.300000        0.414453        0.231128        0.009000        0.029046     
29747      583909.562    3343034.750    13.921999       1.749820        4.674085        0.300000        6.206850        4.243230        7.419539        0.300000        10.752666       12.395866       12.636315       0.300000        0.715142        0.044709        0.021931        0.008195     
34198      583008.000    3339534.500    9.375350        2.833190        14.951325       0.300000        6.845894        6.046793        3.413663        0.233450        10.487412       2.431380        14.070300       0.300000        0.722000        0.107029        0.025057        0.028064     
37054      574045.438    3329882.500    5.391514        3.540898        4.326756        0.185596        6.056972        10.215000       23.899769       0.300000        6.540011        4.883550        11.809938       0.325540        0.818324        0.040841        0.010241        0.036300     
38941      585712.688    3340648.250    4.249340        3.469688        6.187445        0.300000        3.427640        1.502888        6.844038        0.300000        11.849315       5.356486        14.672043       0.242439        1.111382        0.079506        0.009000        0.035587     
43166      584758.062    3338049.750    4.294423        1.594560        5.558925        0.300000        17.863810       2.421890        5.023109        0.300000        15.281241       3.072662        6.085586        0.257804        0.376806        0.161995        0.009000        0.015913     
43992      592182.688    3346641.000    7.551180        2.500530        4.429884        0.273356        21.579682       8.121660        4.244948        0.300000        10.821500       3.517687        11.775800       0.300000        1.667248        0.507367        0.009011        0.018339     
45739      576803.125    3329246.250    7.616232        3.356160        4.736846        0.217462        40.195300       5.126898        7.414026        0.300000        19.832300       4.983264        8.993361        0.300000        1.771087        0.144249        0.009735        0.064828     
50965      583167.062    3333488.750    11.014290       5.031330        3.883271        0.300000        16.342000       5.382786        43.257400       0.300000        8.614430        2.396892        12.468408       0.300000        0.494202        0.092851        0.015917        0.011809     
51628      586136.938    3336936.000    9.912394        4.169563        12.923600       0.300000        12.057200       2.985879        20.704592       0.191788        21.815838       3.740650        7.973515        0.200942        1.005635        0.174747        0.009000        0.008115     
51857      586879.375    3337996.750    3.468447        3.235580        2.299854        0.138665        16.460719       4.344300        12.715351       0.300000        6.233770        3.514519        7.372736        0.246671        1.216370        0.164769        0.026320        0.119891     
54365      579985.125    3329246.250    12.795500       4.944405        3.585914        0.191706        31.277400       6.246543        12.309000       0.300000        11.150295       20.798500       6.826459        0.300000        0.268000        0.726746        0.012332        0.008120     
