 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
70844      576591.000    3317419.750    22.245944       9.020343        6.212110        0.300000        4.676193        2.494934        3.351850        0.300000        9.155603        4.308860        12.750950       0.291897        14.536238       1.848009        7.202742        0.300000        0.611818        0.019890     
71473      579030.500    3318533.500    40.161912       4.631742        6.886037        0.277522        2.987670        2.479890        7.898951        0.300000        7.522791        3.069091        6.520200        0.308958        9.253340        1.761420        6.721300        0.300000        0.577943        0.031828     
74395      577174.375    3315882.000    34.219138       6.078058        8.125414        0.381545        7.793635        2.099082        2.461168        0.238117        37.633156       11.938936       8.842780        0.142018        9.932180        1.325500        18.618400       0.300000        0.641044        0.008102     
77698      578500.188    3315086.500    30.827600       4.472090        9.116840        0.300000        9.538701        1.291350        3.582570        0.300000        22.063288       4.829380        7.543810        0.293800        15.145494       2.739185        13.613638       0.300000        1.972130        0.015765     
78109      581682.188    3318639.500    13.555098       4.500000        8.696100        0.300000        18.629162       3.828694        4.293463        0.300000        3.820240        9.749740        4.229090        0.300000        9.536939        1.892380        19.140427       0.300000        1.086175        0.018597     
80479      576272.812    3312063.500    24.196869       4.509297        4.634347        0.300000        7.165860        1.685890        12.892903       0.300000        10.952700       5.220430        6.071870        0.300000        10.943634       5.609439        6.728961        0.300000        1.609485        0.014039     
80756      579348.688    3314131.750    21.640000       4.730949        15.523000       0.300000        7.210411        3.318293        4.624520        0.300000        4.960860        39.670700       9.458752        0.300000        22.767157       3.326806        10.544280       0.300000        1.054812        0.012010     
81095      580515.438    3315988.000    25.983536       4.512231        11.432120       0.266639        9.933104        2.217035        4.854076        0.300000        13.780500       3.167000        8.598212        0.300000        7.840986        3.519525        30.000000       0.300000        1.760440        0.038219     
84405      580780.625    3313548.500    7.474252        7.215737        7.798355        0.300000        5.706970        2.721797        15.020800       0.300000        8.516130        6.894360        10.423785       0.185182        15.613000       11.321783       11.028900       0.300000        0.991308        0.008311     
85620      584599.000    3317260.750    41.534500       12.274982       10.940819       0.224854        9.789728        5.272299        3.387720        0.300000        27.983987       4.089264        8.570987        0.300000        7.126596        11.448300       9.760952        0.300000        0.312553        0.008100     
92632      583697.438    3313230.250    6.220426        18.609050       8.252620        0.335600        9.023076        2.582690        10.330691       0.300000        14.662300       8.545370        6.204536        0.300000        8.275990        1.425568        6.237717        0.300000        1.085690        0.033952     
96140      580727.562    3309730.000    24.392302       8.812047        9.546770        0.294461        11.716247       1.678270        4.449170        0.300000        10.274000       1.450539        8.363801        0.275203        15.852300       5.173010        12.256530       0.300000        1.175392        0.008100     
99295      579242.625    3305487.500    35.628218       4.500000        11.063300       0.236093        16.399244       1.376323        20.000000       0.300000        7.280160        6.953773        11.988300       0.312304        9.004694        3.560444        11.439708       0.300000        1.395351        0.011312     
