obsnme                             value 
wo_bp_0001_20190401       3.94675997E+02 
wo_bp_0001_20190501       3.95003651E+02 
wo_bp_0001_20190601       3.95713442E+02 
wo_bp_0001_20190701       3.95491773E+02 
wo_bp_0001_20190801       3.94837638E+02 
wo_bp_0001_20190901       3.94216583E+02 
wo_bp_0001_20191001       3.93734996E+02 
wo_bp_0001_20191101       3.93343410E+02 
wo_bp_0001_20191201       3.93009716E+02 
wo_bp_0001_20200101       3.92710324E+02 
wo_bp_0001_20200201       3.92497215E+02 
wo_bp_0001_20200301       3.92757959E+02 
wo_bp_0001_20200401       3.93201330E+02 
wo_bp_0001_20200501       3.93427568E+02 
wo_bp_0001_20200601       3.94547233E+02 
wo_bp_0001_20200701       3.94776793E+02 
wo_bp_0001_20200801       3.94004861E+02 
wo_bp_0001_20200901       3.93496698E+02 
wo_bp_0001_20201001       3.93604469E+02 
wo_bp_0001_20201101       3.93079069E+02 
wo_bp_0001_20201201       3.92601451E+02 
wo_bp_0001_20210101       3.92217993E+02 
wo_bp_0001_20210201       3.91909987E+02 
wo_bp_0001_20210301       3.91649226E+02 
wo_bp_0001_20210401       3.91397035E+02 
wo_bp_0001_20210501       3.91195319E+02 
wo_bp_0001_20210601       3.92142222E+02 
wo_bp_0001_20210701       3.93713129E+02 
wo_bp_0001_20210801       3.94189008E+02 
wo_bp_0001_20210901       3.93475860E+02 
wo_bp_0001_20211001       3.92727081E+02 
wo_bp_0001_20211101       3.92415648E+02 
wo_bp_0001_20211201       3.92209383E+02 
wp_bp_0011_20150113       3.98330992E+02 
wp_bp_0011_20150218       3.98512544E+02 
wp_bp_0011_20150318       3.98581892E+02 
wp_bp_0011_20150415       3.98611017E+02 
wp_bp_0011_20150524       3.98615093E+02 
wp_bp_0011_20150610       3.98629519E+02 
wp_bp_0011_20150712       3.98693797E+02 
wp_bp_0011_20150819       3.98773921E+02 
wp_bp_0011_20150915       3.98776980E+02 
wp_bp_0011_20151014       3.98725644E+02 
wp_bp_0011_20151118       3.98640828E+02 
wp_bp_0011_20151215       3.98651997E+02 
