name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
S_70500_201705,269.686,9.3657,242.608,298.984,279.052,260.32,177.81,9.43209,97.2114,195.039,187.242,168.378,47.5686
S_70500_201706,242.603,8.93762,214.781,269.595,251.54,233.665,171.635,9.38732,91.4116,188.796,181.022,162.248,25.9845
S_70500_201903,239.554,9.23428,207.939,264.458,248.788,230.32,180.205,8.4199,106.424,195.897,188.624,171.785,12.0423
S_70500_201904,239.604,8.74492,216.199,266.459,248.349,230.859,182.528,8.39671,108.914,198.183,190.925,174.131,18.0164
S_70500_201905,275.154,9.48242,245.63,301.76,284.636,265.671,222.299,8.3704,148.854,237.92,230.669,213.928,7.70966
S_70500_201906,263.933,9.99521,240.988,292.402,273.929,253.938,189.489,8.34062,116.25,205.043,197.83,181.149,35.9447
S_70500_201907,228.674,7.85303,206.32,248.013,236.527,220.821,174.952,8.31046,101.92,190.471,183.262,166.641,15.8496
S_70500_201908,214.33,8.16137,186.73,236.882,222.492,206.169,167.116,8.28761,94.2604,182.591,175.403,158.828,4.13957
S_70890_201809,5.47816,10.7361,-24.4008,33.28,16.2143,-5.25797,52.109,0.094582,51.8186,52.4346,52.2036,52.0144,18.5386
S_70890_201810,19.7831,8.28751,-5.36704,44.3139,28.0706,11.4956,78.047,0.154326,77.6184,78.4629,78.2013,77.8927,33.3045
S_70890_201811,17.4135,3.37202,8.29022,26.9877,20.7855,14.0415,41.2411,0.302637,40.1585,42.3112,41.5437,40.9384,13.1708
S_70950_201705,71.6479,16.0692,30.4105,124.386,87.7172,55.5787,23.5967,0.718023,21.8212,25.961,24.3147,22.8787,4.44941
S_70950_201810,67.1357,37.2221,-55.8554,183.553,104.358,29.9136,222.01,42.9804,191.33,482.601,264.99,179.03,7.77658
S_70950_201811,70.2743,14.0279,33.2344,107.57,84.3021,56.2464,152.482,20.6766,133.556,227.613,173.159,131.806,25.9868
S_70950_201903,72.0912,14.2909,27.9923,104.868,86.3821,57.8003,23.9934,0.727128,22.2905,26.2635,24.7205,23.2663,1.72878
S_71290_201810,179.285,51.2149,15.1905,298.253,230.5,128.07,412.055,42.5994,380.305,669.665,454.654,369.456,82.0518
S_71290_201811,151.113,30.509,62.8949,223.199,181.622,120.604,287.795,20.8342,267.475,364.789,308.629,266.961,44.2756
S_71290_201903,117.008,22.8646,55.8685,185.438,139.873,94.1434,33.7937,0.847388,31.5485,36.6203,34.641,32.9463,19.2481
S_71290_201904,98.2784,23.1104,42.8407,176.224,121.389,75.168,38.8135,0.879075,36.6629,41.7939,39.6926,37.9344,1.04674
