iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,base
0,266,1.01224e+07,1.14621e+06,2.43881e+06,1.31322e+07,9.13314e+06,8.52284e+06,1.16625e+07,1.05094e+07,1.11571e+07,1.21677e+07,1.0584e+07,8.90137e+06,1.14313e+07,1.02176e+07,9.63771e+06,1.05371e+07,9.41084e+06,8.25711e+06,1.1102e+07,1.02469e+07,1.13932e+07,8.95052e+06,9.81088e+06,1.17489e+07,1.03782e+07,8.74936e+06,8.59899e+06,1.17974e+07,1.01256e+07,8.89098e+06,1.08261e+07,1.0159e+07,,,1.01641e+07,9.44879e+06,9.74023e+06,1.14953e+07,1.01473e+07,9.29708e+06,8.42341e+06,1.22774e+07,6.81757e+06,,1.12206e+07,1.00159e+07,9.35985e+06,1.02897e+07,1.13022e+07,9.74428e+06,8.21839e+06,1.15396e+07,,9.48476e+06,1.06348e+07,1.00033e+07,9.88558e+06,9.36512e+06,9.83202e+06,,1.11025e+07,8.83098e+06,1.06806e+07,1.05531e+07,9.63759e+06,,1.05174e+07,8.86876e+06,1.17371e+07,9.72404e+06,9.6632e+06,8.73507e+06,1.09367e+07,1.02784e+07,1.01854e+07,1.10944e+07,9.56177e+06,,,1.00764e+07,1.10491e+07,,9.60853e+06,9.23653e+06,1.24762e+07,9.7087e+06,1.2011e+07,,9.10191e+06,,1.02191e+07,1.05243e+07,9.36001e+06,8.17184e+06,9.00051e+06,9.92079e+06,1.0293e+07,9.41143e+06,1.08945e+07,9.97894e+06,,1.12647e+07,8.80659e+06,,9.06934e+06,9.84811e+06,1.07354e+07,1.02486e+07,1.02661e+07,9.91473e+06,,9.42691e+06,9.56745e+06,1.17562e+07,,1.01864e+07,1.04469e+07,8.98853e+06,1.15629e+07,,1.1051e+07,9.36935e+06,9.26867e+06,1.00177e+07,1.04283e+07,1.18088e+07,9.88374e+06,9.63415e+06,1.21648e+07,1.01635e+07,1.00277e+07,1.0168e+07,9.77101e+06,9.37873e+06,1.09553e+07,1.07785e+07,1.12635e+07,9.84611e+06,1.16624e+07,8.29163e+06,9.82416e+06,1.02957e+07,9.73268e+06,7.7678e+06,1.0734e+07,9.70537e+06,9.5422e+06,1.19751e+07,1.17469e+07,1.00634e+07,9.72069e+06,9.04247e+06,9.66899e+06,9.69926e+06,1.0187e+07,9.95006e+06,9.64284e+06,,1.10751e+07,1.17282e+07,1.0247e+07,1.29046e+07,1.08763e+07,,9.05901e+06,9.69436e+06,9.9164e+06,1.0819e+07,1.02079e+07,8.26801e+06,1.13959e+07,,9.64893e+06,1.08358e+07,,1.17097e+07,9.09103e+06,1.04585e+07,9.74337e+06,8.36053e+06,9.92886e+06,9.85948e+06,1.06775e+07,1.23326e+07,9.26595e+06,9.50113e+06,1.03059e+07,,1.24476e+07,1.00413e+07,8.37787e+06,1.10703e+07,9.09284e+06,9.00064e+06,1.04265e+07,1.09613e+07,1.00053e+07,9.98272e+06,1.16377e+07,1.04417e+07,9.8016e+06,9.65778e+06,9.41446e+06,1.13615e+07,9.88772e+06,1.2437e+07,1.03006e+07,1.05527e+07,9.29313e+06,9.79841e+06,1.08116e+07,9.47868e+06,1.04581e+07,1.05374e+07,1.22926e+07,9.5773e+06,9.77209e+06,9.77457e+06,1.22312e+07,9.15667e+06,1.03523e+07,9.07831e+06,9.42005e+06,9.88951e+06,,,,9.10993e+06,1.04348e+07,7.79419e+06,1.13758e+07,1.00994e+07,1.00212e+07,8.72159e+06,1.03438e+07,8.22534e+06,1.09399e+07,1.03275e+07,,1.00899e+07,1.03838e+07,9.03331e+06,1.10319e+07,1.10599e+07,1.10207e+07,9.07597e+06,,8.96316e+06,1.11079e+07,9.84301e+06,,1.18943e+07,1.16967e+07,1.01735e+07,1.08742e+07,,8.59869e+06,1.02411e+07,9.24792e+06,1.07671e+07,1.17571e+07,8.94735e+06,1.03368e+07,1.07182e+07,9.33563e+06,7.85151e+06,9.63083e+06,9.03311e+06,8.22821e+06,,9.00976e+06,9.46238e+06,1.31322e+07,1.0216e+07,9.52183e+06,9.74546e+06,1.08112e+07,1.03007e+07,9.59794e+06,,1.02325e+07,,1.02227e+07,9.88679e+06,9.69155e+06,1.10296e+07,1.08911e+07,,1.25503e+07,1.19778e+07,1.03175e+07,1.09753e+07,1.01228e+07,,9.05098e+06,,9.70465e+06,1.01359e+07,9.00422e+06,1.09131e+07,1.08376e+07,1.00888e+07,1.15247e+07,2.43881e+06
1,630,9.98719e+06,1.14071e+06,2.41859e+06,1.29688e+07,9.11942e+06,8.50178e+06,1.12739e+07,,1.10235e+07,1.18683e+07,1.05608e+07,8.89498e+06,1.12386e+07,1.02006e+07,9.48827e+06,1.04888e+07,9.16453e+06,8.2492e+06,1.10728e+07,1.02331e+07,1.13271e+07,8.90885e+06,9.78499e+06,1.17531e+07,1.02927e+07,8.6618e+06,8.3908e+06,,1.0057e+07,8.83992e+06,1.05984e+07,1.01529e+07,,,1.01171e+07,9.37627e+06,9.53823e+06,,,,8.2125e+06,1.22437e+07,6.83446e+06,,1.10887e+07,9.97158e+06,9.14592e+06,1.02196e+07,1.12886e+07,9.58758e+06,,1.12123e+07,,,1.05662e+07,9.76117e+06,9.61429e+06,9.04513e+06,9.78049e+06,,1.08678e+07,8.83211e+06,1.06547e+07,,9.69501e+06,,1.02676e+07,8.8524e+06,1.16172e+07,9.60456e+06,9.64713e+06,8.52285e+06,1.09148e+07,9.82766e+06,9.91003e+06,,9.46291e+06,,,1.00385e+07,1.09903e+07,,9.57448e+06,,1.24316e+07,9.69681e+06,1.10357e+07,,9.0981e+06,,1.01964e+07,1.03952e+07,9.13458e+06,8.15287e+06,8.9641e+06,9.90239e+06,1.02947e+07,9.39138e+06,1.08278e+07,9.24139e+06,,1.11597e+07,8.87431e+06,,9.08054e+06,9.79254e+06,1.07117e+07,1.02549e+07,1.00334e+07,9.75177e+06,,9.4182e+06,9.52939e+06,1.1219e+07,,9.6741e+06,1.03877e+07,8.75427e+06,1.13463e+07,,1.10408e+07,9.28083e+06,9.23973e+06,1.00109e+07,1.0129e+07,,9.87175e+06,9.61165e+06,1.21075e+07,1.01501e+07,9.96824e+06,1.01396e+07,9.7472e+06,9.44238e+06,1.08322e+07,1.05072e+07,1.11949e+07,9.81187e+06,1.16095e+07,8.27237e+06,9.60375e+06,1.02675e+07,,7.73068e+06,1.05857e+07,,,1.19049e+07,1.16131e+07,1.00768e+07,,8.82273e+06,9.62753e+06,9.62367e+06,1.01106e+07,9.69208e+06,9.61063e+06,,1.09863e+07,,1.00445e+07,1.28966e+07,,,9.01717e+06,9.48347e+06,9.82361e+06,1.08105e+07,9.99934e+06,8.22754e+06,1.13482e+07,,9.62366e+06,1.09179e+07,,1.13228e+07,9.03326e+06,1.0369e+07,9.25625e+06,8.34476e+06,9.93949e+06,9.93307e+06,1.02266e+07,1.22611e+07,9.24173e+06,9.39833e+06,,,1.21549e+07,,8.36562e+06,1.09699e+07,9.02796e+06,8.93133e+06,1.03864e+07,1.09233e+07,9.77941e+06,9.96943e+06,1.16106e+07,,9.74494e+06,9.34055e+06,9.32641e+06,,9.80234e+06,1.22104e+07,1.03105e+07,1.06575e+07,9.26366e+06,9.52735e+06,1.07301e+07,9.39154e+06,1.01943e+07,1.0507e+07,1.22515e+07,9.51052e+06,9.62408e+06,9.72968e+06,1.20676e+07,9.03304e+06,1.01575e+07,9.0723e+06,9.41516e+06,9.94601e+06,,,,9.10237e+06,1.03564e+07,7.64944e+06,1.13654e+07,9.76586e+06,,8.67448e+06,1.02845e+07,8.14489e+06,1.09271e+07,1.02412e+07,,1.01356e+07,,8.96529e+06,,1.10512e+07,,9.06676e+06,,8.91694e+06,1.10088e+07,9.81806e+06,,1.18704e+07,1.15077e+07,1.00956e+07,1.08769e+07,,8.59623e+06,,9.06337e+06,1.06239e+07,1.14499e+07,8.92435e+06,1.03357e+07,1.06569e+07,9.32484e+06,7.8307e+06,9.60673e+06,9.03003e+06,8.17923e+06,,9.00254e+06,9.32177e+06,1.29688e+07,1.01584e+07,9.61984e+06,,1.06124e+07,1.0152e+07,9.51642e+06,,1.01369e+07,,1.0165e+07,9.85448e+06,9.66824e+06,1.09219e+07,1.0885e+07,,,1.1934e+07,1.03018e+07,1.09041e+07,9.87423e+06,,8.82986e+06,,9.79716e+06,1.01076e+07,8.98357e+06,1.06015e+07,1.08077e+07,1.00497e+07,1.14545e+07,2.41859e+06
2,1019,9.98613e+06,1.14961e+06,2.42273e+06,1.29813e+07,9.11396e+06,8.49731e+06,1.12894e+07,,1.10489e+07,1.18393e+07,1.05588e+07,8.89567e+06,1.12437e+07,1.02257e+07,9.46879e+06,1.04961e+07,9.16198e+06,8.2426e+06,1.10406e+07,1.02353e+07,1.13635e+07,8.89607e+06,9.78867e+06,1.17449e+07,1.03015e+07,8.6543e+06,8.37664e+06,,1.00541e+07,8.85837e+06,1.05773e+07,1.01327e+07,,,1.0105e+07,9.36485e+06,9.53825e+06,,,,8.23632e+06,1.22474e+07,6.81437e+06,,1.10871e+07,,9.14074e+06,1.02126e+07,1.12624e+07,9.58246e+06,,,,,1.05466e+07,9.75167e+06,9.61473e+06,9.04991e+06,,,,8.92481e+06,1.06508e+07,,9.65879e+06,,1.0257e+07,8.84884e+06,1.16037e+07,9.60233e+06,,8.51363e+06,1.08982e+07,9.82731e+06,9.90558e+06,,9.4582e+06,,,1.00389e+07,1.09963e+07,,9.57105e+06,,1.24307e+07,9.66702e+06,1.10316e+07,,9.11554e+06,,1.01988e+07,1.03732e+07,9.12744e+06,8.15198e+06,8.95806e+06,9.87758e+06,1.02804e+07,9.31165e+06,1.08319e+07,9.24565e+06,,1.12591e+07,8.79831e+06,,9.07442e+06,9.79614e+06,1.07002e+07,1.02619e+07,1.00508e+07,9.85714e+06,,9.40973e+06,9.52096e+06,1.12364e+07,,9.68047e+06,,,1.13168e+07,,1.10345e+07,9.2627e+06,9.23481e+06,1.00163e+07,1.0126e+07,,9.87247e+06,9.59263e+06,1.20951e+07,1.02929e+07,1.00084e+07,1.01383e+07,9.71725e+06,9.39507e+06,1.08174e+07,1.05039e+07,1.11751e+07,9.81308e+06,1.15993e+07,8.27539e+06,9.60601e+06,1.02529e+07,,7.73832e+06,1.05505e+07,,,1.19119e+07,1.18255e+07,1.00771e+07,,8.81443e+06,9.62202e+06,9.61485e+06,1.01035e+07,9.69296e+06,9.61055e+06,,1.098e+07,,1.00003e+07,1.28819e+07,,,9.01372e+06,9.47111e+06,9.84381e+06,1.08031e+07,9.98625e+06,,1.1322e+07,,9.61768e+06,,,1.13142e+07,9.03014e+06,1.03656e+07,9.26843e+06,8.3571e+06,9.89727e+06,9.85463e+06,1.01999e+07,1.22823e+07,9.23685e+06,9.39377e+06,,,1.21327e+07,,8.32169e+06,1.09446e+07,8.99976e+06,8.94241e+06,1.0383e+07,1.09365e+07,9.77703e+06,9.96549e+06,1.15956e+07,,9.83192e+06,9.32547e+06,9.3259e+06,,9.80151e+06,1.22074e+07,1.03014e+07,1.05367e+07,9.23557e+06,9.55181e+06,1.06924e+07,,1.01905e+07,1.04954e+07,1.22624e+07,9.50869e+06,9.64401e+06,9.72494e+06,1.20574e+07,9.10441e+06,1.01464e+07,9.08297e+06,9.40306e+06,9.89654e+06,,,,9.27535e+06,1.03576e+07,7.6406e+06,1.13535e+07,9.74163e+06,,8.65535e+06,1.02783e+07,8.11587e+06,1.09262e+07,1.0201e+07,,1.00105e+07,,8.97188e+06,,1.10409e+07,,9.06017e+06,,8.93043e+06,1.09938e+07,9.80035e+06,,1.18826e+07,1.15043e+07,9.96334e+06,1.08738e+07,,8.59343e+06,,9.06858e+06,1.05593e+07,1.14519e+07,8.92326e+06,1.03278e+07,1.06227e+07,9.32152e+06,7.83469e+06,9.61919e+06,9.01493e+06,8.15893e+06,,9.18967e+06,9.3217e+06,1.29813e+07,1.01505e+07,9.49069e+06,,1.06047e+07,1.0141e+07,9.53211e+06,,1.01273e+07,,1.01645e+07,9.84791e+06,9.6617e+06,1.08999e+07,1.08681e+07,,,1.19291e+07,1.03508e+07,1.08774e+07,9.8944e+06,,8.82309e+06,,9.65224e+06,1.01136e+07,8.98283e+06,1.05937e+07,1.08096e+07,1.00586e+07,1.14577e+07,2.42273e+06
3,1408,9.9794e+06,1.16177e+06,2.42059e+06,1.29908e+07,9.1109e+06,8.4915e+06,,,1.09546e+07,1.18332e+07,1.05594e+07,8.88117e+06,1.12318e+07,1.02078e+07,9.46165e+06,1.04704e+07,9.14967e+06,8.23535e+06,1.10003e+07,1.02367e+07,1.13308e+07,8.87975e+06,9.77693e+06,1.17333e+07,1.02758e+07,8.6404e+06,8.37e+06,,1.00443e+07,8.82396e+06,1.05622e+07,1.02632e+07,,,1.01034e+07,9.34957e+06,9.53638e+06,,,,8.19982e+06,1.22402e+07,6.81845e+06,,1.1069e+07,,9.11868e+06,1.02104e+07,1.12618e+07,9.58207e+06,,,,,1.05749e+07,9.73229e+06,9.57895e+06,9.00987e+06,,,,8.82455e+06,1.06257e+07,,9.36442e+06,,1.02482e+07,,1.15958e+07,9.57759e+06,,8.50566e+06,1.08991e+07,9.82693e+06,9.90024e+06,,9.4693e+06,,,1.00336e+07,1.09669e+07,,9.56915e+06,,1.2422e+07,9.63786e+06,1.10317e+07,,9.08838e+06,,1.0191e+07,1.03679e+07,9.13367e+06,8.1475e+06,,9.88851e+06,1.02646e+07,9.41556e+06,1.08174e+07,9.22849e+06,,1.11367e+07,8.79508e+06,,9.11372e+06,9.81759e+06,1.06925e+07,1.02521e+07,1.00491e+07,9.75271e+06,,9.41134e+06,9.49846e+06,1.12224e+07,,9.68164e+06,,,,,1.10289e+07,9.23325e+06,9.2241e+06,9.99909e+06,1.01197e+07,,9.87053e+06,9.5948e+06,1.20809e+07,1.01551e+07,9.95293e+06,1.01739e+07,9.68648e+06,9.54758e+06,1.08075e+07,1.0493e+07,1.1121e+07,9.79855e+06,1.15906e+07,8.26177e+06,9.5824e+06,1.02326e+07,,7.73835e+06,1.05048e+07,,,1.18668e+07,1.15672e+07,1.00696e+07,,8.80911e+06,9.63174e+06,9.60961e+06,1.00999e+07,9.67222e+06,9.60113e+06,,1.09749e+07,,9.98674e+06,1.28866e+07,,,9.00142e+06,9.47306e+06,9.77849e+06,1.07561e+07,9.99254e+06,,1.1316e+07,,9.63028e+06,,,1.12808e+07,9.0206e+06,1.03639e+07,9.23504e+06,8.33194e+06,9.86268e+06,9.84212e+06,1.02132e+07,1.22826e+07,9.22581e+06,,,,1.21403e+07,,8.32433e+06,1.09453e+07,8.94867e+06,8.92235e+06,1.03725e+07,1.08984e+07,9.74996e+06,9.95389e+06,1.1593e+07,,9.69988e+06,9.30513e+06,9.31977e+06,,9.91876e+06,1.22036e+07,1.02937e+07,1.05077e+07,9.24822e+06,9.52064e+06,1.06956e+07,,1.0187e+07,1.04774e+07,1.22096e+07,9.44504e+06,,9.70009e+06,1.20406e+07,9.04019e+06,1.01119e+07,9.06312e+06,9.41054e+06,9.90106e+06,,,,9.07021e+06,1.03526e+07,7.6307e+06,1.15226e+07,9.76305e+06,,8.6241e+06,1.02763e+07,8.14272e+06,1.09209e+07,1.02105e+07,,,,,,1.10346e+07,,9.04688e+06,,8.88771e+06,1.09833e+07,9.76845e+06,,1.19382e+07,1.14956e+07,,1.0867e+07,,8.5792e+06,,9.03314e+06,1.05484e+07,1.1446e+07,8.90882e+06,1.03279e+07,1.06427e+07,9.3168e+06,7.82933e+06,9.61418e+06,9.01147e+06,8.13594e+06,,8.99914e+06,9.31287e+06,1.29908e+07,1.0126e+07,9.47734e+06,,1.05923e+07,1.0151e+07,9.53744e+06,,1.01366e+07,,1.01636e+07,9.82757e+06,,1.08875e+07,1.08692e+07,,,1.1926e+07,1.03024e+07,1.08518e+07,9.89711e+06,,8.81284e+06,,9.64178e+06,1.01081e+07,8.97509e+06,1.05904e+07,1.07879e+07,1.00432e+07,1.1448e+07,2.42059e+06
