parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f04_ds2_020,log,factor,3.69939,3.5,4.5,zb006,1.0,0.0,1
f04_ds1_025,log,factor,10.026,8.0,14.0,zb006,1.0,0.0,1
f04_ds1_030,log,factor,21.7152,16.0,24.0,zb006,1.0,0.0,1
f04_ds1_035,log,factor,30.7618,26.0,34.0,zb006,1.0,0.0,1
f04_ds1_040,log,factor,252.902,180.0,260.0,zb006,1.0,0.0,1
f04_ds1_045,log,factor,268.53,265.0,300.0,zb006,1.0,0.0,1
f04_ds1_050,log,factor,319.842,310.0,335.0,zb006,1.0,0.0,1
f04_ds1_055,log,factor,388.542,345.0,400.0,zb006,1.0,0.0,1
f05_ds2_010,log,factor,0.102852,0.1,2.1,zb006,1.0,-0.1,1
f05_ds2_015,log,factor,7.11386,3.0,11.0,zb006,1.0,0.0,1
f05_ds2_020,log,factor,18.9882,15.0,21.0,zb006,1.0,0.0,1
f05_ds1_025,log,factor,10.6294,8.0,12.0,zb006,1.0,0.0,1
f05_ds2_025,log,factor,23.505,22.5,24.5,zb006,1.0,0.0,1
f05_ds1_030,log,factor,20.3468,16.0,24.0,zb006,1.0,0.0,1
f05_ds2_030,log,factor,26.5289,25.0,27.5,zb006,1.0,0.0,1
f05_ds1_035,log,factor,31.5467,26.0,40.0,zb006,1.0,0.0,1
f05_ds2_035,log,factor,29.4873,28.0,30.5,zb006,1.0,0.0,1
f05_ds1_040,log,factor,70.7139,60.0,100.0,zb006,1.0,0.0,1
f05_ds2_040,log,factor,32.9648,31.0,33.0,zb006,1.0,0.0,1
f05_ds1_045,log,factor,109.288,105.0,120.0,zb006,1.0,0.0,1
f05_ds2_045,log,factor,34.8694,34.0,36.5,zb006,1.0,0.0,1
f05_ds1_050,log,factor,147.646,130.0,165.0,zb006,1.0,0.0,1
f05_ds2_050,log,factor,37.787,37.0,39.0,zb006,1.0,0.0,1
f05_ds1_055,log,factor,207.427,180.0,220.0,zb006,1.0,0.0,1
f05_ds2_055,log,factor,40.503,39.5,41.0,zb006,1.0,0.0,1
f05_ds1_060,log,factor,273.559,240.0,285.0,zb006,1.0,0.0,1
f05_ds2_060,log,factor,42.8725,42.0,43.0,zb006,1.0,0.0,1
f06_ds1_025,log,factor,9.48166,5.0,13.0,zb004,1.0,0.0,1
f06_ds1_030,log,factor,19.7,16.0,24.0,zb004,1.0,0.0,1
f06_ds1_035,log,factor,28.7879,25.0,55.0,zb004,1.0,0.0,1
f06_ds1_040,log,factor,157.374,130.0,179.0,zb004,1.0,0.0,1
f06_ds1_045,log,factor,195.576,180.0,210.0,zb004,1.0,0.0,1
f06_ds1_050,log,factor,239.856,220.0,260.0,zb004,1.0,0.0,1
f06_ds1_055,log,factor,302.335,280.0,320.0,zb004,1.0,0.0,1
f07_ds2_015,log,factor,0.610693,0.1,2.1,zb004,1.0,-0.1,1
f07_ds2_020,log,factor,6.23977,4.0,8.0,zb004,1.0,0.0,1
f07_ds1_025,log,factor,9.23243,5.0,11.0,zb004,1.0,0.0,1
f07_ds2_025,log,factor,8.80761,8.0,9.0,zb004,1.0,0.0,1
f07_ds1_030,log,factor,19.684,16.0,24.0,zb004,1.0,0.0,1
f07_ds2_030,log,factor,10.2122,9.5,10.5,zb004,1.0,0.0,1
f07_ds1_035,log,factor,29.8249,25.0,35.0,zb004,1.0,0.0,1
f07_ds2_035,log,factor,11.8929,10.6,12.0,zb004,1.0,0.0,1
f07_ds1_040,log,factor,59.4664,45.0,65.0,zb004,1.0,0.0,1
f07_ds1_045,log,factor,75.9973,68.0,85.0,zb004,1.0,0.0,1
f07_ds1_050,log,factor,103.907,90.0,110.0,zb004,1.0,0.0,1
f07_ds1_055,log,factor,131.754,120.0,150.0,zb004,1.0,0.0,1
f07_ds1_060,log,factor,169.527,160.0,200.0,zb004,1.0,0.0,1
f07_ds1_065,log,factor,233.459,210.0,250.0,zb004,1.0,0.0,1
f07_ds1_070,log,factor,293.351,270.0,315.0,zb004,1.0,0.0,1
f07_ds1_075,log,factor,366.512,340.0,380.0,zb004,1.0,0.0,1
f08_ds2_010,log,factor,0.138367,0.1,1.1,zb002,1.0,-0.1,1
f08_ds1_025,log,factor,15.8726,8.0,18.0,zb002,1.0,0.0,1
f08_ds1_030,log,factor,19.6324,19.0,24.0,zb002,1.0,0.0,1
f08_ds1_035,log,factor,39.0608,25.0,50.0,zb002,1.0,0.0,1
f08_ds1_040,log,factor,291.295,180.0,320.0,zb002,1.0,0.0,1
f08_ds1_045,log,factor,346.564,330.0,390.0,zb002,1.0,0.0,1
f08_ds1_050,log,factor,437.359,400.0,450.0,zb002,1.0,0.0,1
f08_ds1_055,log,factor,483.945,460.0,540.0,zb002,1.0,0.0,1
f08_ds1_060,log,factor,550.0,550.0,640.0,zb002,1.0,0.0,1
f09_ds1_025,log,factor,7.83264,6.0,14.0,zb002,1.0,0.0,1
f09_ds1_030,log,factor,21.6982,15.0,24.0,zb002,1.0,0.0,1
f09_ds1_035,log,factor,40.8308,25.0,150.0,zb002,1.0,0.0,1
f09_ds1_040,log,factor,848.737,400.0,850.0,zb002,1.0,0.0,1
f09_ds1_045,log,factor,885.95,860.0,940.0,zb002,1.0,0.0,1
f09_ds1_050,log,factor,970.577,950.0,1000.0,zb002,1.0,0.0,1
f09_ds1_055,log,factor,1049.38,1010.0,1080.0,zb002,1.0,0.0,1
f10_ds1_025,log,factor,0.867038,0.1,1.1,zb001,1.0,-0.1,1
f10_ds1_030,log,factor,1.70171,1.2,2.0,zb001,1.0,0.0,1
f10_ds1_035,log,factor,2.34498,2.2,4.0,zb001,1.0,0.0,1
f10_ds1_040,log,factor,8.55405,6.0,9.0,zb001,1.0,0.0,1
f10_ds1_045,log,factor,10.0716,9.5,10.5,zb001,1.0,0.0,1
f10_ds1_050,log,factor,11.9489,11.0,12.2,zb001,1.0,0.0,1
f10_ds1_055,log,factor,13.0732,13.0,13.8,zb001,1.0,0.0,1
f10_ds1_060,log,factor,14.3716,14.2,15.5,zb001,1.0,0.0,1
f10_ds1_065,log,factor,16.6967,16.0,17.0,zb001,1.0,0.0,1
f10_ds1_070,log,factor,18.4695,17.8,18.8,zb001,1.0,0.0,1
f10_ds1_075,log,factor,19.7899,19.0,20.2,zb001,1.0,0.0,1
f10_ds1_080,log,factor,21.1365,20.8,21.8,zb001,1.0,0.0,1
f10_ds1_085,log,factor,23.155,22.0,23.2,zb001,1.0,0.0,1
f20_ds2_010,log,factor,0.300478,0.1,0.5,zb006,1.0,-0.1,1
f20_ds2_015,log,factor,0.736657,0.5,0.8,zb006,1.0,0.0,1
f20_ds1_020,log,factor,1.11342,0.1,3.1,zb006,1.0,-0.1,1
f20_ds2_020,log,factor,1.0461,0.9,1.2,zb006,1.0,0.0,1
f20_ds1_025,log,factor,6.63311,4.0,10.0,zb006,1.0,0.0,1
f20_ds2_025,log,factor,3.08798,2.0,5.0,zb006,1.0,0.0,1
f20_ds1_030,log,factor,16.8529,16.0,24.0,zb006,1.0,0.0,1
f20_ds2_030,log,factor,9.92907,6.0,12.0,zb006,1.0,0.0,1
f20_ds1_035,log,factor,32.5495,26.0,34.0,zb006,1.0,0.0,1
f20_ds2_035,log,factor,15.9417,14.0,22.0,zb006,1.0,0.0,1
f20_ds1_040,log,factor,39.9423,36.0,44.0,zb006,1.0,0.0,1
f20_ds2_040,log,factor,25.0318,23.0,26.0,zb006,1.0,0.0,1
f20_ds1_045,log,factor,49.3985,46.0,54.0,zb006,1.0,0.0,1
f20_ds2_045,log,factor,30.2043,27.0,31.0,zb006,1.0,0.0,1
f20_ds1_050,log,factor,56.0,56.0,80.0,zb006,1.0,0.0,1
f20_ds1_055,log,factor,96.2946,90.0,112.0,zb006,1.0,0.0,1
f20_ds1_060,log,factor,148.78,120.0,180.0,zb006,1.0,0.0,1
f20_ds1_065,log,factor,209.485,200.0,220.0,zb006,1.0,0.0,1
f20_ds1_070,log,factor,283.401,240.0,310.0,zb006,1.0,0.0,1
f20_ds1_075,log,factor,352.106,320.0,385.0,zb006,1.0,0.0,1
f20_ds1_080,log,factor,442.155,420.0,460.0,zb006,1.0,0.0,1
f20_ds1_085,log,factor,525.1,500.0,560.0,zb006,1.0,0.0,1
f21_ds2_015,log,factor,13.6093,7.0,18.0,zb006,1.0,0.0,1
f21_ds2_020,log,factor,20.6557,19.0,25.0,zb006,1.0,0.0,1
f21_ds1_025,log,factor,5.08667,2.0,8.0,zb006,1.0,0.0,1
f21_ds2_025,log,factor,36.0179,28.0,38.0,zb006,1.0,0.0,1
f21_ds1_030,log,factor,20.8191,15.0,24.0,zb006,1.0,0.0,1
f21_ds2_030,log,factor,44.9089,40.0,50.0,zb006,1.0,0.0,1
f21_ds1_035,log,factor,29.0164,26.0,30.5,zb006,1.0,0.0,1
f21_ds2_035,log,factor,55.0876,51.0,61.0,zb006,1.0,0.0,1
f21_ds1_040,log,factor,30.8227,30.6,31.3,zb006,1.0,0.0,1
f21_ds2_040,log,factor,68.17,65.0,70.0,zb006,1.0,0.0,1
f21_ds1_045,log,factor,31.91,31.8,32.3,zb006,1.0,0.0,1
f21_ds2_045,log,factor,78.0713,75.0,80.0,zb006,1.0,0.0,1
f21_ds1_050,log,factor,32.9687,32.8,33.3,zb006,1.0,0.0,1
f21_ds2_050,log,factor,87.3364,85.0,90.0,zb006,1.0,0.0,1
f21_ds1_055,log,factor,34.4023,33.8,36.0,zb006,1.0,0.0,1
f21_ds2_055,log,factor,96.7838,95.0,100.0,zb006,1.0,0.0,1
f21_ds1_060,log,factor,39.4389,38.0,42.0,zb006,1.0,0.0,1
f21_ds2_060,log,factor,107.663,105.0,110.0,zb006,1.0,0.0,1
f21_ds1_065,log,factor,45.0516,43.0,49.0,zb006,1.0,0.0,1
f21_ds2_065,log,factor,117.38,112.0,118.0,zb006,1.0,0.0,1
f21_ds1_070,log,factor,55.7364,52.0,56.0,zb006,1.0,0.0,1
f21_ds2_070,log,factor,123.841,120.0,125.0,zb006,1.0,0.0,1
f21_ds1_075,log,factor,60.2324,58.0,64.0,zb006,1.0,0.0,1
f21_ds2_075,log,factor,131.338,130.0,134.0,zb006,1.0,0.0,1
f21_ds1_080,log,factor,69.9567,66.0,74.0,zb006,1.0,0.0,1
f21_ds2_080,log,factor,139.786,135.0,141.0,zb006,1.0,0.0,1
f21_ds1_085,log,factor,77.7986,76.0,84.0,zb006,1.0,0.0,1
f21_ds2_085,log,factor,147.668,142.0,148.0,zb006,1.0,0.0,1
f21_ds1_090,log,factor,91.2094,86.0,94.0,zb006,1.0,0.0,1
f21_ds2_090,log,factor,153.453,150.0,155.0,zb006,1.0,0.0,1
f21_ds1_095,log,factor,99.0535,96.0,104.0,zb006,1.0,0.0,1
f21_ds2_095,log,factor,158.891,156.0,161.0,zb006,1.0,0.0,1
f21_ds1_100,log,factor,109.045,106.0,114.0,zb006,1.0,0.0,1
f21_ds2_100,log,factor,164.732,163.0,169.0,zb006,1.0,0.0,1
f21_ds1_105,log,factor,118.447,116.0,124.0,zb006,1.0,0.0,1
f21_ds2_105,log,factor,171.31,170.0,173.0,zb006,1.0,0.0,1
f21_ds1_110,log,factor,148.645,130.0,150.0,zb006,1.0,0.0,1
f21_ds2_110,log,factor,176.223,174.0,178.0,zb006,1.0,0.0,1
f21_ds1_115,log,factor,167.652,160.0,200.0,zb006,1.0,0.0,1
f21_ds2_115,log,factor,181.733,180.0,183.0,zb006,1.0,0.0,1
f21_ds2_120,log,factor,186.599,185.0,189.0,zb006,1.0,0.0,1
f21_ds2_125,log,factor,191.554,190.0,193.0,zb006,1.0,0.0,1
f30_ds1_195,log,factor,4.5162,2.0,7.0,zb002,1.0,0.0,1
f30_ds1_200,log,factor,18.0172,15.0,30.0,zb002,1.0,0.0,1
f30_ds1_205,log,factor,55.1124,40.0,60.0,zb002,1.0,0.0,1
f30_ds1_210,log,factor,84.1644,70.0,100.0,zb002,1.0,0.0,1
f30_ds1_215,log,factor,136.488,120.0,150.0,zb002,1.0,0.0,1
f30_ds1_220,log,factor,185.011,170.0,240.0,zb002,1.0,0.0,1
f30_ds1_225,log,factor,296.659,270.0,380.0,zb002,1.0,0.0,1
f30_ds1_230,log,factor,600.0,400.0,600.0,zb002,1.0,0.0,1
f30_ds1_235,log,factor,781.624,750.0,850.0,zb002,1.0,0.0,1
f31_ds2_015,log,factor,10.4867,5.0,18.0,zb001,1.0,0.0,1
f31_ds1_020,log,factor,0.924416,0.5,3.0,zb001,1.0,0.0,1
f31_ds2_020,log,factor,20.333,19.0,22.0,zb001,1.0,0.0,1
f31_ds1_025,log,factor,8.97697,8.0,13.0,zb001,1.0,0.0,1
f31_ds2_025,log,factor,23.301,22.5,23.5,zb001,1.0,0.0,1
f31_ds1_030,log,factor,20.8407,16.0,24.0,zb001,1.0,0.0,1
f31_ds1_035,log,factor,46.3254,26.0,140.0,zb001,1.0,0.0,1
f31_ds1_040,log,factor,230.771,200.0,240.0,zb001,1.0,0.0,1
