parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f03_ds1_050,log,factor,39.6026,38.0,42.0,zb006,1.0,0.0,1
f03_ds2_050,log,factor,247.387,240.0,255.0,zb006,1.0,0.0,1
f03_ds1_055,log,factor,44.2184,43.0,49.0,zb006,1.0,0.0,1
f03_ds2_055,log,factor,270.682,260.0,280.0,zb006,1.0,0.0,1
f03_ds1_060,log,factor,55.9014,50.0,60.0,zb006,1.0,0.0,1
f03_ds2_060,log,factor,294.832,285.0,301.0,zb006,1.0,0.0,1
f03_ds1_065,log,factor,66.4097,61.0,70.0,zb006,1.0,0.0,1
f03_ds2_065,log,factor,319.068,305.0,325.0,zb006,1.0,0.0,1
f03_ds1_070,log,factor,81.4338,72.0,90.0,zb006,1.0,0.0,1
f03_ds2_070,log,factor,333.666,330.0,340.0,zb006,1.0,0.0,1
f03_ds1_075,log,factor,123.911,110.0,140.0,zb006,1.0,0.0,1
f03_ds2_075,log,factor,358.783,350.0,360.0,zb006,1.0,0.0,1
f03_ds1_080,log,factor,181.456,150.0,200.0,zb006,1.0,0.0,1
f03_ds2_080,log,factor,374.506,370.0,380.0,zb006,1.0,0.0,1
f03_ds1_085,log,factor,263.317,225.0,275.0,zb006,1.0,0.0,1
f03_ds2_085,log,factor,396.033,390.0,400.0,zb006,1.0,0.0,1
f03_ds1_090,log,factor,316.319,300.0,350.0,zb006,1.0,0.0,1
f03_ds2_090,log,factor,419.958,405.0,425.0,zb006,1.0,0.0,1
f04_ds2_015,log,factor,1.86704,1.0,3.0,zb006,1.0,0.0,1
f04_ds2_020,log,factor,3.76137,3.5,4.5,zb006,1.0,0.0,1
f04_ds1_025,log,factor,12.3183,8.0,14.0,zb006,1.0,0.0,1
f04_ds1_030,log,factor,21.8637,16.0,24.0,zb006,1.0,0.0,1
f04_ds1_035,log,factor,29.9206,26.0,34.0,zb006,1.0,0.0,1
f04_ds1_040,log,factor,237.0,180.0,260.0,zb006,1.0,0.0,1
f04_ds1_045,log,factor,270.342,265.0,300.0,zb006,1.0,0.0,1
f04_ds1_050,log,factor,315.008,310.0,335.0,zb006,1.0,0.0,1
f04_ds1_055,log,factor,374.848,345.0,400.0,zb006,1.0,0.0,1
f05_ds2_010,log,factor,0.173967,0.1,2.1,zb006,1.0,-0.1,1
f05_ds2_015,log,factor,11.0,3.0,11.0,zb006,1.0,0.0,1
f05_ds2_020,log,factor,20.6729,15.0,21.0,zb006,1.0,0.0,1
f05_ds1_025,log,factor,10.5455,8.0,12.0,zb006,1.0,0.0,1
f05_ds2_025,log,factor,23.2892,22.5,24.5,zb006,1.0,0.0,1
f05_ds1_030,log,factor,19.7944,16.0,24.0,zb006,1.0,0.0,1
f05_ds2_030,log,factor,27.0583,25.0,27.5,zb006,1.0,0.0,1
f05_ds1_035,log,factor,26.5589,26.0,40.0,zb006,1.0,0.0,1
f05_ds2_035,log,factor,30.1319,28.0,30.5,zb006,1.0,0.0,1
f05_ds1_040,log,factor,73.6031,60.0,100.0,zb006,1.0,0.0,1
f05_ds2_040,log,factor,32.7488,31.0,33.0,zb006,1.0,0.0,1
f05_ds1_045,log,factor,108.523,105.0,120.0,zb006,1.0,0.0,1
f05_ds2_045,log,factor,35.9869,34.0,36.5,zb006,1.0,0.0,1
f05_ds1_050,log,factor,132.207,130.0,165.0,zb006,1.0,0.0,1
f05_ds2_050,log,factor,37.8227,37.0,39.0,zb006,1.0,0.0,1
f05_ds1_055,log,factor,195.021,180.0,220.0,zb006,1.0,0.0,1
f05_ds2_055,log,factor,41.0,39.5,41.0,zb006,1.0,0.0,1
f05_ds1_060,log,factor,263.291,240.0,285.0,zb006,1.0,0.0,1
f05_ds2_060,log,factor,42.5949,42.0,43.0,zb006,1.0,0.0,1
f06_ds1_025,log,factor,9.24978,5.0,13.0,zb004,1.0,0.0,1
f06_ds1_030,log,factor,20.4431,16.0,24.0,zb004,1.0,0.0,1
f06_ds1_035,log,factor,31.7884,25.0,55.0,zb004,1.0,0.0,1
f06_ds1_040,log,factor,160.882,130.0,179.0,zb004,1.0,0.0,1
f06_ds1_045,log,factor,191.319,180.0,210.0,zb004,1.0,0.0,1
f06_ds1_050,log,factor,242.323,220.0,260.0,zb004,1.0,0.0,1
f06_ds1_055,log,factor,291.143,280.0,320.0,zb004,1.0,0.0,1
f07_ds2_015,log,factor,1.43069,0.1,2.1,zb004,1.0,-0.1,1
f07_ds2_020,log,factor,6.30896,4.0,8.0,zb004,1.0,0.0,1
f07_ds1_025,log,factor,8.53381,5.0,11.0,zb004,1.0,0.0,1
f07_ds2_025,log,factor,8.42959,8.0,9.0,zb004,1.0,0.0,1
f07_ds1_030,log,factor,19.7581,16.0,24.0,zb004,1.0,0.0,1
f07_ds2_030,log,factor,10.0414,9.5,10.5,zb004,1.0,0.0,1
f07_ds1_035,log,factor,29.8037,25.0,35.0,zb004,1.0,0.0,1
f07_ds2_035,log,factor,11.5146,10.6,12.0,zb004,1.0,0.0,1
f07_ds1_040,log,factor,58.5466,45.0,65.0,zb004,1.0,0.0,1
f07_ds1_045,log,factor,77.9364,68.0,85.0,zb004,1.0,0.0,1
f07_ds1_050,log,factor,104.116,90.0,110.0,zb004,1.0,0.0,1
f07_ds1_055,log,factor,133.262,120.0,150.0,zb004,1.0,0.0,1
f07_ds1_060,log,factor,170.479,160.0,200.0,zb004,1.0,0.0,1
