name,value,group,weight
wo_bp_0001_20190301,395.646,oobs,0
wo_bp_0001_20190401,395.111,oobs,0
wo_bp_0001_20190501,395.396,oobs,0
wo_bp_0001_20190601,396.034,oobs,0
wo_bp_0001_20190701,395.825,oobs,0
wo_bp_0001_20190801,395.218,oobs,0
wo_bp_0001_20190901,394.646,oobs,0
wo_bp_0001_20191001,394.206,oobs,0
wo_bp_0001_20191101,393.846,oobs,0
wo_bp_0001_20191201,393.535,oobs,0
wo_bp_0001_20200101,393.255,oobs,0
wo_bp_0001_20200201,393.064,oobs,0
wo_bp_0001_20200301,393.379,oobs,0
wo_bp_0001_20200401,393.862,oobs,0
wo_bp_0001_20200501,394.099,oobs,0
wo_bp_0001_20200601,395.067,oobs,0
wo_bp_0001_20200701,395.253,oobs,0
wo_bp_0001_20200801,394.536,oobs,0
wo_bp_0001_20200901,394.063,oobs,0
wo_bp_0001_20201001,394.202,oobs,0
wo_bp_0001_20201101,393.714,oobs,0
wo_bp_0001_20201201,393.25,oobs,0
wo_bp_0001_20210101,392.876,oobs,0
wo_bp_0001_20210201,392.576,oobs,0
wo_bp_0001_20210301,392.327,oobs,0
wo_bp_0001_20210401,392.076,oobs,0
wo_bp_0001_20210501,391.907,oobs,0
wo_bp_0001_20210601,393.089,oobs,0
wo_bp_0001_20210701,394.545,oobs,0
wo_bp_0001_20210801,394.884,oobs,0
wo_bp_0001_20210901,394.224,oobs,0
wo_bp_0001_20211001,393.49,oobs,0
wo_bp_0001_20211101,393.206,oobs,0
wo_bp_0001_20211201,393.046,oobs,0
wp_bp_0011_20150113,405.552,burnin,0
wp_bp_0011_20150218,410.581,burnin,0
wp_bp_0011_20150318,410.63,burnin,0
wp_bp_0011_20150415,410.688,burnin,0
wp_bp_0011_20150524,416.022,burnin,0
wp_bp_0011_20150610,417.246,burnin,0
wp_bp_0011_20150712,414.078,burnin,0
wp_bp_0011_20150819,411.488,burnin,0
wp_bp_0011_20150915,411.053,burnin,0
wp_bp_0011_20151014,410.634,burnin,0
wp_bp_0011_20151118,411.891,burnin,0
wp_bp_0011_20151215,412.696,burnin,0
wp_bp_0011_20160118,411.876,burnin,0
wp_bp_0011_20160216,411.495,burnin,0
wp_bp_0011_20160323,411.541,burnin,0
wp_bp_0011_20160422,412.044,burnin,0
wp_bp_0011_20160517,411.858,burnin,0
wp_bp_0011_20160614,416.784,burnin,0
wp_bp_0011_20160418,406.213,burnin,0
wp_bp_0011_20160721,412.833,zb007,0.5
wp_bp_0011_20160817,411.541,zb007,0.5
wp_bp_0011_20160912,411.175,zb007,0.5
wp_bp_0011_20161026,410.642,zb007,0.5
wp_bp_0011_20161123,410.566,zb007,0.5
wp_bp_0011_20161222,410.581,zb007,0.5
wp_bp_0011_20170110,410.55,zb007,0.5
wp_bp_0011_20170208,410.566,zb007,0.5
wp_bp_0011_20170317,410.87,zb007,0.5
wp_bp_0011_20170419,411.419,zb007,0.5
wp_bp_0011_20170512,411.114,zb007,0.5
wp_bp_0011_20170613,410.794,zb007,0.5
wp_bp_0011_20170711,410.593,zb007,0.5
wp_bp_0011_20170816,413.461,zb007,0.5
wp_bp_0011_20170915,410.514,zb007,0.5
wp_bp_0011_20171017,413.37,zb007,0.5
wp_bp_0011_20171114,413.37,zb007,0.5
wp_bp_0011_20171218,413.614,zb007,0.5
wp_bp_0011_20180112,407.304,zb007,0.5
wp_bp_0011_20180216,406.497,zb007,0.5
wp_bp_0011_20180313,406.146,zb007,0.5
wp_bp_0011_20180515,406.32,zb007,0.5
wp_bp_0011_20180618,405.847,zb007,0.5
wp_bp_0011_20180720,405.323,zb007,0.5
wp_bp_0011_20180820,405.018,zb007,0.5
wp_bp_0011_20181014,411.001,zb007,0.5
wp_bp_0011_20181109,410.931,zb007,0.5
wp_bp_0011_20181221,410.657,zb007,0.5
wp_bp_0011_20190221,411.678,zb007,0.5
wp_bp_0011_20190319,411.358,zb007,0.5
wp_bp_0011_20190409,411.206,zb007,0.5
wp_bp_0011_20190506,412.919,zb007,0.5
wp_bp_0011_20190606,411.992,zb007,0.5
wp_bp_0011_20190711,411.382,zb007,0.5
wp_bp_0011_20190808,410.992,zb007,0.5
wp_bp_0011_20190911,410.587,zb007,0.5
wp_bp_0011_20191015,410.535,zb007,0.5
wp_bp_0011_20191120,410.441,zb007,0.5
wp_bp_0011_20191218,408.121,zb007,0.5
wp_bp_0011_20200114,407.6,valid,0
wp_bp_0011_20200219,407.274,valid,0
wp_bp_0011_20200317,407.664,valid,0
wp_bp_0011_20200429,410.398,valid,0
wp_bp_0011_20200520,410.913,valid,0
wp_bp_0011_20200622,411.126,valid,0
wp_bp_0011_20200709,410.883,valid,0
wp_bp_0011_20200811,410.559,valid,0
wp_bp_0011_20200924,410.526,valid,0
wp_bp_0011_20201020,409.16,valid,0
wp_bp_0011_20201124,407.454,valid,0
wp_bp_0011_20210118,406.579,valid,0
wp_bp_0011_20210225,406.222,valid,0
wp_bp_0011_20210324,406.375,valid,0
