 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
34677      590273.500    3347277.500    5.728000        3.762700        3.469645        0.350000        16.173900       4.084688        9.351480        0.198247        17.635075       2.804490        5.466453        0.350000        0.751495        0.016211        0.008000        0.009141     
48643      593667.625    3346429.000    6.094260        1.000057        1.863050        0.350000        1.000000        5.766980        7.643130        0.350000        14.153500       3.893480        5.509598        0.350000        0.851964        0.039072        0.008779        0.007437     
48663      596213.188    3348762.250    3.957360        1.362332        19.494225       0.350000        5.883750        11.268550       9.369760        0.197659        25.202100       11.659600       4.417192        0.350000        0.881233        0.089647        0.019261        0.042684     
59898      595152.562    3341549.750    6.593280        2.426857        1.387328        0.350000        6.467777        1.062545        13.741000       0.350000        2.842280        17.595800       12.570700       0.350000        0.978154        0.044321        0.041626        0.039905     
1650       571605.875    3350883.750    10.068600       2.652935        3.451427        0.197813        1.050495        3.143450        11.214500       0.350000        12.820675       4.530307        9.015770        0.236636        0.440188        0.034567        0.043977        0.011565     
2628       567787.500    3343247.000    11.344900       1.849062        1.110972        0.350000        3.132450        8.405500        1.237357        0.350000        26.576225       3.639720        2.191640        0.161039        0.752746        0.043084        0.020568        0.020157     
6424       582636.750    3353429.250    5.939160        2.276190        1.454232        0.139633        5.445363        8.902517        8.494733        0.350000        19.049200       2.632970        1.000430        0.313528        1.075600        0.034692        0.008000        0.007200     
6427       585182.312    3355974.750    16.211300       1.999755        2.285820        0.350000        3.832752        2.453320        19.027800       0.173599        8.824995        2.361625        8.594955        0.350000        1.411958        0.086510        0.008000        0.007200     
8137       568211.750    3336670.750    16.034400       3.281800        17.351500       0.350000        5.027943        5.919540        1.620475        0.350000        8.526595        3.034187        7.486785        0.252144        3.213070        0.234131        0.020508        0.020294     
10866      566939.000    3334231.250    10.580175       1.171455        2.583570        0.350000        24.619101       1.054400        12.578043       0.350000        7.083880        4.039370        4.656650        0.350000        1.050154        0.158981        0.029941        0.025706     
11190      580515.438    3348338.000    14.809025       2.055355        12.880424       0.350000        3.123170        16.139027       4.751780        0.350000        5.260495        4.561670        10.246075       0.218909        0.107910        0.175243        0.008190        0.033675     
14556      574681.812    3340701.250    8.108727        0.813876        5.393407        0.350000        23.429798       3.983330        9.252190        0.350000        33.671800       1.227407        2.729410        0.172361        0.716576        0.214763        0.014569        0.027760     
14695      580091.188    3346216.750    6.667730        1.000067        4.378780        0.350000        17.899500       4.422378        6.653273        0.350000        2.371930        1.186797        1.926592        0.194849        2.032167        0.068174        0.027325        0.007310     
18059      575954.625    3340701.250    5.284907        3.040995        0.859430        0.350000        28.141523       2.112927        6.196530        0.350000        28.446500       12.619925       6.309590        0.350000        0.747691        0.381016        0.008000        0.029211     
18324      584333.812    3348762.250    11.307262       3.353730        5.418560        0.350000        3.194215        3.614530        3.958070        0.350000        11.556600       3.827260        4.662823        0.350000        0.545239        0.725031        0.029004        0.016019     
18345      588576.438    3352156.500    8.968090        4.131927        0.878306        0.214276        6.426970        5.472890        2.943185        0.350000        5.088677        3.330290        13.686600       0.350000        1.011338        0.166605        0.010889        0.007205     
21734      578606.250    3340171.000    4.003360        1.247267        8.099375        0.350000        15.837950       1.000000        2.609695        0.379814        23.924524       5.622212        5.731005        0.350000        0.234737        0.046690        0.035720        0.007206     
23859      569484.562    3329458.250    17.819500       3.410957        6.366853        0.350000        14.715125       9.630080        4.894005        0.350000        10.631500       4.741062        4.032552        0.350000        1.070562        0.027488        0.039317        0.012479     
24086      574151.500    3335292.000    11.840700       2.997370        0.678278        0.350000        17.053200       2.345650        11.315875       0.350000        21.380300       2.559857        12.806400       0.350000        0.661245        0.048580        0.008071        0.009086     
28770      578606.250    3336777.000    5.584275        3.066430        5.337957        0.350000        6.003670        8.763247        2.133230        0.350000        19.476200       4.058830        3.978125        0.350000        0.414453        0.080407        0.008000        0.025818     
29747      583909.562    3343034.750    12.279650       1.749820        3.889058        0.350000        6.206850        4.243230        1.717978        0.350000        5.415255        4.761155        9.864145        0.350000        0.715142        0.039741        0.019495        0.007284     
34198      583008.000    3339534.500    5.744600        2.833190        13.345475       0.350000        5.914680        5.004282        2.792017        0.233450        2.216550        2.431380        14.070300       0.350000        0.722000        0.095137        0.022273        0.024946     
37054      574045.438    3329882.500    3.955335        3.302140        2.725430        0.185596        2.254205        10.215000       23.360075       0.350000        4.761040        4.883550        9.413851        0.325540        0.739257        0.036303        0.009103        0.032267     
38941      585712.688    3340648.250    4.249340        2.765413        3.573260        0.350000        3.427640        1.335900        5.718950        0.350000        10.091195       4.493968        14.104975       0.242439        0.842439        0.070672        0.008000        0.031633     
43166      584758.062    3338049.750    1.860705        1.594560        5.158242        0.350000        5.051747        2.421890        3.476283        0.350000        9.281830        2.440005        4.319498        0.257804        0.376806        0.161995        0.008000        0.014145     
43992      592182.688    3346641.000    7.551180        2.500530        4.324502        0.273356        18.356701       7.782110        2.961052        0.350000        10.821500       2.168570        11.775800       0.350000        0.477254        0.068602        0.008010        0.016301     
45739      576803.125    3329246.250    6.399793        3.356160        1.639127        0.217462        40.195300       3.904993        5.091218        0.350000        19.832300       4.181357        5.590423        0.350000        1.281375        0.065528        0.008653        0.013149     
50965      583167.062    3333488.750    6.225940        5.031330        3.093382        0.350000        16.342000       4.692775        43.257400       0.350000        8.614430        2.037868        9.524545        0.350000        0.388521        0.082534        0.014148        0.010497     
51628      586136.938    3336936.000    9.302200        2.748765        12.923600       0.350000        12.057200       2.469817        13.616423       0.191788        17.466400       3.740650        6.057120        0.200942        0.499799        0.174747        0.008000        0.007214     
51857      586879.375    3337996.750    1.773202        3.235580        1.143975        0.138665        14.671375       4.344300        7.736292        0.350000        6.233770        3.061987        6.311590        0.246671        1.216370        0.164769        0.023395        0.119891     
54365      579985.125    3329246.250    12.795500       2.827665        3.454602        0.191706        31.277400       3.642107        12.309000       0.350000        5.942885        20.798500       2.001945        0.350000        0.268000        0.025045        0.010962        0.007218     
55651      587993.062    3336140.500    6.043473        2.839840        1.377990        0.203755        12.426600       3.697060        8.912070        0.281727        7.367075        4.573320        6.168425        0.302584        0.322768        0.198884        0.014824        0.007252     
56037      589212.875    3338102.750    10.965000       1.056692        1.290145        0.181165        18.808700       6.410608        6.948330        0.350000        14.547900       3.237130        16.582399       0.350000        1.129340        0.132516        0.008000        0.009609     
56264      590061.375    3338474.000    2.716997        7.108910        5.094977        0.350000        3.875455        2.031080        2.410413        0.350000        4.936955        1.636110        5.474845        0.236751        0.647530        0.362541        0.009094        0.007209     
58582      586243.000    3332958.500    6.083400        2.115868        4.880260        0.232567        11.418800       2.508427        9.979670        0.350000        29.773300       7.134250        2.045870        0.246763        0.902179        0.085902        0.009277        0.007629     
58907      587356.688    3335186.000    6.379548        2.436275        3.622057        0.350000        5.120537        4.328560        2.437130        0.194773        35.285300       7.025395        14.628900       0.309660        0.539201        0.019075        0.009958        0.007208     
59770      591334.188    3339110.250    6.987945        1.473970        2.496648        0.350000        9.576720        3.329638        5.061415        0.350000        9.693117        8.466017        8.200293        0.350000        0.938435        0.066665        0.025542        0.017209     
59905      595364.688    3342610.500    11.611500       1.627628        1.465130        0.162372        4.926208        0.938972        5.479510        0.350000        6.966280        7.416375        9.574510        0.339963        0.716865        0.082078        0.008220        0.007221     
62032      584970.188    3330837.250    4.575472        0.800396        2.883995        0.350000        5.835002        6.864400        1.576337        0.350000        10.397900       4.053845        4.423580        0.281040        0.414921        0.079141        0.008559        0.007213     
74066      603425.688    3344095.500    8.488855        1.695080        1.981947        0.350000        7.801510        1.868882        8.474665        0.211358        19.062075       2.228353        10.508573       0.217639        1.188640        0.051700        0.028338        0.062617     
77022      595046.500    3333435.750    3.360430        2.705590        3.317173        0.350000        7.937250        4.032487        5.322058        0.350000        23.525801       7.152358        5.986867        0.350000        0.461554        0.071433        0.036096        0.007200     
77270      597910.250    3336670.750    5.431937        2.184503        4.183920        0.350000        7.247512        7.383490        12.645975       0.270046        14.681375       6.552855        8.549290        0.350000        0.759037        0.207825        0.049036        0.020221     
77301      600880.125    3339852.750    4.333250        3.357980        2.321500        0.350000        4.283390        5.373463        3.864453        0.350000        20.619526       1.092535        2.181617        0.350000        0.182112        0.040816        0.008000        0.007663     
79692      593773.688    3330731.250    6.202922        2.269948        4.989590        0.350000        19.378149       6.824770        2.738030        0.350000        49.991100       7.609150        29.582600       0.350000        0.114401        0.065753        0.009215        0.011625     
80237      596266.250    3332534.250    12.172100       1.505095        4.325208        0.350000        20.075000       2.195240        4.827870        0.350000        37.829224       3.171818        21.133051       0.350000        0.758450        0.037891        0.054852        0.029430     
80410      599183.062    3335822.250    16.313875       3.068320        1.423500        0.175806        18.739050       2.937220        8.964460        0.350000        11.978400       3.327600        7.340010        0.350000        1.437068        0.043649        0.015266        0.007200     
