 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
406        522391.250    3316942.500    4.337395        6.061162        2.652277        0.350000        5.794548        6.884720        14.992300       0.350000        3.867260        30.050800       1.916220        0.385705        1.102238        0.012551     
714        528330.938    3316094.000    8.729088        4.107752        2.152030        0.350000        14.517700       7.520140        3.493270        0.350000        5.325160        9.258260        14.247775       0.253332        1.183038        0.007200     
1396       536816.250    3316094.000    6.022638        5.187815        5.579097        0.350000        3.448290        3.155140        15.894475       0.350000        15.414775       20.538100       10.655100       0.276299        0.545533        0.040934     
2689       543604.438    3318215.250    4.970020        4.088970        2.217050        0.350000        3.212255        11.555300       6.047442        0.350000        6.072055        1.253057        6.864600        0.221583        2.671177        0.007211     
2772       551029.062    3325427.750    2.477425        5.024615        0.824564        0.350000        27.750599       2.823877        4.767873        0.177860        4.164483        1.284557        6.366670        0.350000        0.375474        0.009550     
2836       553574.688    3328079.500    4.594122        2.383760        3.231360        0.350000        5.887580        7.013300        41.444600       0.194303        12.981150       3.452807        8.259630        0.350000        0.370512        0.019195     
6454       546574.312    3315245.500    4.024168        2.728280        4.909280        0.350000        7.288700        6.893250        13.629200       0.253751        5.474565        3.301958        3.098110        0.350000        0.618883        0.007200     
6976       556438.438    3325056.500    2.830242        3.475930        2.094020        0.350000        5.472250        8.100080        7.459370        0.350000        5.482365        30.531600       9.624465        0.350000        0.956037        0.017732     
8274       542755.938    3310154.250    3.152410        3.295645        2.532170        0.350000        14.916900       8.788990        1.949015        0.350000        9.628252        5.539070        2.400335        0.350000        0.894231        0.009648     
9739       560203.812    3328185.500    5.935213        1.822685        5.564630        0.350000        1.044977        4.840695        6.489830        0.350000        12.288400       4.249943        3.892880        0.350000        0.321732        0.008444     
11456      554635.312    3319806.250    6.626782        7.042365        5.529653        0.350000        4.043502        2.201210        14.876275       0.350000        10.359650       3.561080        16.183151       0.350000        1.698220        0.012632     
12026      557711.250    3323253.500    2.820747        4.143173        1.215950        0.147246        16.308800       6.476930        13.394650       0.350000        3.709743        8.720055        5.266737        0.229200        1.300867        0.013789     
18540      556332.375    3319170.000    3.556310        3.824125        1.011420        0.350000        6.555122        12.195251       4.580710        0.271422        6.540028        5.612165        14.138624       0.350000        2.883198        0.013440     
18692      557233.938    3319170.000    2.165203        5.273360        8.108465        0.210254        6.891020        7.254962        23.195049       0.350000        5.345185        3.676080        4.058525        0.350000        1.113793        0.012954     
29908      556756.625    3314609.000    6.539073        5.145060        2.423035        0.350000        5.979412        7.768823        4.200693        0.326432        11.666550       17.409800       5.697425        0.350000        0.566206        0.007937     
48682      554635.312    3305063.250    6.673607        1.672055        3.979253        0.350000        3.767440        6.913420        7.158935        0.350000        8.251535        4.686860        8.482552        0.350000        1.506120        0.013618     
51         518997.156    3332216.000    1.890600        4.707920        5.972727        0.350000        2.241195        12.646800       2.830203        0.350000        4.742710        9.161688        15.132300       0.208094        0.404962        0.007200     
76         526633.875    3338155.750    4.962580        3.511050        1.539945        0.350000        3.401362        5.895217        6.071790        0.224139        7.844627        9.081490        10.397600       0.350000        0.678382        0.009000     
198        527482.438    3330519.000    2.765500        7.720140        2.349395        0.350000        2.096085        2.717332        6.969930        0.350000        4.593655        5.682710        3.419800        0.350000        0.109137        0.008980     
271        524936.812    3324579.250    5.015343        2.801152        6.522253        0.350000        12.966400       14.180625       3.358960        0.350000        8.497140        20.301975       6.359760        0.350000        3.947047        0.007511     
332        541907.375    3339852.750    6.729800        6.623048        7.400510        0.350000        4.368245        4.691840        5.011120        0.350000        7.938993        4.333317        14.941975       0.350000        1.450630        0.067409     
391        547847.125    3344095.500    4.219140        9.512710        5.692167        0.252766        23.679100       6.099345        6.534750        0.350000        9.146652        4.305520        19.056925       0.350000        0.691515        0.031541     
538        558877.938    3351732.250    3.398470        5.441392        6.106507        0.350000        3.770295        4.733170        10.172100       0.197396        15.606475       5.636930        6.176357        0.350000        0.950333        0.014530     
724        536816.250    3324579.250    4.241570        4.999813        6.023865        0.350000        15.442900       2.095775        4.612570        0.328906        4.112672        3.768080        3.916033        0.350000        0.312218        0.007203     
972        546786.438    3330519.000    4.313198        9.179722        4.523620        0.178796        6.602890        17.486351       13.308350       0.350000        3.555845        25.051100       3.994927        0.350000        1.649470        0.007733     
1036       559726.500    3344095.500    9.504010        3.208080        4.350665        0.350000        8.043182        8.408957        10.373800       0.201367        8.936100        13.524000       8.995710        0.350000        0.291108        0.018524     
1347       558453.688    3339004.250    5.612020        11.037600       10.039625       0.290406        6.568408        1.064052        5.912585        0.350000        10.442350       14.898300       13.618800       0.199644        1.613020        0.025578     
2049       566090.438    3343247.000    2.648200        2.626042        7.550380        0.350000        6.730992        6.335260        8.396993        0.198172        18.926476       6.975340        12.393826       0.350000        0.850510        0.017550     
2908       554635.312    3329564.500    6.045100        3.296913        7.132913        0.350000        8.637850        11.976900       5.891490        0.350000        7.458225        6.723330        10.661975       0.350000        1.570410        0.007287     
4241       556120.250    3328769.000    0.851088        2.333398        5.707720        0.198169        16.305025       8.134270        2.197347        0.350000        8.389009        3.548830        5.153347        0.350000        0.206258        0.026380     
4822       559302.250    3332428.250    4.241430        5.388810        1.039103        0.350000        4.899447        16.055876       7.220310        0.350000        1.893942        5.138923        9.896130        0.350000        1.009650        0.007218     
