 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            32_z            41_z            42_z            52_z            61_z 
127024     608092.625    3315882.000    8.395653        4.009516        4.365696        0.298237        1.463948        2.034055        5.785542        0.201459        7.840832        2.879530        6.422210        0.350000        21.787300       3.710670        6.407605        0.284177        0.227749        0.318985        0.192019        0.008139        0.008019     
131141     601092.250    3304214.750    47.572400       4.046036        5.084483        0.350000        6.559390        2.301110        0.955973        0.183809        10.000300       2.451650        3.905330        0.350000        13.559700       3.016570        4.572143        0.322812        0.041904        0.100000        0.174578        0.008000        0.007716     
131484     603266.625    3306442.000    43.370575       4.000000        7.749692        0.174573        8.903010        2.682395        2.153197        0.350000        11.686000       8.718468        5.111457        0.350000        8.168305        9.210180        2.216948        0.279999        0.016969        1.169550        0.065668        0.008009        0.015144     
131997     604857.562    3307927.000    22.858850       4.000000        5.119490        0.350000        13.718375       1.922120        2.650405        0.350000        7.381160        3.262650        6.745575        0.350000        7.038503        1.001703        1.231040        0.350000        0.039731        0.220309        0.153125        0.008000        0.010343     
132586     606607.688    3309465.000    5.278708        5.465076        5.042693        0.350000        8.022660        3.227273        5.014967        0.273258        6.031755        9.056730        49.979800       0.264889        13.411625       4.165390        3.959150        0.350000        0.057642        0.512252        0.028755        0.008085        0.007420     
132964     608516.875    3312169.500    20.770174       4.047272        17.585476       0.325757        5.722592        7.363070        2.581497        0.350000        4.774023        4.647033        7.344068        0.350000        8.560548        7.243867        4.923955        0.350000        0.023496        0.646841        0.017347        0.027260        0.014734     
133035     611062.438    3313336.250    17.394300       5.091343        6.284607        0.350000        3.509142        1.549310        11.587999       0.350000        1.128245        9.134410        14.849250       0.350000        15.535900       2.428797        9.367803        0.350000        0.038502        0.351354        0.127573        0.014281        0.007513     
133124     593667.625    3294880.750    55.517273       5.001318        7.852683        0.350000        14.737050       1.862668        3.437180        0.350000        9.518840        3.029060        7.715348        0.350000        16.308975       1.000000        11.531300       0.302535        0.150984        1.098835        0.016068        0.008608        0.007200     
133600     603956.000    3305540.500    45.327751       5.714848        8.153250        0.281237        8.293290        1.935920        6.287328        0.350000        15.300100       3.436630        6.203923        0.350000        10.479775       8.154373        7.684517        0.350000        0.071177        2.117945        0.170776        0.008000        0.017451     
136380     609365.375    3309093.750    24.409525       4.729756        5.392135        0.350000        1.777110        1.235580        2.179260        0.350000        5.216045        1.014384        18.145124       0.350000        15.695675       3.295085        4.212820        0.350000        0.058125        1.058190        0.065923        0.022474        0.017620     
