obsnme                             value 
wo_bp_0001_20190401       3.94312877E+02 
wo_bp_0001_20190501       3.94623293E+02 
wo_bp_0001_20190601       3.95418458E+02 
wo_bp_0001_20190701       3.95207370E+02 
wo_bp_0001_20190801       3.94506914E+02 
wo_bp_0001_20190901       3.93840471E+02 
wo_bp_0001_20191001       3.93323750E+02 
wo_bp_0001_20191101       3.92903560E+02 
wo_bp_0001_20191201       3.92545780E+02 
wo_bp_0001_20200101       3.92225407E+02 
wo_bp_0001_20200201       3.91983361E+02 
wo_bp_0001_20200301       3.92146349E+02 
wo_bp_0001_20200401       3.92501301E+02 
wo_bp_0001_20200501       3.92689210E+02 
wo_bp_0001_20200601       3.93867689E+02 
wo_bp_0001_20200701       3.94188454E+02 
wo_bp_0001_20200801       3.93384552E+02 
wo_bp_0001_20200901       3.92837242E+02 
wo_bp_0001_20201001       3.92889495E+02 
wo_bp_0001_20201101       3.92364581E+02 
wo_bp_0001_20201201       3.91885886E+02 
wo_bp_0001_20210101       3.91496695E+02 
wo_bp_0001_20210201       3.91182496E+02 
wo_bp_0001_20210301       3.90911094E+02 
wo_bp_0001_20210401       3.90653230E+02 
wo_bp_0001_20210501       3.90432256E+02 
wo_bp_0001_20210601       3.90934780E+02 
wo_bp_0001_20210701       3.92306691E+02 
wo_bp_0001_20210801       3.93004851E+02 
wo_bp_0001_20210901       3.92394894E+02 
wo_bp_0001_20211001       3.91692531E+02 
wo_bp_0001_20211101       3.91323522E+02 
wo_bp_0001_20211201       3.91083848E+02 
wp_bp_0011_20150113       3.98343907E+02 
wp_bp_0011_20150218       3.98539248E+02 
wp_bp_0011_20150318       3.98611109E+02 
wp_bp_0011_20150415       3.98640928E+02 
wp_bp_0011_20150524       3.98644837E+02 
wp_bp_0011_20150610       3.98661723E+02 
wp_bp_0011_20150712       3.98733283E+02 
wp_bp_0011_20150819       3.98817748E+02 
wp_bp_0011_20150915       3.98817432E+02 
wp_bp_0011_20151014       3.98759597E+02 
wp_bp_0011_20151118       3.98670075E+02 
wp_bp_0011_20151215       3.98686301E+02 
wp_bp_0011_20160118       3.98772354E+02 
wp_bp_0011_20160216       3.98835661E+02 
wp_bp_0011_20160323       3.98837622E+02 
wp_bp_0011_20160422       3.98836008E+02 
wp_bp_0011_20160517       3.98858418E+02 
wp_bp_0011_20160614       3.98907693E+02 
wp_bp_0011_20160418       3.98835115E+02 
wp_bp_0011_20160721       3.98981304E+02 
wp_bp_0011_20160817       3.98985432E+02 
wp_bp_0011_20160912       3.98945028E+02 
wp_bp_0011_20161026       3.98838413E+02 
wp_bp_0011_20161123       3.98751993E+02 
wp_bp_0011_20161222       3.98689222E+02 
wp_bp_0011_20170110       3.98674040E+02 
wp_bp_0011_20170208       3.98654140E+02 
wp_bp_0011_20170317       3.98614840E+02 
wp_bp_0011_20170419       3.98571138E+02 
wp_bp_0011_20170512       3.98526322E+02 
wp_bp_0011_20170613       3.98432680E+02 
wp_bp_0011_20170711       3.98323899E+02 
wp_bp_0011_20170816       3.98161671E+02 
wp_bp_0011_20170915       3.98017437E+02 
wp_bp_0011_20171017       3.97867797E+02 
wp_bp_0011_20171114       3.97753417E+02 
wp_bp_0011_20171218       3.97611013E+02 
wp_bp_0011_20180112       3.97501398E+02 
wp_bp_0011_20180216       3.97348749E+02 
wp_bp_0011_20180313       3.97237030E+02 
wp_bp_0011_20180515       3.96949643E+02 
wp_bp_0011_20180618       3.96795122E+02 
wp_bp_0011_20180720       3.96651497E+02 
wp_bp_0011_20180820       3.96514304E+02 
wp_bp_0011_20181014       3.96356761E+02 
wp_bp_0011_20181109       3.96450360E+02 
wp_bp_0011_20181221       3.96718655E+02 
wp_bp_0011_20190221       3.97073452E+02 
wp_bp_0011_20190319       3.97180625E+02 
wp_bp_0011_20190409       3.97215362E+02 
wp_bp_0011_20190506       3.97203136E+02 
wp_bp_0011_20190606       3.97220908E+02 
wp_bp_0011_20190711       3.97318625E+02 
wp_bp_0011_20190808       3.97359105E+02 
wp_bp_0011_20190911       3.97311848E+02 
wp_bp_0011_20191015       3.97187922E+02 
wp_bp_0011_20191120       3.97015356E+02 
wp_bp_0011_20191218       3.96868374E+02 
wp_bp_0011_20200114       3.96722700E+02 
wp_bp_0011_20200219       3.96527782E+02 
wp_bp_0011_20200317       3.96401662E+02 
wp_bp_0011_20200429       3.96285969E+02 
wp_bp_0011_20200520       3.96258752E+02 
wp_bp_0011_20200622       3.96280424E+02 
wp_bp_0011_20200709       3.96336538E+02 
wp_bp_0011_20200811       3.96414041E+02 
wp_bp_0011_20200924       3.96356610E+02 
wp_bp_0011_20201020       3.96301721E+02 
wp_bp_0011_20201124       3.96203790E+02 
wp_bp_0011_20210118       3.95964026E+02 
wp_bp_0011_20210225       3.95771367E+02 
wp_bp_0011_20210324       3.95631661E+02 
wp_bp_0011_20210427       3.95456721E+02 
wp_bp_0011_20210527       3.95305755E+02 
wp_bp_0011_20210611       3.95249955E+02 
wp_bp_0011_20210727       3.95320099E+02 
wp_bp_0011_20210811       3.95394318E+02 
wo_bp_0011_20150101       3.98362422E+02 
wo_bp_0011_20150201       3.98522763E+02 
wo_bp_0011_20150301       3.98605615E+02 
wo_bp_0011_20150401       3.98639403E+02 
wo_bp_0011_20150501       3.98644154E+02 
wo_bp_0011_20150601       3.98672862E+02 
wo_bp_0011_20150701       3.98744199E+02 
wo_bp_0011_20150801       3.98810979E+02 
wo_bp_0011_20150901       3.98814183E+02 
wo_bp_0011_20151001       3.98752351E+02 
wo_bp_0011_20151101       3.98677707E+02 
wo_bp_0011_20151201       3.98690817E+02 
wo_bp_0011_20160101       3.98766415E+02 
wo_bp_0011_20160201       3.98831650E+02 
wo_bp_0011_20160301       3.98841084E+02 
wo_bp_0011_20160401       3.98835621E+02 
wo_bp_0011_20160501       3.98858194E+02 
wo_bp_0011_20160601       3.98911522E+02 
wo_bp_0011_20160701       3.98971859E+02 
wo_bp_0011_20160801       3.98983411E+02 
wo_bp_0011_20160901       3.98937127E+02 
wo_bp_0011_20161001       3.98864894E+02 
wo_bp_0011_20161101       3.98775572E+02 
