 Cell2D             x              y            31_x            31_y            31_z            31_s            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            61_z 
70844      576591.000    3317419.750    21.247800       8.915330        6.212110        0.422793        5.878550        2.603150        3.351850        0.210488        6.788130        4.308860        12.615400       0.291897        14.315600       2.243120        9.227180        0.181744        0.679957        0.021673     
71473      579030.500    3318533.500    84.561700       5.519480        8.198270        0.277522        2.987670        2.479890        14.709900       0.178009        15.414600       2.871200        6.520200        0.308958        9.253340        1.761420        6.721300        0.237716        0.577943        0.087622     
74395      577174.375    3315882.000    33.961500       6.898410        9.717510        0.381545        7.630510        3.895630        9.435720        0.238117        44.176500       13.616200       8.842780        0.142018        9.932180        1.325500        18.618400       0.212584        1.276060        0.008452     
77698      578500.188    3315086.500    30.085800       4.472090        9.116840        0.241676        10.060900       1.291350        3.582570        0.236132        39.248200       4.829380        7.871110        0.293800        18.531100       6.565660        15.700600       0.265126        1.972130        0.015541     
78109      581682.188    3318639.500    30.790500       4.868230        10.710300       0.277507        17.610400       4.900940        3.958300        0.172613        3.820240        9.749740        4.229090        0.272935        15.814800       1.892380        19.336700       0.216615        2.654830        0.019131     
80479      576272.812    3312063.500    29.664900       4.901140        5.421780        0.359623        7.165860        1.685890        16.390100       0.239339        10.952700       5.220430        6.071870        0.348324        12.104700       6.852790        7.508610        0.303893        0.992856        0.014763     
80756      579348.688    3314131.750    21.640000       5.313900        15.523000       0.208637        13.784700       3.526030        4.624520        0.249055        4.960860        39.670700       10.686000       0.333412        39.335900       4.492350        10.555700       0.209828        1.156700        0.012725     
81095      580515.438    3315988.000    29.863100       5.215340        10.666100       0.266639        13.969200       2.080730        12.201100       0.185536        13.780500       3.167000        11.946000       0.245423        7.350760        3.178480        30.000000       0.215405        1.767760        0.040932     
84405      580780.625    3313548.500    9.087690        12.590600       6.805460        0.243923        5.706970        2.962420        15.020800       0.244680        8.516130        9.472850        10.700100       0.185182        12.666200       13.759000       11.028900       0.212732        1.091630        0.008788     
85620      584599.000    3317260.750    41.534500       24.243000       11.386700       0.224854        8.116890        4.967870        6.951820        0.256815        38.803000       5.226470        9.032000        0.200364        8.910870        11.448300       13.058200       0.266548        0.312553        0.009865     
92632      583697.438    3313230.250    7.105280        18.123000       8.252620        0.335600        11.911500       2.582690        15.787600       0.219854        14.499600       19.034500       6.788910        0.313888        8.275990        1.360220        8.579700        0.246825        1.085690        0.035464     
96140      580727.562    3309730.000    41.795300       12.391800       9.546770        0.294461        13.219200       1.678270        4.449170        0.199994        10.274000       1.572450        8.836850        0.275203        15.852300       5.173010        23.763200       0.291912        1.355220        0.009897     
99295      579242.625    3305487.500    44.763900       4.843420        11.063300       0.236093        17.701900       1.649140        20.000000       0.203204        7.280160        8.476830        11.988300       0.312304        10.321400       3.731810        10.315100       0.311991        1.578510        0.014097     
