    C2D             x              y 
10010      561052.312    3328503.750 
10011      561052.312    3328609.750 
10012      561105.375    3328662.750 
10013      561105.375    3328556.750 
10014      561158.375    3328609.750 
10015      561052.312    3328822.000 
10016      561105.375    3328875.000 
10017      561105.375    3328769.000 
10018      561158.375    3328822.000 
10019      561211.438    3328928.000 
10020      561211.438    3328716.000 
10021      561317.500    3328822.000 
10025      561317.500    3329246.250 
10027      561423.562    3329564.500 
10028      561423.562    3329352.250 
10029      561529.625    3329458.250 
10030      561317.500    3329034.000 
10031      561423.562    3329140.250 
10032      561423.562    3328928.000 
10033      561529.625    3329034.000 
10034      561529.625    3329246.250 
10035      561582.625    3329352.250 
10036      561635.688    3329405.250 
10037      561635.688    3329299.250 
10038      561688.688    3329352.250 
10039      561582.625    3329140.250 
10040      561635.688    3329193.250 
10041      561635.688    3329087.000 
10042      561688.688    3329140.250 
10043      561688.688    3329246.250 
10044      561741.750    3329299.250 
10045      561741.750    3329193.250 
10046      561794.812    3329246.250 
10047      561052.312    3328397.750 
10048      561105.375    3328450.750 
10049      561105.375    3328344.750 
10050      561158.375    3328397.750 
10051      561211.438    3328503.750 
10052      561158.375    3328291.500 
10053      561211.438    3328344.750 
10054      561211.438    3328238.500 
10055      561264.438    3328291.500 
10056      561264.438    3328397.750 
10057      561317.500    3328450.750 
10058      561317.500    3328344.750 
10059      561370.500    3328397.750 
10060      561317.500    3328609.750 
10061      561423.562    3328716.000 
10062      561370.500    3328503.750 
10063      561423.562    3328556.750 
10064      561423.562    3328450.750 
10065      561476.562    3328503.750 
10066      561476.562    3328609.750 
10067      561529.625    3328662.750 
10068      561529.625    3328556.750 
10069      561582.625    3328609.750 
10070      561264.438    3328185.500 
10071      561317.500    3328238.500 
10072      561317.500    3328132.500 
10073      561370.500    3328185.500 
10074      561370.500    3328291.500 
10075      561423.562    3328344.750 
10076      561423.562    3328238.500 
10077      561476.562    3328291.500 
10078      561370.500    3328079.500 
10079      561423.562    3328132.500 
10080      561423.562    3328026.500 
10081      561476.562    3328079.500 
10082      561476.562    3328185.500 
10083      561529.625    3328238.500 
10084      561529.625    3328132.500 
10085      561582.625    3328185.500 
10086      561476.562    3328397.750 
10087      561529.625    3328450.750 
10088      561529.625    3328344.750 
10089      561582.625    3328397.750 
10090      561582.625    3328503.750 
10091      561635.688    3328556.750 
10092      561635.688    3328450.750 
10093      561688.688    3328503.750 
10094      561582.625    3328291.500 
10095      561635.688    3328344.750 
10096      561635.688    3328238.500 
10097      561688.688    3328291.500 
10098      561688.688    3328397.750 
10099      561741.750    3328450.750 
10100      561741.750    3328344.750 
10101      561794.812    3328397.750 
10102      561529.625    3328822.000 
10103      561582.625    3328928.000 
10104      561635.688    3328981.000 
10105      561635.688    3328875.000 
10106      561688.688    3328928.000 
10107      561582.625    3328716.000 
10108      561635.688    3328769.000 
10109      561635.688    3328662.750 
10110      561688.688    3328716.000 
10111      561688.688    3328822.000 
10112      561741.750    3328875.000 
10113      561741.750    3328769.000 
10114      561794.812    3328822.000 
10115      561688.688    3329034.000 
10116      561741.750    3329087.000 
10117      561741.750    3328981.000 
10118      561794.812    3329034.000 
10119      561794.812    3329140.250 
10120      561847.812    3329193.250 
10121      561847.812    3329087.000 
10122      561900.875    3329140.250 
10123      561794.812    3328928.000 
10124      561847.812    3328981.000 
10125      561847.812    3328875.000 
10126      561900.875    3328928.000 
10127      561900.875    3329034.000 
10128      561953.875    3329087.000 
10129      561953.875    3328981.000 
10130      562006.938    3329034.000 
10131      561688.688    3328609.750 
10132      561741.750    3328662.750 
10133      561741.750    3328556.750 
10134      561794.812    3328609.750 
10135      561794.812    3328716.000 
10136      561847.812    3328769.000 
10137      561847.812    3328662.750 
10138      561900.875    3328716.000 
10139      561794.812    3328503.750 
10140      561847.812    3328556.750 
10141      561847.812    3328450.750 
10142      561900.875    3328503.750 
10143      561900.875    3328609.750 
10144      561953.875    3328662.750 
10145      561953.875    3328556.750 
10146      562006.938    3328609.750 
10147      561900.875    3328822.000 
10148      561953.875    3328875.000 
10149      561953.875    3328769.000 
10150      562006.938    3328822.000 
10151      562006.938    3328928.000 
10152      562059.938    3328981.000 
10153      562059.938    3328875.000 
10154      562113.000    3328928.000 
10155      562006.938    3328716.000 
10156      562059.938    3328769.000 
10157      562059.938    3328662.750 
10158      562113.000    3328716.000 
10159      562113.000    3328822.000 
10160      562166.000    3328875.000 
10161      562166.000    3328769.000 
10162      562219.062    3328822.000 
10163      561529.625    3329670.500 
10164      561635.688    3329776.500 
10165      561582.625    3329564.500 
10166      561635.688    3329617.500 
10167      561635.688    3329511.500 
10168      561688.688    3329564.500 
10169      561688.688    3329670.500 
10170      561741.750    3329723.500 
10171      561741.750    3329617.500 
