 Cell2D             x              y            51_x            51_y            51_z            51_s            53_x            53_y            53_z            53_s            71_x            71_y            71_z            71_s            41_z            42_z            52_z            61_z 
56037      589212.875    3338102.750    10.965000       1.690200        9.013630        0.181165        18.808700       10.281300       6.948330        0.248019        14.547900       3.237130        19.297200       0.231985        1.129340        0.968456        0.011148        0.012060     
56264      590061.375    3338474.000    6.101690        7.108910        7.570410        0.195363        5.022540        2.031080        10.134800       0.250090        7.392580        1.636110        8.026170        0.236751        1.075740        0.531357        0.011794        0.009165     
58582      586243.000    3332958.500    6.083400        2.403700        4.880260        0.232567        11.418800       4.722930        9.979670        0.244454        29.773300       7.134250        2.045870        0.246763        2.435170        0.116130        0.010295        0.009581     
58907      587356.688    3335186.000    7.218000        3.295500        7.407380        0.188903        5.120540        4.328560        2.437130        0.194773        35.285300       9.363200        17.623900       0.309660        1.578090        0.024630        0.011506        0.008168     
59770      591334.188    3339110.250    12.517100       1.473970        3.119960        0.188919        9.576720        56.300000       18.420200       0.243379        48.490100       9.102270        11.765100       0.221186        0.938435        0.078984        0.027492        0.024502     
59905      595364.688    3342610.500    22.012500       3.562460        1.465130        0.162372        25.273300       1.081770        5.479510        0.220498        9.277340        9.175020        9.574510        0.339963        0.716865        0.107871        0.010881        0.009158     
62032      584970.188    3330837.250    5.894250        0.860774        5.214810        0.151457        11.950200       6.864400        4.986180        0.206406        10.397900       11.630300       5.382100        0.281040        1.125560        0.107605        0.012121        0.009897     
74066      603425.688    3344095.500    9.841880        12.156500       3.390870        0.201954        7.801510        5.104410        36.224300       0.211358        38.352800       4.874380        18.800300       0.217639        1.188640        0.062874        0.033334        0.062617     
77022      595046.500    3333435.750    3.360430        2.705590        6.949660        0.170854        7.937250        4.957310        7.989440        0.338284        29.858300       9.269170        14.680000       0.195432        0.461554        0.098268        0.045967        0.009815     
77270      597910.250    3336670.750    5.957180        3.910440        4.183920        0.162424        25.585300       7.383490        38.433500       0.270046        29.340900       8.366890        8.549290        0.231409        1.045010        0.207825        0.064693        0.022766     
77301      600880.125    3339852.750    17.504400       3.357980        2.321500        0.134233        4.283390        10.119600       11.734600       0.279851        34.661800       3.762760        5.841410        0.295617        2.405420        0.048995        0.008254        0.010103     
79692      593773.688    3330731.250    30.000000       2.955390        7.828930        0.169051        37.828800       6.824770        8.223430        0.245820        49.991100       7.609150        29.582600       0.294354        1.641180        0.076545        0.010882        0.014484     
80237      596266.250    3332534.250    18.407000       2.366080        4.877980        0.175174        20.075000       9.120280        4.827870        0.240400        47.760400       4.056500        23.177000       0.243041        1.166760        0.053160        0.070644        0.032947     
80410      599183.062    3335822.250    20.767100       3.068320        1.423500        0.175806        23.980000       2.937220        8.964460        0.219878        11.978400       9.633180        8.827760        0.265643        3.091200        0.051936        0.020161        0.008547     
